"table s5:  perceptions of the local police by personal characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted  base - number of adults2,unknown
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,,unknown
ALL ADULTS,60.88150977277107,87.05965106577631,67.0449785428659,71.24571583619502,61.37431740962441,79.92837787396788,78.47588327424623,34922,unknown
Age,,,,,,,,,unknown
16-24,68.77206320406633,84.99995447488806,67.28559129103049,68.42296561506129,60.503268482873196,79.8375682475188,78.0422412394042,2494,unknown
25-34,66.71544439855222,84.28471555531375,66.816800749037,70.27065591394422,59.81661651977031,78.44200096235404,77.81258084289205,4954,unknown
35-44,62.474210324713596,86.86637654751898,67.95152735304632,70.4463180382711,60.504166351002944,80.31677023860495,78.20710854867147,5507,unknown
45-54,56.5105552509963,86.26033690836655,64.38801354963171,70.57013304905333,58.34077342673686,77.64219591244209,76.24260131293876,6070,unknown
55-64,52.678472906653994,88.05356184590207,65.26632243958593,71.95506114693194,59.62620787352263,78.82124858624002,76.89853791926912,5625,unknown
65-74,54.01082104343515,89.21050527363845,66.24695871951333,73.29030378464132,63.854599739401294,80.33914639101258,79.22756232480637,5783,unknown
75+,64.06894840793443,92.19044208143603,73.3521641941054,75.78118030059531,71.92898315550855,86.93276619833318,86.29028170934404,4489,unknown
Men,59.51782564598111,85.70194565400153,67.79765277030867,70.29624302366516,60.11129020277834,80.29380392190892,77.66249022461056,15914,unknown
16-24,69.48985150496338,83.97396417724198,68.24223273743598,68.26110872164251,62.04624637782118,80.07248815929451,76.76731493556335,1152,unknown
25-34,66.32774338862686,83.00206916883852,67.48483387666717,70.63018918957157,58.19942930963996,79.15148679351847,77.77645471943214,2114,unknown
35-44,60.58271264026731,85.3896058212989,68.81566857304327,68.33803266108227,58.12561233901333,80.24870800485353,76.56791165092079,2526,unknown
45-54,54.882999520449275,85.05596959962763,66.84812152515795,69.67831568681791,56.99761895440618,78.1408775364837,75.75020735689499,2827,unknown
55-64,51.873996878673964,87.07333855260909,65.9800738446675,71.5037750423105,59.34176437400094,80.83618403902236,77.39831452427318,2603,unknown
65-74,52.20149382860061,87.98627257799916,67.0734369339369,71.06352255839634,61.788793635479024,80.10275699113343,77.93425246802494,2755,unknown
75+,59.83244780597653,90.5724488702373,71.92533775165212,75.30274127266401,70.6090951279796,87.12516225109536,85.225007118815,1937,unknown
Women,61.926758494122055,88.29926143168011,66.12924630896954,72.08010202266695,62.513079468644314,79.47474832814257,79.25703127246787,19008,unknown
16-24,68.03169559939063,86.06872197727425,66.29299277981696,68.59196446776781,58.885551246579304,79.59136175106227,79.36468948576753,1342,unknown
