"table s9: public confidence in the police and local council  by household and area characteristics, year ending march 2016 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
England and Wales,,,,Adults aged 16 and over,unknown
,Agree,No opinion,Disagree,Unweighted base - number of adults,unknown
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,unknown
ALL ADULTS,61.93043112660762,24.043504147089376,14.02606472630297,33787,unknown
Structure of household,,,,,unknown
Single adult and child(ren),58.439712573093175,23.596516457352436,17.963770969554552,1713,unknown
Adults and child(ren),62.394307458861675,23.20757212543324,14.398120415705081,7204,unknown
Adult(s) and no child(ren),61.89670201349714,24.380744197311024,13.72255378919145,24870,unknown
Total household income,,,,,unknown
"Less than £10,000",60.130038864114475,24.729492875322034,15.140468260563564,3524,unknown
"£10,000 to less than £20,000",62.0519540430259,21.98040834480126,15.96763761217238,6565,unknown
"£20,000 to less than £30,000",61.887642927540455,23.773804190414126,14.338552882045313,5102,unknown
"£30,000 to less than £40,000",60.96224914222037,24.821188608132083,14.216562249647433,3952,unknown
"£40,000 to less than £50,000",60.79661678088261,25.416417050864286,13.786966168252887,2681,unknown
"£50,000 or more",63.75105974637165,23.806625899286775,12.442314354341635,6150,unknown
No income stated or not enough information provided,61.565828056487604,24.809309193816276,13.624862749696284,5808,unknown
Tenure,,,,,unknown
Owner occupiers,62.31051883717369,24.19629237799658,13.493188784829513,22070,unknown
Social renters,58.83794036199824,22.831232439410336,18.33082719859117,5469,unknown
Private renters,63.01369003190436,24.215163481348515,12.771146486747265,6046,unknown
Accommodation type ,,,,,unknown
Houses,61.92930333849096,23.96250425147438,14.108192410034553,28931,unknown
Detached,63.53942865132236,25.097709261984836,11.362862086692683,8808,unknown
Semi-detached,61.98114633006351,23.320447531679726,14.698406138257237,10484,unknown
Terraced,60.54790637914782,23.695390168218626,15.756703452633678,9639,unknown
Flats/maisonettes,62.07207534760403,24.5391373202979,13.38878733209818,4547,unknown
Other accommodation,58.7714237523714,23.766129383318827,17.462446864309808,100,unknown
Output Area Classification,,,,,unknown
Rural residents,62.66043404748167,26.628081451018794,10.711484501499246,4663,unknown
Cosmopolitans,64.32476231671855,24.533546511414066,11.141691171867576,1107,unknown
Ethnicity central,62.03656519105291,23.73422639654018,14.22920841240683,1478,unknown
Multicultural metropolitans,62.47162213263414,22.111485625757354,15.416892241608485,3827,unknown
Urbanites,63.5079634842425,24.696869559760078,11.795166955997306,6344,unknown
Suburbanites,64.51783378138578,24.06193328904801,11.42023292956601,7394,unknown
Constrained city dwellers,58.17565136160987,23.045078806841786,18.77926983154829,2252,unknown
Hard-pressed living,57.094632757491006,23.537099624473743,19.368267618035162,6722,unknown
Area type,,,,,unknown
Urban,61.54625054626237,23.783164048356266,14.670585405381035,26099,unknown
Rural,63.600004000092184,25.174890763077794,11.225105236830109,7688,unknown
Level of physical disorder,,,,,unknown
High,54.13262771166725,23.90577437724872,21.96159791108404,1381,unknown
Not high,62.31033162783467,24.057535252832317,13.632133119333556,32172,unknown
Employment deprivation index,,,,,unknown
20% most deprived output areas,57.081632228140776,22.64206818482689,20.276299587032074,5916,unknown
Other output areas,62.02155684767562,24.325429249597256,13.653013902726666,18831,unknown
20% least deprived output areas,65.84655176288149,24.716504439248915,9.436943797869809,6233,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,,unknown
