"Crime in England & Wales, year ending March 2018 - Supplementary tables",age_band,flag_depression,flag_anxiety,flag_comorbid
"For explanatory notes on these statistics, see the User Guide to Crime Statistics for England and Wales",unknown,0,0,0
Data tables shown in this workbook relate to the Crime Survey for England and Wales (CSEW).,unknown,0,0,0
The data contained in this file comprise:,unknown,0,0,0
Perception of the Police,unknown,0,0,0
"Table S1: Trends in ratings of the local police, year ending March 2004 to year ending March 2018 CSEW",unknown,0,0,0
"Table S2: Ratings of the local police, by personal characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S3: Ratings of the local police, by household and area characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S4: Trends in ratings and perceptions of the local police, year ending March 2006 to year ending March 2018 CSEW",unknown,0,0,0
"Table S5: Perceptions of the local police by personal characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S6: Perceptions of the local police by household and area characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S7: Trends in public confidence in the police and local council, year ending March 2008 to year ending March 2018 CSEW",unknown,0,0,0
"Table S8: Public confidence in the police and local council by personal characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S9: Public confidence in the police and local council by household and area characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S10: Trends in visiblity of police foot patrols, years ending March 2007 to March 2018 CSEW",unknown,0,0,0
"Table S11: Visiblity of police foot patrols, by personal characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S12: Visiblity of police foot patrols, by household and area characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S13: Trends in victim satisfaction with the police, year ending December 1992 to year ending March 2018 CSEW",unknown,0,0,0
"Table S14: Percentage of incidents in which victims were satisfied with the police by crime type, year ending March 2018 CSEW",unknown,0,0,0
"Table S15: Percentage of incidents in which victims were satisfied with the police by personal characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S16: Percentage of incidents in which victims were satisfied with the police by household and area characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S17: Percentage of incidents in which victims were satisfied with the police by CJS factors, year ending March 2018 CSEW",unknown,0,0,0
"Table S18: Attitudes to local police, by police force area, English regions and Wales, year ending March 2018 CSEW",unknown,0,0,0
"Table S19: Attitudes to local police working in partnership, by police force area, English regions and Wales, year ending March 2018 CSEW",unknown,0,0,0
"Table S20: Awareness and use of the 101 non-emergency police number, year ending March 2012 to year ending March 2018 CSEW",unknown,0,0,0
"Table S21: Awareness of Police and Crime Commissioners, year ending March 2015 to year ending March 2018 CSEW",unknown,0,0,0
"Table S22: Awareness of Police and Crime Commissioners, by personal characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S23: Awareness of Police and Crime Commissioners, by household and area characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S24: Contact and details of contact with Police and Crime Commissioners (PCC), year ending March 2018 CSEW",unknown,0,0,0
"Table S25: Perceptions of police contact and complaints process, year ending March 2011 to year ending March 2018 CSEW",unknown,0,0,0
Perceptions of crime and anti-social behaviour tables,unknown,0,0,0
"Table S26: Perceptions of changing crime levels, year ending December 1996 to year ending March 2018 CSEW",unknown,0,0,0
"Table S27: Perceptions of changing crime levels by personal characteristics, year ending March 2018 CSEW",unknown,0,0,0
Table S28: Perceptions of changing crime levels by household and area characteristics year ending March 2018 CSEW,unknown,0,0,0
"Table S29: Trends in worry about crime, year ending December 1992 to year ending March 2018 CSEW",unknown,0,0,0
"Table S30: Worry about crime by personal characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S31: Worry about crime by household and area characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S32: High levels of perceived anti-social behaviour in local area by personal characteristics, year ending March 2018 CSEW",unknown,0,0,0
"Table S33: High levels of perceived anti-social behaviour in local area by household and area characteristics, year ending March 2018 CSEW",unknown,0,0,0
Intimate Personal Violence,unknown,0,0,0
"Table S34: Prevalence of domestic abuse, sexual assault and stalking among adults aged 16 to 59 and 16 to 74, by type, year ending March 2018 CSEW",unknown,0,0,0
"Table S35: Prevalence of domestic abuse, sexual assault and stalking in the last year, by type and sex, year ending March 2005 to year ending March 2018 CSEW",unknown,0,0,0
"Table S36: Prevalence of domestic abuse, sexual assault and stalking in the last year, by type, year ending March 2005 to year ending March 2018 CSEW",unknown,0,0,0
"For further information about the Crime Survey for England and Wales and police recorded crime statistics, please email crimestatistics@ons.gsi.gov.uk
",unknown,0,0,0
" or write to: Crime Statistics and Analysis, Office for National Statistics, Segensworth Road, Fareham, Hants, PO15 5RR",unknown,0,0,0
Statistical contact: Meghan Elkin,unknown,0,0,0
Tel: 01329 444651,unknown,0,0,0
Email: crimestatistics@ons.gsi.gov.uk,unknown,0,0,0
