"table s11: visiblity of police foot patrols, by personal characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,Adults aged 16 and over,unknown
,Visibility of police2,Unweighted base - number of adults,,Visibility of police2,Unweighted base - number of adults,unknown
,Percentage of adults reporting high visibility,,,Percentage of adults reporting high visibility,,unknown
ALL ADULTS,20.66527915403775,8858,Respondent's employment status,,,unknown
,,,In employment,21.78215266017177,5077,unknown
Sex,,,Unemployed,36.39905381960737,150,unknown
Men,22.36661786538054,4151,Economically inactive,17.76287110399806,3630,unknown
Women,18.974408001604253,4707,Student,34.551843916801985,176,unknown
,,,Looking after family/home,26.389205960814728,397,unknown
Age,,,Long-term/temporarily sick/ill,21.769468352543452,387,unknown
16-24,30.690901399898213,592,Retired,11.919979297654823,2587,unknown
25-34,29.085500961439877,1315,Other inactive,25.177679190010167,83,unknown
35-44,22.825027007123136,1393,,,,unknown
45-54,18.55467340659344,1525,Respondent's occupation (NS-SEC),,,unknown
55-64,15.758640700041996,1405,Managerial and professional occupations,18.968681306035073,3182,unknown
65-74,12.77231200527185,1448,Intermediate occupations,15.919935846529537,2024,unknown
75+,10.036244814793651,1180,Routine and manual occupations,22.2051258272524,3036,unknown
,,,Never worked and long-term unemployed,28.29561485434653,276,unknown
Ethnic group,,,Full-time students,35.56912395195235,270,unknown
White ,18.37570878669398,7933,Not classified,20.58258724593212,70,unknown
   English/Welsh/Scottish/Northern Irish/British,16.96584821251232,7369,,,,unknown
   Irish,22.47137878007555,68,Highest qualification,,,unknown
   Gypsy or Irish Traveller,-,1,Degree or diploma,22.50077669436825,3541,unknown
   Any other white background,34.641410383338524,495,Apprenticeship or A/AS level,20.87367215671616,1516,unknown
Mixed/Multiple,24.98632608284917,92,O level/GCSE,19.986967126293653,1598,unknown
   White and Black Caribbean,-,35,Other,22.92870307070984,400,unknown
   White and Black African,-,12,,16.414557991718716,1776,unknown
   White and Asian,-,19,,,,unknown
   Any other Mixed/Multiple ethnic background,-,26,Long-standing illness or disability ,,,unknown
Asian/Asian British,37.13797221155434,511,Long-standing illness or disability ,16.95006319677925,2134,unknown
   Indian,36.360352619739515,227,Limits activities,17.050863614546564,1706,unknown
   Pakistani,43.5664501618839,119,Does not limit activities,16.602681100554687,427,unknown
   Bangladeshi,-,37,No long-standing illness or disability ,21.645471942372694,6653,unknown
   Chinese,-,42,,,,unknown
   Any other Asian background,28.353806601313007,86,Overall level of perceived ASB,,,unknown
Black/African/Caribbean/Black British,37.32551183951016,229,High,27.793161618462847,753,unknown
   African,42.42834013876729,125,Not high,19.933118440804392,7567,unknown
   Caribbean,27.950491853271682,89,,,,unknown
   Any other Black/African/Caribbean background,-,15,Experience of crime in last 12 months (excluding fraud and computer misuse),,,unknown
Other ethnic group,36.65885203983141,77,Victim,23.448071052234948,1125,unknown
   Arab,-,31,Not a victim,20.22180639527796,7733,unknown
   Any other ethnic group,-,46,,,,unknown
,,,Experience of crime in last 12 months (including fraud and computer misuse)3,,,unknown
Marital status,,,Victim,23.29750643312474,784,unknown
Married/civil partnered,17.15236417295571,4067,Not a victim,19.789959529726644,3633,unknown
Cohabiting,22.662828693841103,932,,,,unknown
Single,29.167469159254324,1934,,,,unknown
Separated,22.068878663681087,252,,,,unknown
Divorced/legally dissolved partnership,18.275436409470668,780,,,,unknown
Widowed,12.504005573495322,876,,,,unknown
" Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,unknown
2. The question on visibility of police on foot patrols is only asked of a quarter of the CSEW sample.,,,,,,unknown
3. Combined bases for the 'Experience of crime in the last 12 months (including fraud and computer misuse)' are smaller as questions relating to Fraud victimisation were only been asked of the full sample from October 2017 onwards and were previously only asked of half the sample. ,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,unknown
