"table s12: visiblity of police foot patrols, by household and area characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,Visibility of police2,"Unweighted base - 
number of adults",unknown
,Percentage of adults reporting high visibility,,unknown
ALL ADULTS,20.66527915403775,8858,unknown
Structure of household,,,unknown
Single adult and child(ren),31.072767698320884,414,unknown
Adults and child(ren),22.79538982101579,1899,unknown
Adult(s) and no child(ren),19.50820640588575,6545,unknown
Total household income,,,unknown
"Less than £10,000",23.94517290982513,815,unknown
"£10,000 to less than £20,000",18.728394885049205,1790,unknown
"£20,000 to less than £30,000",22.355069476800082,1361,unknown
"£30,000 to less than £40,000",19.961841885960613,971,unknown
"£40,000 to less than £50,000",20.44513606295691,754,unknown
"£50,000 or more",17.90912805335306,1742,unknown
No income stated or not enough information provided,23.872623911478293,1425,unknown
Tenure,,,unknown
Owner occupiers,16.247300095789356,5738,unknown
Social renters,25.485937567441802,1368,unknown
Private renters,29.752681561414366,1704,unknown
Accommodation type ,,,unknown
Houses,18.355054935276204,7554,unknown
Detached,10.455648287873816,2274,unknown
Semi-detached,17.17934029975632,2657,unknown
Terraced,25.908309824846263,2623,unknown
Flats/maisonettes,35.34382194988695,1280,unknown
Other,-,8,unknown
Output Area Classification,,,unknown
Rural residents,4.982544728020159,1226,unknown
Cosmopolitans,48.25317661356027,328,unknown
Ethnicity central,44.299440736143005,456,unknown
Multicultural metropolitans,31.877982255202582,1056,unknown
Urbanites,18.941230189906584,1642,unknown
Suburbanites,12.266275408286488,1832,unknown
Constrained city dwellers,24.65654838597058,627,unknown
Hard-pressed living,16.912324675485515,1691,unknown
Area type,,,unknown
Urban,24.040952607039802,6878,unknown
Rural,6.351939506142772,1980,unknown
Level of physical disorder,,,unknown
High,29.882504393321845,455,unknown
Not high,20.122070450718596,8376,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,26.004959472657518,1521,unknown
Other output areas,20.42159770274436,4979,unknown
20% least deprived output areas,15.337538485196086,1687,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,unknown
2. The question on visibility of police on foot patrols is only asked of a quarter of the CSEW sample,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,unknown
