"table s15: percentage of incidents in which victims were satisfied with the police by personal characteristics, year ending march 2018 csew1,2",unnamed: 1,unnamed: 2,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,Adults aged 16 and over,unknown
,Satisfaction with the police,Unweighted base - number of incidents,,Satisfaction with the police,Unweighted base - number of incidents,unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
ALL INCIDENTS,67.52211163314097,2125,Marital status,,,unknown
,,,Married/civil partnered,67.96947960861337,879,unknown
Sex,,,Cohabiting,68.93910367772527,273,unknown
Men,65.78272582581285,968,Single,65.94262923812792,554,unknown
Women,69.15814810010883,1157,Separated,58.09621273547685,98,unknown
,,,Divorced/legally dissolved partnership,71.9791663588397,211,unknown
Age,,,Widowed,74.15075327630622,108,unknown
16-24,71.46952644608939,221,,,,unknown
25-34,63.36430446520558,434,Respondent's employment status,,,unknown
35-44,67.36400172811717,421,In employment,67.51272172957596,1390,unknown
45-54,70.38238899743786,436,Unemployed,56.959134175853954,52,unknown
55-64,61.50307527524892,297,Economically inactive,68.66526408478971,678,unknown
65-74,72.03729045213213,210,Student,83.09855056757559,53,unknown
75+,73.35732385015332,106,Looking after family/home,59.53224840859011,154,unknown
,,,Long-term/temporarily sick/ill,61.711170784693756,134,unknown
Ethnic group,,,Retired,75.8680688843185,309,unknown
White ,67.76283692652967,1832,Other inactive,-,28,unknown
   English/Welsh/Scottish/Northern Irish/British,67.54101368851063,1681,,,,unknown
   Irish,-,21,Respondent's occupation (NS-SEC),,,unknown
   Gypsy or Irish Traveller,-,0,Managerial and professional occupations,68.44412655902835,785,unknown
   Any other white background,67.29926565145439,130,Intermediate occupations,68.13341736235957,451,unknown
Mixed/Multiple,-,27,Routine and manual occupations,66.94783484658393,699,unknown
   White and Black Caribbean,-,7,Never worked and long-term unemployed,55.73906458507219,89,unknown
   White and Black African,-,3,Full-time students,82.38108463006827,78,unknown
   White and Asian,-,8,Not classified,-,23,unknown
   Any other Mixed/Multiple ethnic background,-,9,,,,unknown
Asian/Asian British,62.94704583694985,169,Highest qualification,,,unknown
   Indian,67.40829471280007,61,Degree or diploma,69.05415970927629,927,unknown
   Pakistani,63.37970921886511,56,Apprenticeship or A/AS level,60.78668433614048,379,unknown
   Bangladeshi,-,18,O level/GCSE,66.90185942884276,394,unknown
   Chinese,-,12,Other,73.46853289154977,68,unknown
   Any other Asian background,-,22,,70.50655150237894,342,unknown
Black/African/Caribbean/Black British,65.48768217925908,68,,,,unknown
   African,-,46,,,,unknown
   Caribbean,-,21,Long-standing illness or disability ,,,unknown
   Any other Black/African/Caribbean background,-,1,Long-standing illness or disability ,65.96781071960777,532,unknown
Other ethnic group,-,23,Limits activities,65.41442468453317,446,unknown
   Arab,-,7,Does not limit activities,69.06758115969453,86,unknown
   Any other ethnic group,-,16,No long-standing illness or disability ,68.07555489831702,1577,unknown
" Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,unknown
2. Excludes victims of fraud and computer misuse.,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,unknown
