"table s17: percentage of incidents in which victims were satisfied with the police by cjs factors, year ending march 2018 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,Satisfaction with the police,Unweighted base - number of incdients,unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
Treated fairly by the police,,,unknown
Yes,80.79230894835297,1709,unknown
No,11.743378106801101,381,unknown
Treated with respect by the police,,,unknown
Yes,73.61407620431682,1902,unknown
No,11.998157633672788,180,unknown
If police found out who did it,,,unknown
Yes,68.1305467845633,556,unknown
No,66.0092690069509,1244,unknown
Not yet,74.84436844330016,110,unknown
Action taken against offender,,,unknown
Charged,80.69629575079166,144,unknown
Given caution,74.69635230968147,66,unknown
Gave them a fine (or Penalty Notice for Disorder),-,5,unknown
Made them do something to make amends for the matter,-,19,unknown
Some other action,83.26324250649456,51,unknown
No action (yet) taken against the offender,50.789236905681236,208,unknown
Did offender go to court,,,unknown
Yes,79.49064598234179,117,unknown
No,61.69619513978197,306,unknown
Not yet,71.63155243429046,52,unknown
How well police kept the victim informed,,,unknown
Well,87.45856360589414,727,unknown
Not well,30.949906574143153,732,unknown
Not necessary to keep me informed,86.48270682126376,651,unknown
Police gave victim chance to talk to somone formally or informally,,,unknown
Yes,77.67760294138364,121,unknown
No,77.28643341307814,78,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. Excludes victims of fraud and computer misuse.,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,unknown
