"table s23: awareness of police and crime commissioners, by household and area characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over/households,unknown
,Awareness of Police and Crime Commissioners,Unweighted base - number of adults2,unknown
,Percentages,,unknown
ALL ADULTS,58.5355304587876,30538,unknown
Structure of household,,,unknown
Single adult and child(ren),40.72019636621332,1466,unknown
Adults and child(ren),52.41976686377532,6495,unknown
Adult(s) and no child(ren),61.49056933622082,22577,unknown
Total household income,,,unknown
"Less than £10,000",45.849794822146606,2855,unknown
"£10,000 to less than £20,000",54.307445957041764,6038,unknown
"£20,000 to less than £30,000",59.91398028307175,4723,unknown
"£30,000 to less than £40,000",62.6227428283187,3561,unknown
"£40,000 to less than £50,000",64.84834381155366,2722,unknown
"£50,000 or more",68.5896127036828,5793,unknown
No income stated or not enough information provided,47.62607113966432,4845,unknown
Tenure,,,unknown
Owner occupiers,65.45294245216357,20347,unknown
Social renters,44.56938543845184,4710,unknown
Private renters,45.951900930101694,5353,unknown
Accommodation type ,,,unknown
Houses,59.59262383744284,26991,unknown
Detached,69.10463772321084,8431,unknown
Semi-detached,58.1298962685306,9838,unknown
Terraced,52.11539548826113,8722,unknown
Flats/maisonettes,48.26894191553061,3417,unknown
Other accomodation,59.97390430560876,65,unknown
Output Area Classification,,,unknown
Rural residents ,69.65978674731099,4661,unknown
Cosmopolitans ,53.55538328675704,757,unknown
Ethnicity central ,42.61149807320787,310,unknown
Multicultural metropolitans ,42.74793559600691,2667,unknown
Urbanities ,60.733918943335354,5975,unknown
Suburbanities ,65.31312770034916,7146,unknown
Constrained city dwellers ,50.66877556803292,2460,unknown
Hard-pressed living ,53.33297301086569,6562,unknown
Area type,,,unknown
Urban,56.14409656058048,22860,unknown
Rural,66.74033707547692,7678,unknown
Level of physical disorder,,,unknown
High,39.35024367159674,1417,unknown
Not high,59.49772213033211,29022,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,46.02375226797219,5503,unknown
Other Output Areas,59.56077970666451,16731,unknown
20% least deprived Output Areas,66.81388027120418,5701,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,unknown
1. Sections 7.1 and 7.2 of the User Guide provide definitions of area and household characteristics.,,,unknown
2. Unweighted base refers to non-London residents only,,,unknown
