"table s24: contact and details of contact with police and crime commissioners (pcc), year ending march 2018 csew",unnamed: 1,age_band
England and Wales,Adults aged 16 and over,unknown
,Percentage,unknown
Had contacted their local PCC in the last 12 months,1.4065999161799148,unknown
Unweighted base - number of adults1,30528,unknown
How contact made2,,unknown
By telephone,26.49762162605203,unknown
At a local event,26.660064582307896,unknown
By email,20.84719376146874,unknown
Had contact with them through work,10.161681014417349,unknown
At a surgery session,3.6912718044595194,unknown
By letter,4.058836948581582,unknown
Some other way,17.61184400312356,unknown
Nature of contact2,,unknown
Shared information on community activity / local crime,31.187558962656365,unknown
Shared views on policing / crime priorities,17.875879423369405,unknown
Had contact with them through work,10.551631295794769,unknown
Spoke to them as a victim of crime,10.012668231315933,unknown
Asked for information,7.833320069137752,unknown
Shared views on police budget / council tax charged for the police,6.185599870491999,unknown
Made a complaint about the local police,5.1600891563159434,unknown
Made a complaint about the PCC or their office,0.7767421474740286,unknown
Something else,24.822375824362833,unknown
Unweighted base - number of adults3,437,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,unknown
1. The unweighted base is adults resident outside of the London Area. Within the London area responsibility for holding police to account is the responsibility of the Mayor of London and not a Police and Crime Commissioner.,,unknown
2. Figures add to more than 100 as more than one response is possible.,,unknown
3. Unweighted base refer to questions on how contact with PCC was made. Bases for the questions on nature of contact will be similar.,,unknown
