"table s27: perceptions of changing crime levels by personal characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 4,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 10,age_band
England and Wales,,,,,,,Adults aged 16 and over,unknown
,National,Local,Unweighted base - number of adults2,,National,Local,Unweighted base - number of adults2,unknown
,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,unknown
,,,,Respondent's employment status,,,,unknown
,,,,In employment,69.0656832713024,44.286816592793066,14874,unknown
ALL ADULTS,71.77947999346209,43.222588609466186,25872,Unemployed,71.41128659692396,46.58634484483831,474,unknown
,,,,Economically inactive,76.59664231119187,41.28197672976314,10508,unknown
Age,,,,Student,57.42780506005134,32.60168012375226,518,unknown
16-24,66.60094186525114,39.42511104453656,1714,Looking after family/home,76.52773730649051,52.67274579331438,1176,unknown
25-34,66.20526915950481,43.738460177087326,3752,Long-term/temporarily sick/ill,77.72780193061752,47.39890810387013,1093,unknown
35-44,68.70900279758791,47.01694074164024,4189,Retired,79.85612980679238,39.14593127587264,7469,unknown
45-54,71.24484086270738,46.47139487103317,4449,Other inactive,78.21191521738447,48.726358693049924,252,unknown
55-64,73.95995634227475,46.141805768444215,4212,,,,,unknown
65-74,79.36436202568571,41.735400231435705,4206,Respondent's occupation (NS-SEC),,,,unknown
75+,81.29353367273563,33.400934172171866,3350,Managerial and professional occupations,64.5885309860701,40.72434605616396,9321,unknown
,,,,Intermediate occupations,76.04909943863392,45.42809358634683,5955,unknown
Sex,,,,Routine and manual occupations,78.9845855734274,45.28065726056117,8742,unknown
Men,66.13827939825646,39.084938955959394,12048,Never worked and long-term unemployed,71.46314118033415,45.95299822630793,859,unknown
Women,77.17554384322418,47.159130395388566,13824,Full-time students,60.99589598000047,34.322775405294394,785,unknown
,,,,Not classified,64.96401898984374,44.96325084467897,210,unknown
Ethnic group,,,,,,,,unknown
White ,71.20880201210485,42.316220407410704,23177,Highest qualification,,,,unknown
English/Welsh/Scottish/Northern Irish/ British ,72.02081169175996,42.53134895234204,21556,Degree or diploma,63.272279905518744,40.844846863735505,10402,unknown
Irish ,73.2445155472492,39.295627301626745,212,Apprenticeship or A/AS level,75.01625926463582,44.27464160657473,4539,unknown
"Gypsy, Traveller or Irish Traveller ",:,:,13,O level/GCSE,79.58185433432821,47.668027917883784,4632,unknown
Any other White background,60.869846317929564,38.58937335733684,1396,Other,76.69192101348233,42.22821076738484,1114,unknown
Mixed/Multiple,78.17310206197023,49.50691472074586,278,,79.09800984898028,42.77580132967358,5092,unknown
White and Black Caribbean ,82.61075887365644,44.79947010927664,90,,,,,unknown
White and Black African ,:,:,47,Long-standing illness or disability ,,,,unknown
White and Asian ,81.76026266229563,57.76846337141244,63,Long-standing illness or disability ,78.87009714540369,46.25021242539001,6157,unknown
Any other Mixed/ Multiple ethnic background,84.22012434569788,54.01293133550838,78,Limits activities,80.55532903547649,47.071570664144204,4956,unknown
Asian/Asian British,77.48311047604047,52.574456418236494,1467,Does not limit activities,72.45216144233514,42.91506405679188,1198,unknown
Indian ,81.41291914619667,54.15002841096928,596,No long-standing illness or disability ,69.94229250163545,42.32441737583405,19509,unknown
Pakistani ,77.53873954638965,57.932077950302485,354,,,,,unknown
Bangladeshi ,80.71521073234796,56.40021046082673,132,Confidence in police and local council dealing with issues,,,,unknown
Chinese ,54.450651824719955,36.82776033730117,114,Agree,68.85249275974107,35.795729397458885,14515,unknown
Any other Asian background ,76.36688898229329,41.91246976426444,271,No opinion,70.49502197264974,44.2574292213339,6098,unknown
Black/African/Caribbean/Black British,70.79911487095794,44.560862608675244,702,Disagree,83.9888136497941,66.75858508060456,4242,unknown
African ,69.49944604092335,40.14946846499423,412,,,,,unknown
Caribbean ,74.04714391826218,51.28619940202491,243,Experience of crime in last 12 months (excluding fraud and computer misuse),,,,unknown
Any other Black/ African/ Caribbean background,:,:,47,Victim,76.20515558038083,60.30186293643776,3394,unknown
Other ethnic group,71.53745405929467,42.208463812723764,212,Not a victim,71.0317706631619,40.420812597673255,22478,unknown
Arab ,70.72049894331307,:,70,,,,,unknown
Any other ethnic group ,71.96048910571193,44.7945891930598,142,Experience of crime in last 12 months (including fraud and computer misuse)3,,,,unknown
,,,,Victim,75.64293977921194,55.12083964969536,3291,unknown
Marital status,,,,Not a victim,72.09629847828826,40.89819963588959,13771,unknown
Married/civil partnered,73.19252473228383,43.97799048303753,11900,,,,,unknown
Cohabiting,69.5658450048154,45.419177813744255,2677,Religion,,,,unknown
Single,66.71877328800136,41.286545392245046,5678,No religion,65.37931316061533,40.98360311331479,9317,unknown
Separated,74.48435326861419,46.70992429302458,758,Christian,75.38857997927771,43.25427747732623,14752,unknown
Divorced/legally dissolved partnership,76.07589130677962,45.0758120236867,2311,Buddhist,75.34798684695289,41.48253777337614,117,unknown
Widowed,80.80184643200575,37.868446731025564,2504,Hindu,78.91390251549547,54.816910120459326,348,unknown
,,,,Muslim,76.64798068204144,52.72200468187995,880,unknown
 ,,,,Other,80.40984972367123,52.95243079182428,404,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,,,,unknown
1. See Section 7.3 of User Guide for definitions of personal characteristics.,,,,,,,,unknown
2. Unweighted base refers to perceived change in national crime. Bases for local crime will be slightly smaller due to only including respondents that have lived in their area 3 years or more.,,,,,,,,unknown
3. Combined bases for the 'Experience of crime in the last 12 months (including fraud and computer misuse)' are smaller as questions relating to Fraud victimisation were only been asked of the full sample from October 2017 onwards and were previously only asked of half the sample.,,,,,,,,unknown
""":"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,,unknown
