table s28: perceptions of changing crime levels by household and area characteristics year ending march 2018 csew1,unnamed: 1,unnamed: 2,unnamed: 4,age_band
England and Wales,,,Adults aged 16 and over/households,unknown
,National,Local,"Unweighted base
 - number of adults2",unknown
,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years,,,unknown
ALL ADULTS,71.77947999346209,43.222588609466186,25872,unknown
Structure of household,,,,unknown
Single adult and child(ren),79.1037339341343,51.30436474666046,1255,unknown
Adults and child(ren),70.4916142022134,46.05008484693077,5631,unknown
Adult(s) and no child(ren),71.99132518017838,41.89251885396209,18986,unknown
Total household income,,,,unknown
"Less than £10,000",81.12033627419845,46.06478315338238,2332,unknown
"£10,000 to less than £20,000",76.29503075949387,42.45882086104491,5034,unknown
"£20,000 to less than £30,000",74.81038051200431,44.10134960643345,3906,unknown
"£30,000 to less than £40,000",71.9333694717027,43.151871688874856,2949,unknown
"£40,000 to less than £50,000",71.25365037877339,43.90107138524291,2271,unknown
"£50,000 or more",62.53274219207188,40.790253029918254,5147,unknown
No income stated or not enough information provided,74.2783330897333,44.897715439965744,4230,unknown
Tenure,,,,unknown
Owner occupiers,71.70822655583807,43.04383228074569,16882,unknown
Social renters,80.43428601648382,46.05954506894769,4146,unknown
Private renters,66.12575996219022,40.93290121493321,4713,unknown
Accommodation type ,,,,unknown
Houses,72.44067773920155,43.11973327232707,21965,unknown
Detached,69.12367368464703,39.30606789361602,6576,unknown
Semi-detached,74.75772278149275,44.16095938373821,7911,unknown
Terraced,72.87227099812593,45.40458861489083,7478,unknown
Flats/maisonettes,67.67204213770272,43.91953940629335,3800,unknown
Other Accomodation,93.3226275130924,51.49245686841153,44,unknown
Output Area Classification,,,,unknown
Rural residents,70.4409457253225,34.13188317365648,3490,unknown
Cosmopolitans,55.99237175198899,37.913037717738256,936,unknown
Ethnicity central,63.31632173624472,45.73018073588614,1347,unknown
Multicultural metropolitans,73.76582164845324,51.20906415044668,3045,unknown
Urbanites,69.74622139879062,43.175173442030456,4750,unknown
Suburbanites,72.59906768046844,41.417624512025284,5509,unknown
Constrained city dwellers,77.13651166482701,47.118573971878355,1847,unknown
Hard-pressed living,77.46662140172728,44.32544537276627,4948,unknown
Area type,,,,unknown
Urban,71.99669093706838,45.061027781736136,20111,unknown
Rural,70.87124139370962,35.90385554083133,5761,unknown
Level of physical disorder,,,,unknown
High,72.01808961369915,46.08202146615276,1300,unknown
Not high,71.79129151248107,43.09544035946419,24495,unknown
English Indices of Deprivation (Employment),,,,unknown
20% most deprived output areas,76.60135656954589,49.88708925613637,4513,unknown
Other output areas,72.30961608322384,43.649430102939306,14576,unknown
20% least deprived output areas,65.33087570688478,38.25637364696842,4829,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,unknown
2. Unweighted base refers to perceived change in national crime. Bases for local crime will be slightly smaller due to only including respondents that have lived in their area 3 years or more.,,,,unknown
