"table s31: worry about crime by household and area characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
England and Wales,,,,Adults aged 16 and over,unknown
,Worry about burglary,Worry about car crime,Worry about violent crime,Unweighted base - number of adults2,unknown
,Percentage with high levels of worry,,,,unknown
ALL ADULTS,10.055940323179312,6.683607932457051,11.873353700131947,8543,unknown
Structure of household,,,,,unknown
Single adult and child(ren),16.58498570207352,7.3674829054371465,18.90760269268709,406,unknown
Adults and child(ren),12.467831954971116,8.396945360317725,13.796177314551594,1861,unknown
Adult(s) and no child(ren),8.894389878225088,5.908976385078361,10.87436267980591,6276,unknown
Total household income,,,,,unknown
"Less than £10,000",16.52755528012955,8.15853885494146,19.547111943511563,771,unknown
"£10,000 to less than £20,000",13.49032206134077,7.323560625728617,14.260231565761686,1596,unknown
"£20,000 to less than £30,000",10.269212927933669,7.218297662488177,10.829654761141729,1289,unknown
"£30,000 to less than £40,000",8.731687186251131,8.706956073580828,10.712618845933262,986,unknown
"£40,000 to less than £50,000",7.927557003484743,6.164932669901546,10.626255982253422,761,unknown
"£50,000 or more",6.1862698478106415,4.998286424205032,7.482803221466326,1677,unknown
No income stated or not enough information provided,11.495991153210298,6.864079465114347,14.777202339583448,1463,unknown
Tenure,,,,,unknown
Owner occupiers,9.071431400119966,6.369589416485527,10.325512243647397,5513,unknown
Social renters,15.338732129625008,8.290309387625527,17.97080142441489,1414,unknown
Private renters,9.230308812007753,7.044275243406749,12.017420600337017,1575,unknown
Accommodation type ,,,,,unknown
Houses,9.571682461552562,6.360802245015104,11.308799039679318,7229,unknown
Detached,7.6986846976575904,4.938988822916986,7.864083785227403,2140,unknown
Semi-detached,9.240297861525852,6.719208819230442,12.189850458589028,2677,unknown
Terraced,11.500725945511665,7.395931605159555,13.304357114853978,2412,unknown
Flats/maisonettes,13.083490820213015,9.181352489769964,15.376141252554646,1282,unknown
Other,-,-,-,16,unknown
Output Area Classification,,,,,unknown
Rural residents,5.6673584580693435,4.790739073921394,5.703323653575232,1122,unknown
Cosmopolitans,9.978682853410724,10.680481566245506,13.131206852656888,318,unknown
Ethnicity central,13.300411467930301,12.519860590239547,17.257796714769906,451,unknown
Multicultural metropolitans,17.492095458931082,10.898888219004371,21.008950893938362,1031,unknown
Urbanites,6.862159217693592,4.286283795315546,10.299871463082235,1504,unknown
Suburbanites,7.81784940180668,5.22524479565866,7.342373692615165,1865,unknown
Constrained city dwellers,12.206633179065724,5.991331082573984,11.926526950272093,618,unknown
Hard-pressed living,10.851149684722994,7.977011632855858,13.336639516233944,1634,unknown
Area type,,,,,unknown
Urban,10.89516584339359,7.3085806578843195,12.923252410697792,6653,unknown
Rural,6.559842786798149,4.4481246619033765,7.51660176532321,1890,unknown
Level of physical disorder,,,,,unknown
High,15.473265640329107,12.304212453732694,20.308825848898156,424,unknown
Not high,9.726606858466404,6.463168546389541,11.435217679326112,8091,unknown
English Indices of Deprivation (Employment),,,,,unknown
20% most deprived output areas,15.493349517066271,9.40282679561061,18.774803120087533,1526,unknown
Other output areas,9.813899146506843,6.431627490220117,11.056092441011414,4786,unknown
20% least deprived output areas,6.166540556269755,5.459401939914531,8.801590905260355,1595,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,,unknown
"2. Unweighted base refers to worry about burglary. Bases for violent crime will be similar but for car crime will be slightly lower as this is based only on those residing in households owning, or with use of a vehicle.",,,,,unknown
