"table s35: prevalence of domestic abuse, sexual assault and stalking1 in the last year, by type and sex, year ending march 2005 to year ending march 2018 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29,unnamed: 30,unnamed: 31,unnamed: 32,unnamed: 33,unnamed: 34,age_band
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
,Men,,,,,,,,,,,,,,,,,Women,,,,,,,,,,,,,,,unknown
,,,,,,,,,,,,,,,,Apr '17 to Mar '18 (adults aged 16 to 59) compared with,,,,,,,,,,,,,,,,Apr '17 to Mar '18 (adults aged 16 to 59) compared with,unknown
,"Apr '04 to
Mar '05","Apr '05 to
Mar '06","Apr '06 to
Mar '07","Apr '07 to 
Mar '082","Apr '08 to
Mar '09","Apr '09 to
Mar '10","Apr '10 to 
Mar '113","Apr '11 to 
Mar '123","Apr '12 to 
Mar '133","Apr '13 to
Mar '14","Apr '14 to
Mar '15","Apr '15 to
Mar '16","Apr '16 to
Mar '17","Apr '17 to Mar '18 (Adults aged 16 to 59)4,5","Apr '17 to Mar '18 (Adults aged 16 to 74)4,5","    Apr '04 to 
Mar '05","Apr '04 to
Mar '05","Apr '05 to
Mar '06","Apr '06 to
Mar '07","Apr '07 to 
Mar '082","Apr '08 to
Mar '09","Apr '09 to
Mar '10","Apr '10 to 
Mar '113","Apr '11 to 
Mar '123","Apr '12 to 
Mar '133","Apr '13 to
Mar '14","Apr '14 to
Mar '15","Apr '15 to
Mar '16","Apr '16 to
Mar '17","Apr '17 to Mar '18 (Adults aged 16 to 59)4,5","Apr '17 to Mar '18 (Adults aged 16 to 74)4,5","    Apr '04 to 
Mar '05",unknown
,Percentage victims once or more,,,,,,,,,,,,,,,Statistically significant difference,Percentage victims once or more,,,,,,,,,,,,,,,Statistically significant difference,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)6",6.495646104806023,6.3515701146503165,6.504591375201883,:,4.217774706693051,4.132937015677988,4.787677014293596,4.911388964576275,4.381740620075039,4.530684522304952,3.9552802975605466,4.376421767489658,4.3340144884535174,4.209783677197024,3.712306612028815,*,11.078051084845455,11.493999399514188,11.03047182954135,:,8.884717245808067,9.236445747431231,9.052097106897676,9.050378129243757,8.78329928391209,8.465077319148648,8.165390279802123,7.709673219269052,7.452457391988314,7.928619295190161,6.943145923361787,*,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)6",4.880733741038623,4.815840984583897,4.91453865140307,:,2.9759028772679508,3.0636050782094517,3.573818277136923,3.5158396790828266,3.0469070638066897,3.0294430559389145,2.7539494259677615,2.987351671725324,2.986210983636378,2.731632968346679,2.3792662588427786,*,8.65073932620876,9.225465238632003,8.697371257098943,:,6.987348134078495,7.364374097201099,7.408327936314041,6.883648949880264,6.658768427674999,6.793446766110581,6.475845062340719,6.230880299786246,5.9466231116544055,6.25643182401829,5.499781506416217,*,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)6",2.5255934952236903,2.4072050854468223,2.5926136352031497,:,2.0398076169821793,1.7942446788794508,1.965744721474791,1.9719339830828944,1.8425679125375891,1.8469546421236993,1.5630075105782013,1.9668934295383547,1.5879492134755715,1.967774763843609,1.7269557994583489,,4.336871539512716,4.356652870929509,4.342622541432125,:,3.3357412117044585,3.170518101766942,3.1368506386160644,3.396725370812165,3.1512876463899984,2.5388491156157067,2.5378073327110857,2.183250304694842,2.031942158472958,2.4418944907078743,2.0978562748526874,*,unknown
Partner abuse - non-sexual6,4.629427326108614,4.528254300814907,4.85848536417126,4.668832993343128,2.8386356544265716,2.9232486512084286,3.0627032832389913,3.809669728894326,2.739450262958164,2.792232832835783,2.5430823909166542,2.753862252707522,2.7315777519144304,2.4440542294732626,2.1158728969594978,*,8.625293705388907,8.777104856651162,8.644851039400082,7.538236298450419,6.538726123384942,7.178076724968522,6.44062097668439,7.023852624214969,6.078256537639273,5.9320273739687845,5.829772255247379,5.399304169547049,5.205224590337796,5.635156992500675,4.97497718484753,*,unknown
"Non-physical abuse (emotional, financial)6",3.190935987345595,3.24922097671846,3.456083409786702,3.307985006417834,2.143343026614372,2.3519154185098743,2.1041706043840493,2.625317380560298,1.8770417747844677,1.7618353550163726,1.5087145017024477,2.0500566434613194,2.00990134699646,1.537903035450295,1.3215248236183244,*,5.854566667074447,5.634773292338013,5.495721993656177,5.349678028923066,4.197981733493329,4.612131289790768,4.361206718179775,4.65336561024513,4.48934388028741,4.2144843328988895,3.9985415271805698,3.9384805425271443,4.0040690398472885,4.50542459553288,3.9484196890724292,*,unknown
