"table s36: prevalence of domestic abuse, sexual assault and stalking1 in the last year, by type, year ending march 2005 to year ending march 2018 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,age_band
England and Wales,,,,,,,,,,,,,,,,,unknown
,,,,,,,,,,,,,,,,Apr '17 to Mar '18 (adults aged 16 to 59) compared with,unknown
,"Apr '04 to
Mar '05","Apr '05 to
Mar '06","Apr '06 to
Mar '07","Apr '07 to 
Mar '082","Apr '08 to
Mar '09","Apr '09 to
Mar '10","Apr '10 to 
Mar '113","Apr '11 to 
Mar '123","Apr '12 to 
Mar '133","Apr '13 to
Mar '14","Apr '14 to
Mar '15","Apr '15 to
Mar '16","Apr '16 to
Mar '17","Apr '17 to Mar '18 (Adults aged 16 to 59)4,5","Apr '17 to Mar '18 (Adults aged 16 to 74)4,5","    Apr '04 to 
Mar '05",unknown
,Percentage victims once or more,,,,,,,,,,,,,,,Statistically significant difference,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)6",8.855837141020832,8.973245100946952,8.836310387002007,:,6.511476681695317,6.638691379637733,6.936374648827428,6.99815144115277,6.585266949642927,6.5093986986783,6.0785906302651425,6.050634821974403,5.892692216673727,6.0584701070405,5.323028769477507,*,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)6",6.851165917016162,7.079204894728285,6.891356302744472,:,4.938020552047708,5.171027118968315,5.5019315210665765,5.222391966803015,4.853386471691101,4.9223185437358215,4.630733958262348,4.614546129731559,4.4606588302093995,4.480210865925025,3.9321516409847455,*,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)6",3.432694717796015,3.3831463459675515,3.4712357266763867,:,2.6855593679435845,2.479311843864016,2.5567864630676564,2.6822744755243537,2.4982667272647854,2.1945450846459096,2.0546127263412806,2.075641495924726,1.8100219872367722,2.2038173611100356,1.9121393162236926,*,unknown
Partner abuse - non-sexual6,6.681110246407215,6.688937795284011,6.825840334344697,6.21539738418946,4.653017897584364,4.98510891667075,4.755495284964899,5.433865518134904,4.411267419886668,4.372400260866615,4.20376066281493,4.083124192588074,3.9674698259078904,4.030817580187002,3.5425111901000683,*,unknown
"Non-physical abuse (emotional, financial)6",4.545626028893677,4.477795155347991,4.529567754292807,4.3778226394876185,3.173242291099364,3.4824824127746425,3.2364528527688794,3.6505464980814963,3.186901438013847,2.9974163159459306,2.767673135645425,2.9993244815355693,3.0065752539735238,3.0116067403705293,2.631540280059258,*,unknown
Threats or force6,4.0989895680291335,4.154777892268116,4.314094155195449,3.6619617386595085,2.8945375544785525,3.007706756326125,2.819490325918108,3.3320797325234133,2.5621523698885746,2.567298160030027,2.5523783092616084,2.2285339449122636,2.0196843275586858,2.215538622929863,1.942004891866608,*,unknown
Threats6,2.877218002524393,2.970839057413934,2.9746564417655543,2.6974712983960543,2.166763834328495,2.5660056517143763,1.995972927699982,2.2892337464038506,1.800373317117599,1.725848675173327,1.8480312678713222,1.5640441821652322,1.3914353951218486,1.5366418408213913,1.3468731625484525,*,unknown
Force6,2.7511982993363473,2.7427038135095336,2.766239935444402,2.4402203621691645,1.9019531844913677,1.8561295672829958,1.9631596446414339,2.2095406181193855,1.5722696823524636,1.603112207471201,1.4278026539075046,1.3252969563645256,1.2279968149269147,1.4392071189005924,1.2493684381385786,*,unknown
Family abuse - non-sexual6,3.0322973013983296,2.9571437902328976,3.0806449036750387,2.06106106876347,2.3756313581064954,2.192127670887938,2.29981699630062,2.192830568791553,2.2364402704589503,1.9590699315512567,1.797931287376058,1.8601384399060752,1.6043922331583187,1.820668671831246,1.5815909070947072,*,unknown
