"table s9: public confidence in the police and local council by household and area characteristics, year ending march 2018 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
England and Wales,,,,Adults aged 16 and over,unknown
,Agree,No opinion,Disagree,Unweighted base - number of adults,unknown
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,unknown
ALL ADULTS,58.768093499934906,24.61964510236578,16.612261397699804,33193,unknown
Structure of household,,,,,unknown
Single adult and child(ren),53.86040226304907,23.09579086993784,23.04380686701325,1621,unknown
Adults and child(ren),58.04031495420705,24.69015213104206,17.269532914751096,7267,unknown
Adult(s) and no child(ren),59.234026953368215,24.650452581814037,16.115520464818125,24305,unknown
Total household income,,,,,unknown
"Less than £10,000",58.04316864779182,22.48315199865068,19.473679353557383,3001,unknown
"£10,000 to less than £20,000",58.27658739072509,25.284912754567735,16.43849985470709,6467,unknown
"£20,000 to less than £30,000",58.55974633523289,24.289836170206815,17.150417494559814,5030,unknown
"£30,000 to less than £40,000",59.635919393479455,23.07698679760184,17.287093808919167,3812,unknown
"£40,000 to less than £50,000",58.68727169295356,25.262879992122595,16.04984831492368,2914,unknown
"£50,000 or more",59.81805073980724,24.378242907875382,15.803706352317084,6608,unknown
No income stated or not enough information provided,57.80647036891624,25.903902690499443,16.289626940583812,5360,unknown
Tenure,,,,,unknown
Owner occupiers,58.59235748784726,24.918386489320508,16.48925602283257,21488,unknown
Social renters,55.764154360665344,23.40032269387487,20.835522945459665,5422,unknown
Private renters,61.5705004402669,24.30467328459645,14.12482627513652,6116,unknown
Accommodation type ,,,,,unknown
Houses,58.661383430186206,24.679385712814174,16.659230857000217,28181,unknown
Detached,60.221015708288036,26.214889553784502,13.564094737927027,8261,unknown
Semi-detached,58.43340876842318,24.20694224658255,17.359648984994088,10208,unknown
Terraced,57.62168717022792,23.908221621357058,18.470091208414896,9712,unknown
Flats/maisonettes,59.517540556893714,24.17193148277282,16.31052796033315,4875,unknown
Other accommodation,69.64094859570669,19.54974020423464,10.809311200058662,62,unknown
Output Area Classification,,,,,unknown
Rural residents,60.52917114330083,26.49412036811203,12.976708488587283,4424,unknown
Cosmopolitans,58.408538748055925,28.67934600950909,12.912115242434957,1199,unknown
Ethnicity central,58.55976549803994,24.29550771009757,17.144726791862425,1745,unknown
Multicultural metropolitans,59.15818325360625,23.519503795951064,17.322312950442566,3925,unknown
Urbanites,59.869012275166114,24.020456920597745,16.11053080423641,6115,unknown
Suburbanites,61.19327393429096,25.046228897959168,13.76049716774988,7048,unknown
Constrained city dwellers,54.25216641832367,24.288832822480348,21.459000759196062,2400,unknown
Hard-pressed living,55.04946490127322,23.587457793571176,21.36307730515553,6337,unknown
Area type,,,,,unknown
Urban,58.505436319016866,24.36481379594705,17.129749885037025,25896,unknown
Rural,59.88046099823824,25.69886959498951,14.420669406771902,7297,unknown
Level of physical disorder,,,,,unknown
High,56.50613591149048,22.6225555826991,20.87130850581075,1687,unknown
Not high,58.902113442714096,24.734087712818777,16.363798844467365,31404,unknown
English Indices of Deprivation (Employment),,,,,unknown
20% most deprived output areas,54.296578730672174,21.95233268106057,23.751088588267034,5861,unknown
Other output areas,58.33114574090812,25.170880308757965,16.49797395033398,18676,unknown
20% least deprived output areas,63.00134219981368,25.673872941814924,11.32478485837127,6154,unknown
"Source: Crime Survey for England and Wales, Office for National Statistics",,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,,unknown
