"table s13: trends in victim satisfaction with the police, year ending december 1992 to year ending march 2020 csew1,2",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,age_band
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,Adults aged 16 and over,unknown
,Jan '92 to Dec '92,Jan '94 to Dec '94,Jan '96 to Dec '96,Jan '98 to Dec '98,Jan '00 to Dec '00,Apr '01 to Mar '023,Apr '02 to Mar '03,Apr '03 to Mar '04,Apr '04 to Mar '05,Apr '05 to Mar '06,Apr '06 to Mar '07,Apr '07 to Mar '08,Apr '08 to Mar '09,Apr '09 to Mar '10,Apr '10 to Mar '11,Apr '11 to Mar '12,Apr '12 to Mar '13,Apr '13 to Mar '14,Apr '14 to Mar '15,Apr '15 to Mar '16,Apr '16 to Mar '17,Apr '17 to Mar '18,Apr '18 to Mar '19,Apr '19 to Mar '20,Apr '19 to Mar '20 compared with:,,unknown
,,,,,,,,,,,,,,,,,,,,,,,,,"Apr '14 to 
Mar '15","Apr '18 to 
Mar '19",unknown
,Percentage of incidents in which victims were:,,,,,,,,,,,,,,,,,,,,,,,,Statistically significant difference4,,unknown
Very satisfied,30,32,28,26,24,..,25.62091844344188,23.40042130854865,24.09166121899521,22.38628242763611,23.905930190396514,26.111875482841075,30.8097673823219,37.26747872469085,37.62940336059367,37.31819059638067,37.97408691116588,42.94446137711048,39.81649567903439,41.46648661746642,38.05728613289372,33.60259524179505,35.024169945379356,31.920998269822114,*,,unknown
Fairly satisfied,37,36,38,39,35,..,34.09386096840728,34.59255977931435,32.896187945678676,34.85508487717052,34.76939953015858,32.80924920728512,33.39981075121912,31.685597712825714,32.44385765239501,34.1382343868925,35.467864235283045,31.577359312809495,30.38996078021463,30.75098208211028,30.199250336006617,33.43617677731958,30.642113775466868,33.67966608133155,,,unknown
Not satisfied,33,32,34,35,41,..,40.28522058815084,42.00701891213701,43.012150835326125,42.75863269519337,41.3246702794449,41.07887530987381,35.79042186645898,31.046923562483435,29.92673898701132,28.543575016726837,26.55804885355106,25.47817931008005,29.79354354075098,27.782531300423287,31.74346353109967,32.961227980885354,34.33371627915377,34.39933564884634,*,,unknown
Unweighted base - number of incidents,2552,4344,4232,3119,3565,..,4886,4779,5061,5277,5358,4765,4769,4384,4435,4283,2937,2562,2289,2310,2155,2125,2110,1815,,,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"1. Following a methodological change to the handling of repeat victimisation in the CSEW, data from the year ending March 2003 have been re-calculated and are not comparable with data published before January 2019. For more information see Improving victimisation estimates derived from the Crime Survey for England and Wales. Due to questionnaire changes, data prior to the year ending March 2003 are unable to be recalculated and are therefore not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
2. This question is asked of all victims of crime (excluding fraud and computer misuse) who reported that they informed the police of the matter.,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
3. '..' denotes data not available for the year ending March 2002. ,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"4. Statistically significant change at the 5% level is indicated by an asterisk. For more information on statistical significance, see Chapter 8 of the User Guide. ",,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
