"table s14: percentage of incidents in which victims were satisfied with the police by crime type, year ending march 2020 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,Satisfaction with the police,"Unweighted base
 - number of incidents",unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
Violence,70.9798013614552,259,unknown
With injury,69.75142241768587,148,unknown
Without injury ,72.96573875802997,111,unknown
Theft offences,63.501447305979575,1211,unknown
Theft from the person,58.56238889096085,54,unknown
Other theft of personal property,64.49664162791622,104,unknown
Domestic burglary,70.40677057311025,393,unknown
Other household theft,67.77402446126966,95,unknown
Vehicle-related theft,56.967337685334165,431,unknown
Bicycle theft,62.89742317371424,134,unknown
Criminal damage,61.093867031245395,320,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
"1. Following a methodological change to the handling of repeat victimisation in the CSEW, these data are not comparable with data published before January 2019. For more information see Improving victimisation estimates derived from the Crime Survey for England and Wales.",,,unknown
