"table s16: percentage of incidents in which victims were satisfied with the police, by household and area characteristics, year ending march 2020 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
Household characteristic2,Satisfaction with the police,Unweighted base - number of incidents,unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
ALL INCIDENTS,65.60066435115357,1815,unknown
Structure of household,,,unknown
Single adult and child(ren),71.0602330309652,165,unknown
Adults and child(ren),58.05224681022073,498,unknown
Adult(s) and no child(ren),68.17588575708315,1152,unknown
Total household income,,,unknown
"Less than £10,400",57.219013337858506,163,unknown
"£10,400 to less than £20,800",62.69908739284419,293,unknown
"£20,800 to less than £31,200",69.00278632934817,258,unknown
"£31,200 to less than £41,600",64.40129550583758,210,unknown
"£41,600 to less than £52,000",66.28604797600187,195,unknown
"£52,000 or more",70.76997083763034,435,unknown
No income stated or not enough information provided,-,5,unknown
Tenure,,,unknown
Owners,64.79138534941535,1054,unknown
Social renters,57.1260722116385,347,unknown
Private renters,73.93053265880857,404,unknown
Accommodation type ,,,unknown
Houses,64.9072571657377,1502,unknown
Detached,70.59307120387287,373,unknown
Semi-detached,66.46587235041993,526,unknown
Terraced,59.72635206899412,603,unknown
Flats/maisonettes,~,~,unknown
Other accommodation,-,~,unknown
Output Area Classification,,,unknown
Rural residents,77.21490940508446,161,unknown
Cosmopolitans,70.14810873374536,86,unknown
Ethnicity central,63.684528134844776,126,unknown
Multicultural metropolitans,55.523979985632856,294,unknown
Urbanites,67.89064160698196,324,unknown
Suburbanites,67.64345991434041,307,unknown
Constrained city dwellers,67.0882114101637,164,unknown
Hard-pressed living,62.924666817358364,353,unknown
Area type,,,unknown
Urban,65.2452739460342,1547,unknown
Rural,67.80370123613099,268,unknown
Level of physical disorder,,,unknown
High,65.06844596115214,95,unknown
Not high,65.63887461180312,1715,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,56.4450552251156,385,unknown
Other output areas,66.20982886655614,1090,unknown
20% least deprived output areas,76.61794016958751,262,unknown
Welsh Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,-,13,unknown
Other Output Areas,53.59846305758536,52,unknown
20% least deprived Output Areas,-,13,unknown
English regions and Wales,,,unknown
North East,77.28188656324382,90,unknown
North West,70.75728942416694,220,unknown
Yorkshire and The Humber,61.26441608093959,157,unknown
East Midlands,67.20219102103492,183,unknown
West Midlands,48.9225383143862,172,unknown
East,67.65696253042384,226,unknown
London,62.23726702649594,296,unknown
South East,73.91579794761603,246,unknown
South West,66.04640032748667,147,unknown
Wales,58.526053923271384,78,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
"1. Following a methodological change to the handling of repeat victimisation in the CSEW, these data are not comparable with data published before January 2019. For more information see Improving victimisation estimates derived from the Crime Survey for England and Wales.",,,unknown
2. See Sections 7.1 and 7.2 of the User Guide for definitions of household and area characteristics.,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,unknown
""" ~ "" denotes that figures have been suppressed due to disclosure constraints.",,,unknown
