"table s21: awareness and use of the 101 non-emergency police number, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
Personal characteristic1,Were aware of the 101 non-emergency police number2,Had used the 101 non-emergency police number2,Unweighted base - number of adults,,Personal characteristic1,Were aware of the 101 non-emergency police number2,Had used the 101 non-emergency police number2,Unweighted base - number of adults,unknown
,Percentage,,,,,Percentage,,,unknown
ALL ADULTS,76.02106755987904,13.38793080001861,8777,,Respondent's employment status,,,,unknown
,,,,,In employment,79.46382210422705,16.385789778714567,4972,unknown
16-24,71.18549174126714,10.657977061098329,567,,Unemployed,71.81470106940881,12.83267095910457,153,unknown
25-34,80.74654318852227,19.304315047896626,1217,,Economically inactive,70.3616628041787,8.264581916211512,3644,unknown
35-44,78.23401593512712,18.10134791685671,1399,,Student,63.14036089904509,3.7366692626728892,192,unknown
45-54,77.91210259372315,15.863313438959764,1451,,Looking after family/home,64.24826338681797,13.124340832885098,379,unknown
55-64,77.29248034123562,11.625557775579553,1424,,Long-term/temporarily sick/ill,72.99555837048199,19.57383745977327,349,unknown
65-74,74.9953498873098,8.576763317674837,1450,,Retired,72.51434889353888,6.204109208401614,2632,unknown
75+,67.41277825106108,4.3803637992066795,1269,,Other inactive,73.90839798140789,16.851353918777697,92,unknown
Men,76.99031982564168,12.781683008414976,4028,,Respondent's occupation,,,,unknown
,,,,,Managerial and professional occupations,80.96071049303211,16.521030733434134,3218,unknown
16-24,72.00900730553104,9.847602658043407,276,,Intermediate occupations,76.52860716987195,13.174855538630526,2006,unknown
25-34,81.9338947139968,17.696318472148796,515,,Routine and manual occupations,74.28407243041212,12.452841646191912,2897,unknown
35-44,78.95081406941394,17.56727140030517,625,,Never worked and long-term unemployed,57.85083294316175,8.998171150897386,293,unknown
45-54,79.40410237071714,13.66469244750967,646,,Full-time students,66.84504770704616,4.499448977815472,266,unknown
55-64,75.25014198981303,12.016425383581506,702,,Not classified,62.85405019733733,6.112844194345371,97,unknown
65-74,76.18601177239385,8.558566699984677,690,,,,,,unknown
75+,71.78380278929521,5.491281529508959,574,,Highest qualification,,,,unknown
,,,,,Degree or diploma,78.76145727718014,16.561178590041948,3632,unknown
Women,75.10199853031796,13.962789987027142,4749,,Apprenticeship or A/AS level,80.93832190693438,13.569082347836915,1554,unknown
,,,,,O level/GCSE,77.62003517216965,12.733296636610977,1552,unknown
16-24,70.3116134046536,11.517910577969824,291,,Other,61.93616952000575,7.923681349005059,446,unknown
25-34,79.61169357369614,20.841209771554652,702,,,64.72709961504333,6.763791499644981,1560,unknown
