"table s33: worry about crime, by household and area characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,age_band
England and Wales,,,,,Adults aged 16 and over,unknown
Household characteristic1,Worry about burglary,Worry about car crime,Worry about fraud2,Worry about violent crime,Unweighted base - number of adults3,unknown
,Percentage with high level of worry,,,,,unknown
ALL ADULTS,9.921713594824784,6.814875333344192,18.93451424735313,8.465584575280266,8569,unknown
Structure of household,,,,,,unknown
Single adult and child(ren),14.311677455562876,5.49491083050258,20.604037598572237,14.527630944627434,428,unknown
Adults and child(ren),11.170992144179952,8.103966612463083,17.222611499308186,8.675622663415359,1844,unknown
Adult(s) and no child(ren),9.268481780129918,6.325318256264735,19.54146930716797,8.143317055579384,6297,unknown
Total household income,,,,,,unknown
"Less than £10,400",14.112830522161216,10.785653780200102,24.86438255084966,19.189021211760256,771,unknown
"£10,400 to less than £20,800",13.008351279736635,8.423386404752494,22.016316233792452,10.153066743874467,1523,unknown
"£20,800 to less than £31,200",12.081057796848711,7.410529925882671,20.238293481318134,8.09180779769588,1271,unknown
"£31,200 to less than £41,600",9.200850309343595,6.565435207124408,19.883406925196617,6.640290647869588,944,unknown
"£41,600 to less than £52,000",7.15189020973354,6.096397616684232,17.958506854697053,7.781164227048704,804,unknown
"£52,000 or more",6.319818827772575,3.4689996640331824,13.499481245449928,4.743064160093538,1617,unknown
No income stated or not enough information provided,-,-,-,-,37,unknown
Tenure,,,,,,unknown
Owner occupiers,8.65918387546157,5.4533767105914706,19.58743072447812,6.897098201158551,5516,unknown
Social renters,15.110047962772356,9.553589657339062,21.89706810893415,13.299430045535962,1437,unknown
Private renters,9.88187415288061,9.723460493409798,14.76622488491767,9.359701552304017,1564,unknown
Accommodation type ,,,,,,unknown
Houses,10.081008731322967,6.4714820317008535,18.965010918996747,7.995151250273415,7276,unknown
Detached,7.370346019657678,3.9042451989321894,20.54502742106858,6.467315796605333,2087,unknown
Semi-detached,10.38710207289098,6.985167274718189,17.930507212049633,7.134202900673214,2621,unknown
Terraced,11.894663215164824,8.55636475596693,18.76903119361179,10.119669922154754,2568,unknown
Flats/maisonettes,8.99963940185502,9.384039315528254,18.34929868447869,11.299141670423685,1254,unknown
Other,-,-,-,-,20,unknown
Output Area Classification,,,,,,unknown
Rural residents,5.293980044771066,2.843826303980884,17.38078742664164,4.29744610042038,1146,unknown
Cosmopolitans,4.34224441019721,5.324691149089325,14.214394303859656,6.543193937109598,327,unknown
Ethnicity central,12.923996841888677,8.405492536048131,21.828626661575505,12.370999499294973,389,unknown
Multicultural metropolitans,16.80034894387438,15.877492988351824,21.84229174954016,15.302794433475487,1048,unknown
Urbanites,7.5504935603594765,5.518204899461061,16.0060173203094,6.253930181874505,1610,unknown
Suburbanites,8.450624977052717,4.626205858836264,20.567047249293026,6.390850507663568,1775,unknown
Constrained city dwellers,13.726934204357978,9.920933087984636,18.37620997096129,12.151878776568276,616,unknown
Hard-pressed living,10.529832412721298,7.269582898199952,19.13666394417179,8.487093426788594,1658,unknown
Area type,,,,,,unknown
Urban,11.011286553218644,7.707855918230878,19.427418743412083,9.522898467828862,6662,unknown
Rural,5.339741540013689,3.5509979417468176,16.79509558985183,3.8580047975535057,1907,unknown
Level of physical disorder,,,,,,unknown
High,14.36450523618736,14.885446343594902,21.145959669759947,14.720430798188369,398,unknown
Not high,9.666596154307747,6.51726830403385,18.770471740791532,8.145331302797526,8154,unknown
English Indices of Deprivation (Employment),,,,,,unknown
20% most deprived Output Areas,15.366404966124914,11.455705156153206,21.631485260422522,14.362585230047578,1491,unknown
Other Output Areas,9.726335478347828,6.96319158868067,18.683876723586433,8.08971519617573,4852,unknown
20% least deprived Output Areas,6.071439518264634,4.148083341938825,17.97470232848658,5.018110204345828,1590,unknown
Welsh Indices of Deprivation (Employment),,,,,,unknown
20% most deprived Output Areas,12.671321848677525,1.6221185678581642,17.83089615502096,6.230466964544536,109,unknown
Other Output Areas,8.474507833354311,2.9346162580909367,16.27688809363491,4.445825366287661,397,unknown
20% least deprived Output Areas,2.617412240806702,3.0912729068130735,15.757916057679832,8.43182454119775,130,unknown
Region,,,,,,unknown
North East,8.964041301496788,5.358451828377278,18.290345755986102,7.977189927095085,509,unknown
North West,13.187954359938015,7.115163462368512,18.084281791325893,8.519589504162811,1078,unknown
Yorkshire and The Humber,9.372745877209278,6.519770731759504,18.574570242144844,10.169541563465037,777,unknown
East Midlands,10.273161873836408,6.604917266842038,17.47245007234,6.758154676283418,738,unknown
West Midlands,12.875762956641454,9.324274975328244,27.45729160031368,12.121413571742094,803,unknown
East,8.479302857141818,6.976973040375584,17.974168742488757,8.468012183331606,983,unknown
London,13.517787327438292,10.745021754584341,20.598624732358665,11.989696667592268,1001,unknown
South East,6.662844195963126,5.5994251310098,17.597039100549484,6.3560390135472336,1159,unknown
South West,5.80348992605276,4.278996357421279,15.317596789758433,4.2999755246276905,885,unknown
Wales,8.071505978494619,2.750203360425516,16.464712471922926,5.687547322465411,636,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of area and household characteristics.,,,,,,unknown
2. The question on worry about fraud was first introduced into the survey in April 2018.,,,,,,unknown
"3. Unweighted base refers to worry about burglary. Bases for fraud and violent crime will be similar but for car crime will be slightly lower as these are based only on those residing in households owning, or with use of, a vehicle.",,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,unknown
