"table s38: percentage of adults who felt very/fairly safe when walking alone after dark, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
Personal characteristic1,Percentage who feel very / fairly safe2,Unweighted base - number of adults,,Personal characteristic1,Percentage who feel very / fairly safe2,Unweighted base - number of adults,unknown
,Percentage,,,,Percentage,,unknown
ALL ADULTS,77.84645681302183,7902,,Respondent's employment status,,,unknown
,,,,In employment,80.92251907480953,4656,unknown
16-24,80.12869771552586,483,,Unemployed,79.81957717822027,110,unknown
25-34,79.508350295058,1172,,Economically inactive,71.7903916057725,3119,unknown
35-44,80.13446165880262,1342,,Student,84.81638989102235,135,unknown
45-54,79.86600818259623,1315,,Looking after family/home,67.29836118365927,321,unknown
55-64,78.17376536292647,1309,,Long-term/temporarily sick/ill,58.202593816883855,338,unknown
65-74,74.98005118970329,1166,,Retired,72.40362687046414,2239,unknown
75+,67.58099568980793,1115,,Other inactive,75.21759198644904,86,unknown
Men,86.8301168480899,3649,,Respondent's occupation,,,unknown
,,,,Managerial and professional occupations,82.89188976997885,2913,unknown
16-24,85.79478498104551,237,,Intermediate occupations,77.38476259597535,1795,unknown
25-34,89.46697571128536,513,,Routine and manual occupations,72.16563479297885,2633,unknown
35-44,88.40737324741946,623,,Never worked and long-term unemployed,70.37133594690847,238,unknown
45-54,89.71567539555367,618,,Full-time students,83.28968781309041,214,unknown
55-64,86.02061580014241,626,,Not classified,74.67388802439967,109,unknown
65-74,83.38857874986357,545,,,,,unknown
75+,79.59228841316175,487,,Highest qualification,,,unknown
,,,,Degree or diploma,82.5064745887911,3302,unknown
Women,68.99553805118852,4253,,Apprenticeship or A/AS level,79.53283395595439,1419,unknown
,,,,O level/GCSE,74.39465252939351,1399,unknown
16-24,74.01473807641497,246,,Other,74.80342510830936,364,unknown
25-34,68.98324688775531,659,,,67.95394632175547,1373,unknown
35-44,71.13065473423107,719,,,,,unknown
45-54,70.3985369297277,697,,Disability3,,,unknown
55-64,70.32949299579319,683,,Disabled,63.482369325346404,1545,unknown
65-74,67.57493224732468,621,,Not disabled,80.61527371096132,6317,unknown
75+,58.42508272380803,628,,,,,unknown
,,,,Religion,,,unknown
Ethnic group,,,,No religion,82.68247322257011,2933,unknown
White ,78.41391707570313,7011,,Christian,75.23224517369346,4387,unknown
   English/Welsh/Scottish/Northern Irish/British,78.32918086678458,6479,,Buddhist,-,34,unknown
   Irish,77.65466398264351,54,,Hindu,65.50780188361995,95,unknown
   Gypsy or Irish Traveller,-,4,,Muslim,75.05909811594731,280,unknown
   Any other White background,79.5579980630285,474,,Sikh,76.38233276012325,56,unknown
Mixed/Multiple,77.95501634727785,101,,Other,60.796324872756884,75,unknown
   White and Black Caribbean,-,24,,,,,unknown
   White and Black African,-,17,,Sexual orientation4,,,unknown
   White and Asian,-,33,,Heterosexual/straight,79.56247501456266,5902,unknown
   Any other Mixed/Multiple ethnic background,-,27,,Gay/Lesbian,74.36365716682052,94,unknown
Asian/Asian British,72.29803961720162,488,,Bisexual,79.47940499529531,99,unknown
   Indian,76.24178897412816,198,,Other,-,29,unknown
   Pakistani,66.37979335376163,122,,,,,unknown
   Bangladeshi,-,35,,Experience of crime in last 12 months (including fraud and computer misuse),,,unknown
   Chinese,-,46,,Victim,71.52352553795683,1462,unknown
   Any other Asian background,74.1820633355827,87,,Not a victim,79.41365964292352,6440,unknown
Black/African/Caribbean/Black British,77.63093544500984,212,,,,,unknown
   African,73.43684872862536,134,,Hours out of home on an average weekday,,,unknown
   Caribbean,84.01022168172877,68,,Less than 3 hours,69.89620514585329,2410,unknown
   Any other Black/African/Caribbean background,-,10,,3 hours or more but less than 7 hours,77.50169678426738,2160,unknown
Other ethnic group,80.24983930056128,64,,7 hours or longer,82.55003983202064,3301,unknown
   Arab,-,24,,,,,unknown
   Any other ethnic group,-,40,,Number of evening visits to pub/bar in the last month,,,unknown
,,,,,73.03468651379673,4165,unknown
Country of Birth,,,,Less than once a week ,80.59057016784121,2364,unknown
Born in the UK,78.35186259741008,6661,,Once a week or more often,86.63901355512945,1367,unknown
Not born in the UK,75.5539694244559,1218,,,,,unknown
,,,,Number of visits to a nightclub/disco in the last month,,,unknown
Marital status,,,,,77.57279053422515,7514,unknown
Married/civil partnered,78.8077839454837,3586,,1-3 times a month,80.54255978894439,345,unknown
Cohabiting,81.93106090082134,875,,4+ times a month,-,41,unknown
Single,78.85528556014214,1728,,,,,unknown
Separated,71.16303665646224,232,,,,,unknown
Divorced/legally dissolved partnership,68.389765310238,680,,,,,unknown
Widowed,66.18479680956833,775,,,,,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,unknown
2. The relevant questions relating to feeling safe walking alone after dark are only asked of one quarter of the CSEW sample. ,,,,,,,unknown
"3. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,,unknown
"4. The terminology used to label this data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,unknown
