"table s39: percentage of adults who felt very/fairly safe when walking alone after dark, by household and area characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
Household characteristic1,Percentage who feel very / fairly safe2,Unweighted base - number of adults,unknown
,Percentage,,unknown
ALL ADULTS,77.84645681302183,7902,unknown
Structure of household,,,unknown
Single adult and child(ren),69.35082081066098,392,unknown
Adults and child(ren),79.43306578314477,1768,unknown
Adult(s) and no children,77.5570797506105,5742,unknown
Total household income,,,unknown
"Less than £10,400",66.49974624848282,676,unknown
"£10,400 to less than £20,800",71.94108956812019,1347,unknown
"£20,800 to less than £31,200",73.76682240006,1205,unknown
"£31,200 to less than £41,600",80.77645895295193,877,unknown
"£41,600 to less than £52,000",81.09606586782111,773,unknown
"£52,000 or more",85.8228497980259,1422,unknown
No income stated or not enough information provided,-,39,unknown
Tenure,,,unknown
Owners,79.40184333058025,5091,unknown
Social renters,68.87301564365757,1289,unknown
Private renters,79.30111479288597,1457,unknown
Accommodation type ,,,unknown
Houses,78.55689707794065,6693,unknown
Detached,82.87784173944986,1920,unknown
Semi-detached,78.31523434022323,2508,unknown
Terraced,75.3342311970488,2265,unknown
Flats/maisonettes,73.71609968894475,1169,unknown
Other accommodation,-,17,unknown
Output Area Classification,,,unknown
Rural residents,86.6860924396667,1046,unknown
Cosmopolitans,82.54196551131035,289,unknown
Ethnicity central,74.91495507848883,388,unknown
Multicultural metropolitans,68.61703519904468,939,unknown
Urbanites,83.03376438095975,1469,unknown
Suburbanites,82.16210644437356,1692,unknown
Constrained city dwellers,63.235642573205475,560,unknown
Hard-pressed living,73.66231772275842,1519,unknown
Area type,,,unknown
Urban,75.5918029429824,6207,unknown
Rural,87.62898654033114,1695,unknown
Level of physical disorder,,,unknown
High,72.2391878272963,366,unknown
Not high,78.12210098253745,7520,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,65.2126603624777,1375,unknown
Other Output Areas,78.14998323836744,4434,unknown
20% least deprived Output Areas,86.19234938358076,1477,unknown
Welsh Indices of Deprivation (Employment),,,unknown
20% most deprived Output Areas,75.17609096136094,108,unknown
Other Output Areas,85.58827197253568,385,unknown
20% least deprived Output Areas,93.51241005843403,123,unknown
English regions and Wales,,,unknown
North East,76.98902630026375,480,unknown
North West,77.45575886844394,972,unknown
Yorkshire and The Humber,75.58187511158661,742,unknown
East Midlands,75.89910596609465,726,unknown
West Midlands,70.70317133346681,724,unknown
East,77.70847618897513,874,unknown
London,75.95050746283611,909,unknown
South East,81.60204285317506,1074,unknown
South West,82.7700556171558,785,unknown
Wales,85.35156907374639,616,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of household and area characteristics.,,,unknown
2. The relevant questions relating to feeling safe walking alone after dark are only asked of one quarter of the CSEW sample. ,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,unknown
