"table s4: trends in ratings and perceptions of the local police, year ending march 2006 to year ending march 2020 csew1,2",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17
England and Wales,,,,,,,,,,,,,,,,,Adults aged 16 years and over
,Apr '05 to Mar '063,Apr '06 to Mar '07,Apr '07 to Mar '08,Apr '08 to Mar '09,Apr '09 to Mar '10,Apr '10 to Mar '11,"Apr '11 to Mar '121,4","Apr '12 to Mar '131,4","Apr '13 to Mar '141,4","Apr '14 to Mar '151,4","Apr '15 to Mar '161,4","Apr '16 to Mar '171,4","Apr '17 to Mar '181,4",Apr '18 to Mar '194,Apr '19 to Mar '20,April 2019 to March 2020  compared with:,
,,,,,,,,,,,,,,,,"Apr '14 to 
Mar '15","Apr '18 to 
Mar '19"
,Percentage,,,,,,,,,,,,,,,Statistically significant difference5,
Police doing a good/excellent job,50.37441389217516,51.146771081026735,52.551714230004066,53.27421117756695,56.35240975170137,58.763691908753465,62.44763937938036,61.528686821283195,62.7877869462019,62.0029441962723,62.87154915878682,62.22690858592868,61.67191578229646,57.51245099903255,55.36026245,*,*
,Percentage saying they 'tend to agree' or 'strongly agree' that:,,,,,,,,,,,,,,,,
Police can be relied upon when needed,46.73288859027661,46.795298686003115,48.4047804801317,47.71662100120971,50.13955261196465,54.11118534888547,58.58685373487147,58.775603405064544,60.719279726424645,60.902513770083,60.89485774333101,61.30892725221799,61.537946562983635,58.109944051352024,58.40884784,*,
Police would treat you with respect,82.18691508607283,82.68899769516325,83.27362994894571,83.76360645266872,84.15813348127067,85.04564042514488,85.93214907392615,85.71981966943423,85.79049426126699,85.9081079012374,87.06454297645327,86.98351616634099,87.9454246781527,87.65266039033665,87.19950286,*,
Police would treat you fairly,62.853916785916,61.63873140012197,63.6518891075725,64.94080297759788,65.31222129356696,66.90158226904549,66.66817056052675,64.74442439534168,65.64711922444408,65.83442172820914,67.33323862945015,67.86521159925994,68.39135658506301,67.00967753813433,66.72037841,*,
Police can be relied upon to deal with minor crimes6,41.81582377963475,41.28268845156186,42.907140030032195,45.73859353763567,47.71763493358504,49.9102466635552,:,:,:,:,:,:,:,:,:,,
Police understand local concerns,60.09512789737344,60.355296613518775,62.35827792689377,65.50239163557048,66.7587777256674,67.33013023011546,72.50570396679416,70.93684406330635,71.83126207989262,70.47276610520545,71.41771983853855,70.34088720019362,69.5597781174436,67.33267445886207,66.06556592,*,*
Police deal with local concerns,48.820199296885,48.54077747731538,51.06621194987664,53.686097093347385,55.592224556376266,57.73795296578257,62.084282467651356,60.596260878568344,62.42822476134269,61.5856105419735,61.68216926043263,60.63550825531506,59.348639446388354,55.470697819871596,52.9681428,*,*
Overall confidence in local police,63.09468995793118,63.95504296668775,65.21086668692017,66.8710830976965,68.95915176805579,71.94178146464516,75.13443624423941,74.5050454679407,75.97315378760896,75.75789676335289,78.72507403523846,78.3178399691019,78.36590991782599,75.31360796447369,74.15549315,*,*
Unweighted base - number of adults7,47431,46855,46627,45960,44293,46467,45496,34463,34826,32832,34471,34767,34293,33704,33363,,
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,,,,,,,
1. A small change to the weighting procedure made in 2019 has been incorporated from the year ending March 2019 and into historic datasets back to the year ending March 2012. The effect of this change will only have a negligible impact on the estimates in this table. Years that have been re-calculated using the new weighting procedure are denoted by a 1.,,,,,,,,,,,,,,,,,
"2. Following changes to data affecting a small number of police force areas, estimates between year ending March 2012 and year ending March 2018 were revised in 2019. Consequently, there may be a small change on the unweighted bases and estimates in this table compared with versions published prior to 2019.",,,,,,,,,,,,,,,,,
"3. While the questions were introduced in year ending March 2005, the first full year of data was year ending March 2006.",,,,,,,,,,,,,,,,,
"4. Numbers from year ending March 2012 CSEW onwards are not directly comparable with those previous; the methodological note published alongside Focus On: Public Perceptions of Policing, 2011/12 provides more information.",,,,,,,,,,,,,,,,,
"5. Statistically significant change at the 5% level is indicated by an asterisk. For more information on statistical significance, see Chapter 8 of the User Guide.",,,,,,,,,,,,,,,,,
6. The question on 'police can be relied upon to deal with minor crimes' was not asked from year ending March 2012 onwards.,,,,,,,,,,,,,,,,,
7. Unweighted base refers to overall confidence in the local police. Other bases will be similar.  ,,,,,,,,,,,,,,,,,
: denotes not applicable.,,,,,,,,,,,,,,,,,
