"table s41a: prevalence of domestic abuse, sexual assault and stalking in the last year among adults aged 16 to 74, by type and sex, year ending march 2018 to year ending march 2020 csew1,2,3",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,age_band
England and Wales,,,,,,,,,,,Adults aged 16 to 743,unknown
,Men,,,,,,Women,,,,,unknown
,"Apr '17 to 
Mar '184,5","Apr '18 to 
Mar '194","Apr '19 to 
Mar '20","Apr '19 to Mar '20 
compared with",,,"Apr '17 to 
Mar '184,5","Apr '18 to 
Mar '194","Apr '19 to 
Mar '20","Apr '19 to Mar '20 
compared with",,unknown
,,,,"Apr '17 to 
Mar '18","Apr '18 to 
Mar '19",,,,,"Apr '17 to 
Mar '18","Apr '18 to 
Mar '19",unknown
,"Percentage who were victims 
once or more",,,Statistically significant difference6,,,"Percentage who were victims
once or more",,,Statistically significant difference6,,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",3.7176504041268013,3.7572395513501764,3.6025610995387174,,,,6.938693743857272,7.4885088193731475,7.316400451564963,,,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",2.385979540643113,2.7541219050951957,2.441942040231217,,,,5.500759874714803,5.61968859866154,5.600399616968888,,,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",1.72690903085295,1.3830140598047584,1.5084808367960718,,,,2.093874978458345,2.555971667331802,2.374200765591753,,,unknown
Partner abuse - non-sexual,2.1216462239816862,2.4642673540222106,2.0851133258686207,,,,4.974860099024248,4.790548606029917,4.927129901727842,,,unknown
"Non-physical abuse (emotional, financial)",1.3258908749980152,1.6000550306204466,1.4834478791411976,,,,3.946979077304605,3.801577354843076,3.7964250845242753,,,unknown
Threats or force,1.2411929394318315,1.328092779039013,1.0452873772218088,,,,2.6565232178013463,2.3808746450023484,2.5183716189149243,,,unknown
Threats,0.6431349818415021,0.640776877775772,0.5398744545354959,,,,2.058231727488938,1.8822259573279265,1.9132671423170728,,,unknown
Force,1.0443613184104996,1.0436614315510715,0.845776894191228,,,,1.4636299725156157,1.34901882843463,1.3884237540141666,,,unknown
Family abuse - non-sexual,1.5343627838081355,1.2649047301485248,1.2995133571581319,,,,1.6231376086843516,2.2436675980193033,2.0439269229042822,,,unknown
"Non-physical abuse (emotional, financial)",1.0895741698845665,0.6626875160694682,0.819940549437021,,,,1.2125396454542836,1.4391985030728789,1.4005163954993078,,,unknown
Threats or force,0.610823234525247,0.7893784338393183,0.6870010239620001,,,,0.8818871652251349,1.3224512412545923,1.021559846607413,,,unknown
Threats,0.3819412695781681,0.45506533091995144,0.5241956129262293,,,,0.7213379853629762,0.9642493422141415,0.8208459190538695,,,unknown
Force,0.356152157526628,0.4900071101154098,0.3262424704826059,,,,0.48673705416970825,0.678167202665311,0.4250283411721405,,,unknown
Any sexual assault (including attempts but excluding causing sexual activity without consent)7,1.0236118448254272,1.000072152340183,0.7395378889104095,,,,3.502981293486247,3.7120534046158906,2.8954027889027807,,*,unknown
Any sexual assault (including attempts)7,1.0262365766515835,1.0113452213369842,:,:,:,,3.5252343324021567,3.7405477087313654,:,:,:,unknown
Sexual assault by rape or penetration including attempts,0.05217141569801207,0.1999730069993804,0.07116121047484156,,,,0.751276604267344,0.910023808396199,0.8301113377814651,,,unknown
Sexual assault by rape or penetration excluding attempts,0.03973405079201557,0.12978531926461134,0.044846423842112786,,,,0.5163718376617138,0.37314044852093986,0.6089132487451019,,*,unknown
- Rape including attempts,0.03973860938384546,0.022068926293098628,0.0350010218475712,,,,0.536398605479459,0.5802090044213676,0.617186134335106,,,unknown
- Rape excluding attempts,0.039795995381765384,0.02210104712080006,0.03508253682590407,,,,0.3437570266349809,0.20461540956118368,0.4258512720203021,,*,unknown
- Assault by penetration including attempts,0.03328782219516265,0.1780199217636789,0.04573438023577371,,,,0.4439678840329299,0.5670029173354617,0.4950435543815132,,,unknown
- Assault by penetration excluding attempts,0.020830754154984057,0.1078314375248747,0.019387052800340403,,,,0.31987706805185867,0.24583573700795058,0.3399242123865724,,,unknown
"Causing sexual activity without consent7,8",0.010148877275003222,0.03922878976765168,:,:,:,,0.014546726406214024,0.009190363714970682,:,:,:,unknown
Indecent exposure or unwanted sexual touching,0.9878906947931693,0.9032232358131785,0.6908211135906341,,,,3.1637167244750337,3.149542309709856,2.4972390423687,,*,unknown
- Indecent exposure,0.310414934339282,0.1387853194862745,0.16354106696289986,,,,1.0091227635869553,0.7900009107267629,0.528971022122775,*,,unknown
