"table s42a: prevalence of domestic abuse, sexual assault and stalking in the last year among adults aged 16 to 74, by type, year ending march 2018 to year ending march 2020 csew1,2,3",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 to 743,unknown
,"Apr '17 to 
Mar '184,5","Apr '18 to 
Mar '194","Apr '19 to 
Mar '20",,"Apr '19 to Mar '20 
compared with",,unknown
,,,,,"    Apr '17 to 
Mar '18","    Apr '18 to 
Mar '19",unknown
,"Percentage who were victims 
once or more",,,,Statistically significant difference6,,unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",5.3240170772793025,5.6509359994347825,5.474631728063501,,,,unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",3.936629148638668,4.207638499971667,4.032061808227716,,,,unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",1.9101833992516222,1.9783874691055758,1.9446853216769535,,,,unknown
Partner abuse - non-sexual,3.5459041943395997,3.6464852729183037,3.521768336871315,,,,unknown
"Non-physical abuse (emotional, financial)",2.633532545223521,2.7190942816423433,2.6549383397246786,,,,unknown
Threats or force,1.9468789458486826,1.862901595380631,1.7889933813072183,,,,unknown
Threats,1.348492929558911,1.2706452923488134,1.232090010285191,,,,unknown
Force,1.2529519215250278,1.198586682066308,1.1191988326184577,,,,unknown
Family abuse - non-sexual,1.5788953213202708,1.7631151012529436,1.676356718909865,,,,unknown
"Non-physical abuse (emotional, financial)",1.1512408097464908,1.0572173330169707,1.1134678520199568,,,,unknown
Threats or force,0.7467322063281028,1.0606520656321885,0.8563453560609684,,,,unknown
Threats,0.5519372530946848,0.7140036313050199,0.6742927885244251,,,,unknown
Force,0.42161289370960864,0.5857372001299592,0.37619925177822067,,,*,unknown
Any sexual assault (including attempts but excluding causing sexual activity without consent)7,2.261379807959512,2.377115047780082,1.8247741391853747,,*,*,unknown
Any sexual assault (including attempts)7,2.272190415208043,2.394244549904467,:,,:,:,unknown
Sexual assault by rape or penetration including attempts,0.4012334499035636,0.5604282896038187,0.453052050326839,,,,unknown
Sexual assault by rape or penetration excluding attempts,0.2776607386215054,0.25334734944492027,0.3284717278153815,,,,unknown
- Rape including attempts,0.287610866377914,0.3052377116617685,0.32775881131691975,,,,unknown
- Rape excluding attempts,0.19128569866229345,0.11455838898406041,0.23132256032012383,,,*,unknown
- Assault by penetration including attempts,0.23816380037897833,0.37518853054237883,0.27159473802623774,,,,unknown
- Assault by penetration excluding attempts,0.1699588643167657,0.17775699903095896,0.18040468301593665,,,,unknown
"Causing sexual activity without consent7,8",0.012341895164072645,0.024014647086912654,:,,:,:,unknown
Indecent exposure or unwanted sexual touching,2.0759912032468533,2.045404403800798,1.6029147351808788,,*,*,unknown
- Indecent exposure,0.6589400374759631,0.4689786367442126,0.3474920316599218,,*,,unknown
- Unwanted sexual touching,1.6996604116792537,1.7458540961975217,1.374821110679393,,,*,unknown
Any sexual assault (including attempts) by a partner,0.17570736183109048,0.3097137891500599,0.30845008115592676,,*,,unknown
Sexual assault by rape or penetration (including attempts) by a partner,0.09441386712321453,0.1361171300124752,0.18836788776942143,,*,,unknown
Indecent exposure or unwanted sexual touching by a partner,0.1295619103372122,0.21802871698757195,0.2000237143724308,,,,unknown
- Indecent exposure by a partner,0.033629188149382316,0.030500546536598103,0.017081068077251193,,,,unknown
- Unwanted sexual touching by a partner,0.11879393204418326,0.20783550166755832,0.18748334313899281,,,,unknown
Any sexual assault (including attempts) by a family member,0.07687398169638042,0.0474681827634276,0.04494914256546735,,,,unknown
Sexual assault by rape or penetration (including attempts) by a family member,0.03993806521332277,0.024895367076292054,0.015413643467896058,,,,unknown
Indecent exposure or unwanted sexual touching by a family member,0.042335712003459106,0.04038581367156201,0.03833010950374911,,,,unknown
- Indecent exposure by a family member,0.02549053690131387,0.003856137048826441,0.015794733809945272,,,,unknown
- Unwanted sexual touching by a family member,0.022604231402307932,0.04051844016960119,0.026296668659951086,,,,unknown
Stalking,3.4862526206729982,3.4881185215706623,3.5530276374347576,,,,unknown
Stalking by a partner,0.7822828688353342,0.9273499727719322,0.7411972285079841,,,,unknown
Stalking by a family member,0.41965226490244284,0.3037211068923304,0.35665666517327604,,,,unknown
"Unweighted base - number of adults4,9",13551,13188,24512,,,,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,unknown
"1. Chapter 5 of the User Guide provides definitions of domestic abuse, sexual assault and stalking.",,,,,,,unknown
2. The sum of the overarching domestic abuse categories are not the sum of the sub-categories as some victims may be included in multiple categories as they can experience more than one type of abuse.,,,,,,,unknown
"3. From April 2017, the upper age limit for the self-completion module was increased to ask all respondents aged 16 to 74.",,,,,,,unknown
4. The sample size is lower for the years ending March 2018 and March 2019 due to use of a split-sample experiment. ,,,,,,,unknown
"5. A small change to the weighting procedure was made in 2019. This change is being applied going forward and was incorporated into all historic datasets. The effect of this change will only have a negligible impact on the estimates in this table and therefore historic data have not been re-calculated using the new weights, except where direct comparisons were previously made to estimates. Years that have been re-calculated using the new weighting procedure are denoted by a 5.",,,,,,,unknown
"6. Statistically significant change at the 5% level is indicated by an asterisk. For more information on statistical significance, see Chapter 8 of the User Guide.",,,,,,,unknown
"7. The offence category 'Causing sexual activity without consent' was added to the total category of any sexual assault (including attempts) for the year ending March 2016 to the year ending March 2019. This category is not directly comparable with 22A 'Causing sexual activity without consent' offence category in Home Office Counting Rules (HOCR) as offence 22A has a wider definition than is covered in the CSEW. Questions on the offence category 'Causing sexual activity without consent' were removed from the CSEW in the year ending March 2020, therefore the total category of any sexual assault (including attempts) no longer includes this offence category.",,,,,,,unknown
8. The category 'Causing sexual activity without consent' cannot be disaggregated by perpetrator as this was not asked of the respondent.,,,,,,,unknown
9. The bases given are for any domestic abuse; the bases for the other measures presented will be similar.,,,,,,,unknown
: denotes 'not applicable'.,,,,,,,unknown
