"table s5: perceptions of the local police, by personal characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8
England and Wales,,,,,,,,Adults aged 16 and over
Personal characteristic1,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,
ALL ADULTS,58.40884784196493,87.19950285649966,66.7203784108543,66.06556591720133,52.96814279848513,80.2626620011968,74.15549314909323,33363
Age,,,,,,,,
16-24,71.55629744157058,84.9234461724157,64.65353880973625,65.66362908804913,56.33894538487193,80.28110152546547,74.50546232276838,2087
25-34,65.96891859288368,86.0581812978452,68.50566002623042,65.6636033713652,54.62418179031802,79.95597577377794,75.56001051098379,4783
35-44,60.16080928869021,87.30661167073059,68.93423704446528,65.79515229401969,51.4912105867065,80.25683317166175,73.5164518023275,5399
45-54,53.67836134807165,87.01861929297846,66.21122729444018,66.18314896360533,49.726901791898456,78.97382016204372,72.57850567352328,5488
55-64,50.55899277785934,86.47663237265304,64.66188186077332,65.49444032750839,49.81101519776076,78.39822024334447,71.90546291768064,5549
65-74,47.86916555884557,88.19951130015068,64.03440863726556,65.06270958575695,51.72553474066315,80.22623027547803,73.13715172238825,5305
75+,58.9014553537234,91.96783942808081,70.09823802016776,69.69650620897868,60.14238868786808,85.78476655496043,79.61765710378373,4752
Men,56.80418183927532,86.24171615336583,67.88147591485857,65.43721988743603,52.05128748037343,80.68100965225871,73.77161243341062,15363
16-24,70.98238462024563,83.32721891761452,65.6175050652775,65.39280657886533,57.44429532379473,80.18238194770964,75.0574174114589,1005
25-34,64.221919715699,85.46864692324347,69.82762372293878,65.62570133600049,54.65478822549683,80.8637990898198,75.93351520273923,2071
35-44,58.475017197091205,86.68485684828686,69.84651665709946,65.41749635598066,49.48321428382149,80.7139451579111,72.57072673791015,2395
45-54,52.248811909082335,86.63242693895363,68.57635160695177,65.65473943313425,49.498183924592304,79.57006922713047,72.81020183217316,2544
55-64,48.502171402121014,85.32223844269113,65.7561488852451,64.2515798522455,47.9925383053669,79.08983741055367,71.49635801204899,2682
65-74,46.46782329026366,86.96231802418532,64.766755434282,63.9915765421303,50.627687707329216,80.8589216495496,72.1886403496238,2547
75+,54.97650879699899,91.02169341760693,70.38022441565646,68.78996822506913,57.2674021215842,85.49916842901597,77.58663123459792,2119
Women,59.96056692397642,88.12571363247199,65.58894579754208,66.67311621383679,53.858772816071244,79.85750555970444,74.52621693570791,18000
16-24,72.16234838022498,86.61075840203321,63.63601602944174,65.94487710891357,55.19335980753991,80.38463673471468,73.93052938320551,1082
25-34,67.74177196255391,86.65790923956494,67.15915914635548,65.70213871804218,54.592791794263384,79.03087386994989,75.17961168941353,2712
35-44,61.82070717018624,87.92021671328291,68.03378111521322,66.16824878032094,53.485323529204685,79.80560237195614,74.4499377996528,3004
45-54,55.06519792257701,87.39453253468821,63.90776649058497,66.6955165595343,49.94894499210259,78.3916931658949,72.35352984477873,2944
55-64,52.55451024749712,87.592551625634,63.58896662886251,66.69627029956126,51.581587210018,77.72819517935038,72.30314211737254,2867
65-74,49.18418748016177,89.35666360423382,63.339680796124384,66.07361465544868,52.76586324056196,79.62998863806344,74.02465715101584,2758
75+,62.010987019315955,92.71727776755088,69.8688369140869,70.41987842682579,62.455031832797005,86.01141153899555,81.22342759389326,2633
Ethnic group,,,,,,,,
White ,57.08780118826346,87.76796222405979,66.77631410790588,66.37945261531588,52.58652387417023,80.79144639013649,74.36723711318906,29613
   English/Welsh/Scottish/Northern Irish/British,55.64701764273812,87.68277298787515,66.34107582913839,65.81994713495763,51.39969320493043,80.42981965578288,73.72665168746656,27365
   Irish,56.092138133573,90.59173864812887,64.97702753338115,65.30053493784966,58.28906128503214,79.58694182636339,74.2096143528374,255
   Gypsy or Irish Traveller,-,-,-,-,-,-,-,11
   Any other White background,73.11296288651778,88.66873566578164,71.96532440844128,72.77422592595055,65.34801070761577,84.97427610120728,81.58103398913978,1982
Mixed/Multiple,61.55982888380183,78.5983248294897,52.45304789422317,60.28199739973357,48.15791490183619,72.61296813876608,70.63623765374429,409
   White and Black Caribbean,56.532489459719685,74.92290772919492,45.60302201385417,49.58895522595175,42.60927466961089,60.20366472899544,65.83973927061628,123
   White and Black African,76.71317789531139,76.48085749951883,57.64498159907646,71.9559637773289,66.14831069781131,79.27757108097867,73.88422970794366,55
   White and Asian,60.82316031992286,83.4883827875626,55.99393809603329,67.33717940501872,50.37521006180693,81.72321684785578,76.41521437640613,116
   Any other Mixed/Multiple ethnic background,61.263283520106015,77.42532363110935,53.22011376628798,58.07962437152353,43.72555854432121,71.78672653501278,67.38781987296592,115
Asian/Asian British,68.35055404013337,87.21672793120044,72.99020069916294,66.71865255463399,57.64872041914134,81.67276000010212,76.71049578977552,2042
   Indian,66.69726488184739,90.45504365295852,74.94030645075716,67.34401536547713,55.35515800459241,80.71344381663785,76.19397696478875,799
   Pakistani,62.63030443664458,82.22399345237689,65.96708457364942,63.42161695382011,53.35411968779751,74.08541875502613,69.04281092905127,482
   Bangladeshi,75.29884319450858,84.61863482148686,77.17961238239852,65.41578404568287,60.176314370455174,86.41520198750283,81.08298029740776,191
