"table s6: perceptions of the local police, by household and area characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8
England and Wales,,,,,,,,Adults aged 16 and over/households
Household characteristic1,Police can be relied on when needed,Police would treat you with respect,Police would treat you fairly,Police understand local concerns,Police deal with local concerns,Police in this area can be trusted,Overall confidence in local police,Unweighted base - number of adults2
,Percentage saying they 'strongly agree' or 'tend to agree',,,,,,,
ALL ADULTS,58.40884784196493,87.19950285649966,66.7203784108543,66.06556591720133,52.96814279848513,80.2626620011968,74.15549314909323,33363
Structure of household,,,,,,,,
Single adult and child(ren),61.95433842817434,84.67519164449945,63.61159216640351,65.8957604710205,53.52165688728251,74.91435628137711,68.88561114899665,1646
Adults and child(ren),62.404311446086766,87.51207821443465,69.60158245044248,67.06810799401076,54.25156555113028,80.88536924682025,74.89481310134836,7142
Adult(s) and no child(ren),56.75247881968496,87.17987122005569,65.74382247558466,65.68992271297802,52.456024410309475,80.236298471388,74.08211966008177,24575
Total household income,,,,,,,,
"Less than £10,400",57.96990406528696,84.30094939242248,64.62918616314076,65.71900191136146,55.886865567168,76.05293108006711,72.05166203805035,2920
"£10,400 to less than £20,800",57.59370083404601,86.68263589393968,67.86643504177046,67.31716834289833,55.795327133469485,78.90504738994026,73.50005093141311,5831
"£20,800 to less than £31,200",57.0934140496044,87.63797813340885,66.83096745261751,66.40456100151144,53.51968039459608,79.93346003096748,73.3643147067657,5015
"£31,200 to less than £41,600",57.715926734477584,87.88737735708672,67.70870440788511,66.37619479110089,51.77667399039473,81.19389227201046,75.1216866164086,3767
"£41,600 to less than £52,000",56.93948221943285,88.3379075596806,66.37211032234663,65.4526888597801,50.43090250555875,82.035941987914,75.10342188959167,3192
"£52,000 or more",59.308648533319165,89.10977002253308,66.5475883310216,66.67372482783846,50.467738374181046,83.35384876438623,76.36578659864817,6212
No income stated or not enough information provided,61.76591991483249,85.61468875050807,61.718252613912085,63.22093280178503,57.70658076903642,81.6744807801931,71.82507474349661,154
Tenure,,,,,,,,
Owner occupiers,54.70101212126708,88.27631319700816,66.99465308109818,66.17833406008629,51.17622082942219,81.37373547605394,74.5037875487509,21613
Social renters,61.48666472711244,83.66485533581464,64.19182338308656,65.66898391682875,55.37136044201853,74.85902080934454,70.29028618219654,5496
Private renters,67.08791089721142,86.74028033539199,67.87672207997926,66.22107532269055,56.50042121554362,81.13926376183657,76.20039707130896,6033
Accommodation type ,,,,,,,,
Houses,57.24124039198658,87.50767909968523,67.17761153559663,66.19935723391052,52.67058831682285,80.59060400123585,74.16882259365833,28257
Detached,53.95088593928348,88.4619571307021,67.75504161337439,67.03945410194605,51.9615790597824,82.87912921925151,75.70476852687705,8240
