"table s7: trends in public confidence in the police and local council, year ending march 2008 to year ending march 2020 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15
England and Wales,,,,,,,,,,,,,,,Adults aged 16 and over
,Apr '07 to Mar '082,Apr '08 to Mar '09,Apr '09 to Mar '10,Apr '10 to Mar '11,Apr '11 to Mar '123,Apr '12 to Mar '133,Apr '13 to Mar '143,Apr '14 to Mar '153,Apr '15 to Mar '163,Apr '16 to Mar '173,Apr '17 to Mar '183,Apr '18 to Mar '193,Apr '19 to Mar '203,April 2019 to March 2020 compared with:,
,,,,,,,,,,,,,,"Apr '11 to
Mar '124","Apr '18 to
Mar '19"
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,,,,,,,,,,Statistically significant difference5,
Agree,44.943229857570785,48.644435171440996,51.36869329717093,52.3315116473245,61.43728471611472,59.30648927718663,61.42624697759541,62.11129487761684,62.36423190866098,61.240159233288715,58.765410526687724,55.03870331601978,52.22802424565561,*,*
Disagree,25.1008489592332,22.416188500722313,19.599766659731387,17.976020107324256,15.777152307891706,16.20290769764541,14.749292284393814,13.96785654366619,13.726765535898606,14.733636748732332,16.62790049479891,19.350872644088785,20.014709803178267,*,
No opinion,29.955921183196004,28.93937632783601,29.031540043096882,29.69246824535093,22.78556297599344,24.490603025167886,23.824460738010735,23.92084857871681,23.909002555440388,24.026204017979023,24.606688978513418,25.61042403989169,27.757265951165987,*,*
Unweighted base - number of adults,19720,45041,43372,45393,44378,33456,33761,31914,33336,33679,33193,32566,32225,,
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,,,,,
"1. A small change to the weighting procedure made in 2019 has been incorporated from the year ending March 2019 and into all historic datasets. Owing to revisions made to CSEW police perception data in 2019, estimates since the year ending March 2012 in this table have been calculated using new weights. Estimates prior to the year ending March 2012 have not been re-calculated using the new weights.",,,,,,,,,,,,,,,
2. Only half the overall sample were asked this question in the year ending March 2008.,,,,,,,,,,,,,,,
3. Numbers from the year ending March 2012 CSEW onwards are not directly comparable with those in previous years. See the methodological note published alongside Focus On: Public Perceptions of Policing 2011/12 for more information.,,,,,,,,,,,,,,,
4. Significance tests are presented for comparisons with the year ending March 2012 as this is the earliest year that is directly comparable with the latest figures.,,,,,,,,,,,,,,,
"5. Statistically significant change at the 5% level is indicated by an asterisk. For more information on statistical significance, see Chapter 8 of the User Guide.",,,,,,,,,,,,,,,
