"table s9: public confidence in the police and local council, by household and area characteristics, year ending march 2020 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
England and Wales,,,,Adults aged 16 and over,unknown
Household characteristic1,Agree,Disagree,No opinion,Unweighted base - number of adults,unknown
,Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,,,,unknown
ALL ADULTS,52.22802424565566,20.014709803178228,27.75726595116596,32225,unknown
Structure of household,,,,,unknown
Single adult and child(ren),51.431557264609864,22.517952944930276,26.050489790459828,1598,unknown
Adults and child(ren),52.81902112999778,21.284401066561603,25.896577803439964,6962,unknown
Adult(s) and no child(ren),52.03382416946384,19.431835981953384,28.53433984858243,23665,unknown
Total household income,,,,,unknown
"Less than £10,400",52.7380818566095,20.409749767646932,26.852168375743368,2814,unknown
"£10,400 to less than £20,800",54.333821429711605,20.733305314751675,24.932873255536574,5647,unknown
"£20,800 to less than £31,200",52.900502453447615,20.392338443395044,26.707159103157284,4880,unknown
"£31,200 to less than £41,600",51.98046263528939,19.90026899985472,28.11926836485575,3664,unknown
"£41,600 to less than £52,000",50.958926513603174,21.17380878109028,27.867264705306344,3103,unknown
"£52,000 or more",51.59659356971653,20.582783426749064,27.82062300353386,6073,unknown
No income stated or not enough information provided,53.75464492253189,18.83308840950447,27.41226666796363,156,unknown
Tenure,,,,,unknown
Owner occupiers,51.12504321244612,20.404191115658595,28.470765671895272,20892,unknown
Social renters,52.49602813343299,23.39123487343629,24.112736993130813,5315,unknown
Private renters,55.395473246335804,16.454758216075867,28.14976853758802,5820,unknown
Accommodation type ,,,,,unknown
Houses,51.796516439782145,20.278731008270988,27.924752551947073,27285,unknown
Detached,52.13331671813406,18.236904973931463,29.629778307934608,7939,unknown
Semi-detached,51.64952892209544,19.91515953304368,28.435311544860546,9949,unknown
Terraced,51.67284693388946,22.31077842659952,26.016374639510303,9397,unknown
Flats/maisonettes,54.72863805768336,18.658373454478184,26.61298848783837,4787,unknown
Other accommodation,58.94695532417562,9.364851719720386,31.688192956104004,75,unknown
Output Area Classification,,,,,unknown
Rural residents,55.33222125925978,14.527249250279004,30.140529490461233,4256,unknown
Cosmopolitans,54.85991450446546,16.582815307146586,28.557270188387996,1180,unknown
Ethnicity central,53.17893374104905,21.81406384933795,25.007002409613133,1595,unknown
Multicultural metropolitans,51.72874507628175,22.320934118837943,25.950320804880246,3812,unknown
Urbanites,52.83329040247162,19.153979437070497,28.012730160457682,6068,unknown
Suburbanites,52.82070024565405,18.069749007688344,29.1095507466573,6859,unknown
Constrained city dwellers,47.74378965530451,25.138194676205078,27.11801566849006,2294,unknown
Hard-pressed living,49.7914633264864,23.456949098605783,26.751587574907848,6161,unknown
Area type,,,,,unknown
Urban,51.704303953919165,20.938036226840428,27.357659819240755,25264,unknown
Rural,54.49256934983286,16.022284141520025,29.485146508647205,6961,unknown
Level of physical disorder,,,,,unknown
High,47.4740197218801,25.35444514954322,27.17153512857644,1509,unknown
Not high,52.496580403350215,19.719422929703946,27.783996666945853,30655,unknown
English Indices of Deprivation (Employment),,,,,unknown
20% most deprived output areas,48.68980206250871,26.07890367784226,25.2312942596491,5596,unknown
Other output areas,51.49005095188921,19.891040231252152,28.618908816858703,18261,unknown
20% least deprived output areas,56.72574884905504,15.299509262905056,27.97474188804014,6000,unknown
Welsh Indices of Deprivation (Employment),,,,,unknown
20% most deprived Output Areas,53.88318587641122,22.901250337327124,23.21556378626172,415,unknown
Other Output Areas,57.502732243536734,17.733397434596824,24.76387032186646,1489,unknown
20% least deprived Output Areas,52.752034774145976,15.159600937941883,32.0883642879121,464,unknown
Region,,,,,unknown
North East,54.49545530681937,22.033762897092725,23.470781796087973,1933,unknown
North West,53.42518594781019,19.328241139407446,27.24657291278232,4140,unknown
Yorkshire and The Humber,48.78043945643194,22.776836865087244,28.442723678480785,2958,unknown
East Midlands,50.414327050958505,18.85817760436082,30.727495344681078,2882,unknown
West Midlands,45.95446512826193,26.731913896777698,27.313620974960507,2753,unknown
East,53.70250400020134,19.251486449256074,27.04600955054261,3692,unknown
London,53.99817866412119,19.597922151442575,26.40389918443631,3792,unknown
South East,53.0842814230973,19.058134686231373,27.85758389067139,4423,unknown
South West,52.724291996329164,15.854334921870747,31.42137308179999,3284,unknown
Wales,55.816751776328985,18.20047580069075,25.982772422980275,2368,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of household and area characteristics.,,,,,unknown
