"table a14: trends in csew prevalence rates for children age 10 to 15, from year ending march 2010 to year ending march 2025, with percentage change and statistical significance of change [notes 1, 2, 3, 4, 5]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29,unnamed: 30,unnamed: 31,unnamed: 32,unnamed: 33,unnamed: 34,unnamed: 35,unnamed: 36,unnamed: 37,unnamed: 38,unnamed: 39,unnamed: 40,unnamed: 41,unnamed: 42,age_band
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"This worksheet contains four tables. Two tables wide vertically and two tables horizontal, with a blank cell inbetween. Some cells refer to notes which can be found on the notes worksheet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,unknown
"Some shorthand is used in this table. [x] indicates that data is not available. [s] indicates there is a statistically significant change at the 5% level. The units in these tables are percentage of children aged 10 to 15, victims once or more.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,unknown
Link to Table of Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,unknown
Source: Children's Crime Survey for England and Wales from the Office for National Statistics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,unknown
"Table A15a: Trends in CSEW prevalence rates for children aged 10 to 15 - preferred measure, from year ending March 2010 to year ending March 2025, with percentage point change and statistical significance of change",,,,,,,,,,,,,,,,"Table A15b:  Trends in CSEW prevalence rates for children aged 10 to 15 - preferred measure, from year ending March 2010 to year ending March 2025, with percentage point change and statistical significance of change",,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Offence group,"Apr 2009 to Mar 2010 
[note 6]","Apr 2010 to Mar 2011 
[note 6]",Apr 2011 to Mar 2012,"Apr 2012 to Mar 2013 
[note 7]",Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2023 to Mar 2025,,Offence group,Apr 2009 to Mar 2010,Apr 2009 to Mar 2010 Significance,Apr 2010 to Mar 2011,Apr 2010 to Mar 2011 Significance,Apr 2011 to Mar 2012,Apr 2011 to Mar 2012 Significance,Apr 2012 to Mar 2013,Apr 2012 to Mar 2013 Significance,Apr 2013 to Mar 2014,Apr 2013 to Mar 2014 Significance,Apr 2014 to Mar 2015,Apr 2014 to Mar 2015 Significance,Apr 2015 to Mar 2016,Apr 2015 to Mar 2016 Significance,Apr 2016 to Mar 2017,Apr 2016 to Mar 2017 Significance,Apr 2017 to Mar 2018,Apr 2017 to Mar 2018 Significance,Apr 2018 to Mar 2019,Apr 2018 to Mar 2019 Significance,Apr 2019 to Mar 2020,Apr 2019 to Mar 2020 Significance,Apr 2022 to Mar 2023,Apr 2022 to Mar 2023 Significance,Apr 2023 to Mar 2024,Apr 2023 to Mar 2024 Significance,unknown
VIOLENCE,7.437011734837911,6.173561574461627,6.447593765300149,5.24103542086606,5.890260320633517,5.153497502680946,5.897155459151383,5.568645128142142,4.415523232889413,5.398317756187511,2.5565206660985518,5.128902333854847,5.5165768717068495,6.428259657168137,,VIOLENCE,-1.0087520776697732,,0.2546980827065104,,-0.01933410813201153,,1.187224236302077,,0.5379993365346207,,1.274762154487191,,0.5311041980167541,,0.8596145290259951,,2.0127364242787245,[s],1.029941900980626,,3.8717389910695856,[s],1.2993573233132905,,0.9116827854612879,,unknown
Violence with injury,5.3544356772112724,4.715861993024508,4.491380829517919,3.8722067546899726,4.297493234642291,3.644903852314869,4.532128612707225,4.505942144099539,3.693112247922384,3.96259812446421,2.24931881933558,3.4950105953384187,3.4946159274627826,4.41148358594304,,Violence with injury,-0.9429520912682321,,-0.3043784070814679,,-0.07989724357487837,,0.5392768312530678,,0.11399035130074964,,0.7665797336281712,,-0.12064502676418432,,-0.09445855815649828,,0.7183713380206562,,0.44888546147883046,,2.1621647666074604,[s],0.9164729906046216,,0.9168676584802578,,unknown
