"table a4: proportion of victims aged 16 and over who were victimised more than once, statistical significance of change year ending march 2025 compared with selected years",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29,age_band
"England and Wales, year ending December 1981 to year ending March 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. The units in this table are percentage of people who were victimised once or more. Some cells refer to notes which can be found on the Notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"Some shorthand is used in this table. [x] indicates that data are not available, [u] indicates that data are not reported because the unweighted base is fewer than 50 and [s] indicates that the change is statistically significant at the 5% level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Offence group [note 1][note 9],Jan 1981 to Dec 1981,Jan 1991 to Dec 1991,Jan 1995 to Dec 1995 [note 10],Jan 1997 to Dec 1997,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009 [note 10],Apr 2009 to Mar 2010 [note 10],Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017 [note 10],Apr 2017 to Mar 2018 [note 10],Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2024 to Mar 2025,"Unweighted base - number of victims
(Apr 2024 to Mar 2025)","Apr 2024 to Mar 2025 compared with Apr 2014 to Mar 2015
significance",Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024 significance,unknown
VIOLENCE [note 2],27.58144494286918,33.22285260890875,39.10975161208917,33.582797637582935,32.640810513234875,30.04028190414705,27.642180157696142,28.414961396867415,27.20417171184823,28.797502913746328,26.746518264321,24.29021958165517,26.970785946800984,25.19232831503569,25.04520568261594,28.08093116026425,27.074456648106864,23.39761279,24.79662402,27.09660202,25.53310371,24.73835969,22.60674209,25.52825726,20.33769946709102,24.96010313077862,400,,,unknown
Violence with injury,23.139986651638104,26.91357661231791,31.6097444793625,31.53701074040462,27.937553721396633,28.136989592250952,22.88104011738012,26.93849219369737,24.671025410094146,24.47464416075416,21.14181961023426,21.489510924323152,21.905676957071172,23.276073612700415,21.209866005837945,26.149834621844263,21.02659022341971,25.39227846,19.41132354,25.88911908,21.21427223,24.34328377,15.57593336,19.27737879,20.47762327450986,24.9490251308243,163,,,unknown
Wounding,14.42237607462728,20.470745828483388,23.997661918455165,26.078727634973646,24.76167393052186,25.20106850977839,18.41085742889589,18.701246518357557,21.086115548738324,17.94538284542519,17.48024371381012,17.504691656904697,21.509467332648775,20.007793637501248,15.635259108991699,23.20156808212775,14.939766743042416,22.07264452,18.4144424,21.13422014,16.05059787,15.57824738,14.73143584,16.38704377,20.39406952885025,9.95749218954343,85,[s],,unknown
Assault with minor injury,29.740332382251555,28.069450256944062,34.23682238941647,30.82142353153926,28.158613636859673,29.192365741145938,25.54772861762116,29.24073428880681,25.671632738502122,22.88584169465494,22.279801921539725,21.381836788588192,18.139622295091083,21.78381120303604,26.28772314018655,28.349967501500373,25.292738983606416,25.31572703,17.28772188,28.26095886,22.92937523,32.83248768,14.70910897,20.07538095,18.2532248002302,23.67139236799816,80,,,unknown
Violence without injury,31.367737849418244,40.221971656449085,39.13799996556998,32.75169672085143,32.83241127093951,27.757329816984473,27.73129162335807,24.197080293349057,27.780250668205177,28.248853414740797,26.2363981078101,22.039826591402953,27.845718192742908,23.040734884597263,26.894221516834893,25.275156589734888,26.157556818191445,22.4058856,25.98364604,23.68286897,25.52813645,21.79666206,23.09551988,25.57540682,18.35528273978962,24.03996952096444,246,,,unknown
Domestic violence,47.77486926608287,43.29004757215661,50.51598174668641,57.041909292285894,55.48663846800978,44.2094789358387,43.68324136390556,46.25306484362705,43.16048005729169,42.35724777655253,44.50272673415214,37.84032121688007,47.10706941959631,44.53294369538193,32.596143169879475,46.491975767880966,47.1675799092934,30.16524635,29.75867339,38.29278091,34.31426279,41.2955527,34.04701409,33.82146151,56.05393941278222,34.19437506147588,73,,,unknown
Acquaintance,25.868755686373877,27.660288885200632,37.25033290731537,29.893383911854063,28.297518096229158,28.025109159034706,28.272482795446948,30.16904794278253,27.53505862193369,22.79764228345713,28.859986409639376,23.243299334047588,30.873375203184118,19.314818323797212,26.495215965302055,28.28209062763316,22.89104317680746,28.6487486,27.32403312,28.58471443,27.33087566,29.55432203,26.97145696,26.12089327,21.94730742627062,28.13033236534143,117,,,unknown
Stranger,20.460873174535127,27.801028585048982,23.409341588226482,15.893814590913031,19.820293401377825,21.069512947775593,16.395778609299036,17.713603786440427,18.973422177362952,20.25932005651181,16.469102343071476,16.798782504568376,16.293606565425296,16.370256995750015,18.371073731670517,16.99481012804573,18.894207655174252,16.54103223,10.24448175,19.64996768,14.54156946,16.55567501,14.04251889,19.51156767,9.947568762753365,17.83891470728863,216,,,unknown
ROBBERY,17.87888536157725,7.561820767824096,14.80726527686899,9.487263595737298,25.271489067769693,9.194843039210713,11.80406114935221,7.464942720393699,13.842172218091466,15.893522166458371,19.416862623164718,11.434259872600878,14.208453581978988,15.007091706476919,10.183208652888837,6.416544702609462,9.653644027369142,2.949751563,10.98415257,9.449662798,14.39137438,7.249534315,4.613676498,[u],[u],[u],47,[u],[u],unknown
THEFT OFFENCES [note 3],30.083029573100994,34.45924074898319,36.967524368648945,33.217889323926514,28.438261072924107,28.478091228910618,26.6005163780192,25.971044431608796,26.505409234763054,23.850934926045884,23.320762302814114,24.564730460812378,22.50432913999562,23.78010127911787,23.03474266987105,22.055024508911927,19.941635666893443,19.31715522,18.83238774,17.06236213,17.28655606,18.27025402,17.48983604,16.83767413,17.04160023269469,16.97613005228934,2178,,,unknown
