"table b2: perceptions of changing crime levels, people aged 16 and over, by personal characteristics, year ending march 2025",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
England and Wales,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,unknown
Link to Notes,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,unknown
Link to Table of contents,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,unknown
Personal characteristic [note 1],Personal characteristic breakdown,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years: national level,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years: local level,Unweighted base - number of people aged 16 and over [note 2],unknown
All people,All people,81.74730892637693,53.33558747160394,15206,unknown
All people,16-24,79.34040118587072,47.77765693026814,845,unknown
All people,25-34,78.56607073563153,52.18213237783856,2062,unknown
All people,35-44,79.24470170471868,55.87341983562387,2511,unknown
All people,45-54,81.88142326323138,59.62825098200346,2305,unknown
All people,55-64,82.31281585574317,56.39552888995066,2663,unknown
All people,65-74,86.26642090487529,52.55575130222419,2479,unknown
All people,75+,86.52780967832302,44.5661802987329,2341,unknown
Men,Men,78.8682027455232,49.15413352439081,7157,unknown
Men,16-24,75.4581405334835,45.03947650524188,397,unknown
Men,25-34,75.45811700201952,48.11387721952515,914,unknown
Men,35-44,76.58288024504071,51.10169828382686,1126,unknown
Men,45-54,80.33372027818079,56.95567270448668,1087,unknown
Men,55-64,79.40165479992437,50.24717654813634,1325,unknown
Men,65-74,83.8476948367506,46.4463480549233,1217,unknown
Men,75+,83.37689216584843,42.18021025717258,1091,unknown
Women,Women,84.50064129353807,57.31933381433042,8049,unknown
Women,16-24,83.22582269945119,50.96538613058726,448,unknown
Women,25-34,81.83301187784201,56.32389998074818,1148,unknown
Women,35-44,81.84700647549988,60.16374839268679,1385,unknown
Women,45-54,83.41522932655411,62.25929091313258,1218,unknown
Women,55-64,85.00137874290816,62.06845992765941,1338,unknown
Women,65-74,88.510223203956,58.34429936397974,1262,unknown
Women,75+,89.04269399834405,46.51508087526577,1250,unknown
Ethnic group,White ,82.15017998556685,52.42342444841358,12854,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,82.80820162516032,52.63708965036614,11721,unknown
Ethnic group,   Irish,78.21144891887432,52.37204002858914,125,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],[u],10,unknown
Ethnic group,   Any other white background,75.45572793081912,49.86073945908963,998,unknown
Ethnic group,Mixed/Multiple,79.18954556743128,62.16667416487051,227,unknown
Ethnic group,   White and Black Caribbean,78.37268654879773,53.33729027076875,70,unknown
Ethnic group,   White and Black African,[u],[u],38,unknown
Ethnic group,   White and Asian,[u],[u],48,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,80.57447508068424,74.7661001576194,71,unknown
Ethnic group,Asian/Asian British,81.55942859355876,62.40448450680996,1219,unknown
Ethnic group,   Indian,82.30376505088158,65.01172094445744,500,unknown
Ethnic group,   Pakistani,84.91945375579706,58.61252665015802,274,unknown
Ethnic group,   Bangladeshi,81.62571123818915,72.78332346317264,107,unknown
Ethnic group,   Chinese,76.00674889992457,65.18581201209092,124,unknown
Ethnic group,   Any other Asian background,77.67387107152742,53.22305521867199,214,unknown
Ethnic group,Black/African/Caribbean/Black British,78.8650360380009,48.04564604120258,665,unknown
Ethnic group,   African,76.08752602866406,44.46094360875982,453,unknown
Ethnic group,   Caribbean,87.67939994308286,52.0574406452514,173,unknown
Ethnic group,   Any other Black/African/Caribbean background,[u],[u],39,unknown
Ethnic group,Other ethnic group,71.40051395538153,54.19830372064061,191,unknown
Ethnic group,   Arab,69.85401280448895,57.01580959724778,54,unknown
Ethnic group,   Any other ethnic group,71.95732484535708,53.09043898170462,137,unknown
Country of Birth,Born in the UK,83.18954725891592,53.22362929502127,12326,unknown
Country of Birth,Not born in the UK,75.99591923789522,53.96175789895151,2831,unknown
Marital status,Married/civil partnered,82.18457660512296,54.42569402865679,6713,unknown
Marital status,Cohabiting,81.40882113069527,57.24781912154208,1399,unknown
Marital status,Single,79.71061673797003,51.40527852134355,3825,unknown
Marital status,Separated,84.38681854371957,54.72238442743939,348,unknown
Marital status,Divorced/legally dissolved partnership,83.75734637334433,53.97532022894146,1356,unknown
Marital status,Widowed,86.91869605727625,45.71413080648111,1472,unknown
Respondent's employment status,Employed,80.68104525402178,55.62694320898143,8520,unknown
Respondent's employment status,Unemployed,72.63771362234365,42.91779852206145,205,unknown
Respondent's employment status,Economically inactive,84.12315495828076,50.21634692226874,6440,unknown
Respondent's employment status,Economically inactive: student,74.6636885738385,46.00401590907378,276,unknown
Respondent's employment status,Economically inactive: looking after family/home,82.37027673456991,60.41705941175393,510,unknown
Respondent's employment status,Economically inactive: long-term/temp sick/ill,85.75085967006403,57.4248754455631,849,unknown
Respondent's employment status,Economically inactive: retired,86.19871065386535,48.64616889910831,4581,unknown
Respondent's employment status,Economically inactive: other,76.54753203749003,46.8666858209807,224,unknown
Respondent's occupation,Managerial and professional occupations,79.61619659785772,52.94292005769281,5883,unknown
Respondent's occupation,Intermediate occupations,85.05052003946439,56.06624641705366,3321,unknown
Respondent's occupation,Routine and manual occupations,84.47472484996932,53.15457095843599,4676,unknown
Respondent's occupation,Never worked and long-term unemployed,76.94817527422289,49.36157476422169,585,unknown
Respondent's occupation,Full-time students,75.23151535157191,47.74206205653888,424,unknown
Respondent's occupation,Not classified,78.94406794285437,55.43821340598064,317,unknown
Respondent's highest qualification,Degree or diploma,77.9255284803387,52.97014612209934,7195,unknown
Respondent's highest qualification,Apprenticeship or A/AS level,84.64364215620454,52.20587062756466,2344,unknown
Respondent's highest qualification,O level/GCSE,87.81361091020158,56.43733299235451,2471,unknown
Respondent's highest qualification,Other,84.90602591840697,53.75416438999208,701,unknown
Respondent's highest qualification,,83.6717718293717,51.60452572949519,2363,unknown
Disability [note 3],Disabled,87.1839229710805,55.03384920479204,3475,unknown
Disability [note 3],Not disabled,80.63326969243539,52.84463552966475,11645,unknown
Religion,No religion,78.76590594123047,49.92244328408881,6153,unknown
Religion,Christian,84.73762898619896,54.54656566774311,7653,unknown
Religion,Buddhist,71.78724390342802,71.39141787245374,82,unknown
Religion,Hindu,83.6381520629349,70.28404249087929,274,unknown
Religion,Jewish,78.1547956839319,78.26791080727673,55,unknown
Religion,Muslim,78.13394643144662,59.23934339948964,713,unknown
Religion,Sikh,92.16513366776906,54.78278571303209,72,unknown
Religion,Other,87.44574515096879,54.78631640341472,104,unknown
Sexual orientation [note 4],Heterosexual/straight,82.2828183001992,53.69927097301671,12775,unknown
Sexual orientation [note 4],Gay/Lesbian,76.186636291642,54.76442757582299,226,unknown
Sexual orientation [note 4],Bisexual,76.58973425028914,41.92846395292734,322,unknown
Sexual orientation [note 4],Other,71.4692981948087,49.7387968640819,84,unknown
Gender identity [note 5],Gender identity the same as sex registered at birth,81.8438031767701,53.98279832922213,12676,unknown
Gender identity [note 5],Gender identity different from sex registered at birth,79.0867757476079,45.64436485946658,88,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Victim,85.22769975544999,64.27977081391941,2582,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Not a victim,81.01751917487789,51.00175778941768,12624,unknown
Hours out of home on an average weekday,Less than 3 hours,82.1810103629583,50.5975287902374,6147,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,81.17434487908494,54.89505497402558,4228,unknown
Hours out of home on an average weekday,7 hours or longer,81.6124047297241,55.05785997713576,4739,unknown
Number of evening visits to pub/bar in the last month,,83.21032854510925,53.52955756695784,8871,unknown
Number of evening visits to pub/bar in the last month,Less than once a week ,80.57739134741765,53.77009808030044,4400,unknown
Number of evening visits to pub/bar in the last month,Once a week or more often,78.58015709083365,51.64898495017744,1922,unknown
Number of visits to a nightclub/disco in the last month,,81.95588583550754,53.47531145489999,14613,unknown
Number of visits to a nightclub/disco in the last month,1-3 times a month,76.72087160267552,49.81952185571071,506,unknown
Number of visits to a nightclub/disco in the last month,4+ times a month,86.0648449183,53.158413899858,77,unknown
