"table b4: percentage of people with high levels of worry about crime, people aged 16 and over, year ending december 1992 to year ending march 2025 [note 1, 2, 3]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29,age_band
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
"Some shorthand is used in this table, [x] denotes data are not available. [z] denotes not applicable. [s] denotes there is a statistically significant change at the 5% level. [ns] denotes a non significant statistical change at the 5% level.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Table of contents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Crime type,Jan 1992 to Dec 1992,Jan 1994 to Dec 1994,Jan 1996 to Dec 1996,Jan 1998 to Dec 1998,Jan 2000 to Dec 2000,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009 [note 4],Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr  2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017,Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023 ,Apr 2023 to Mar 2024,Apr 2024 to Mar 2025,"Apr 2024 to Mar 2025 compared with Apr 2014 to Mar 2015
Statistically significant difference","Apr 2024 to Mar 2025 compared with Apr 2023 to Mar 2024
Statistically significant difference",unknown
Burglary,19,26,22.125462213727698,19.3,19.2,15.2,14.8,12.6,12.1,12.7,12.63948601095236,11.546421788828553,11.21200102743822,10.177656241489759,10.359201654732814,11.447058717003722,11.91537284804752,11.071148139202155,9.705865814211819,10.666253594147404,10.210727497417663,10.05996377713454,9.835853303718162,9.922277783793872,7.789778477023855,7.364805307639657,7.691737143980956,[s],[ns],unknown
Car crime,[x],[x],[x],22.3,21,17.3,16.6,14.9,13.4,13.7,13.010669132345331,11.939733644303969,11.407549002686435,10.122714049066197,9.837738321002846,9.944148238829605,6.789854268307454,6.8106701520302275,6.873377800669243,6.042805903138234,7.037160612738017,6.670565421333786,6.6632760395148765,6.818675205725905,5.417960869596299,6.255133540220776,7.008187179993695,[ns],[ns],unknown
Fraud [note 5],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],19.443121521972014,18.93605741813484,15.815442379468106,16.1221184424519,16.82460569989223,[z],[ns],unknown
Violent crime,[x],[x],[x],24.6,23.7,21.8,20.8,16.3,16.3,17.2,17.080921961168958,14.928696909860797,13.577426826433973,12.88926195370865,13.176233605656487,13.754123791307224,12.03573123675676,12.09345200476723,11.085468346125122,11.526388407668694,10.946604874373692,11.857166776661026,9.497210920766852,8.466514741681475,7.682224595789376,7.562797501066175,7.791190786433456,[s],[ns],unknown
Unweighted base - number of people aged 16 and over [note 6],10044,14502,7973,14925,19388,32738,36427,37872,45095,47780,47122,46888,11510,11167,11627,11538,8792,8751,8207,8729,8722,8543,8623,8569,7894,7752,7821,,,unknown
