table c11: perceptions of changing anti-social behaviour (asb) levels in the local area over the past couple of years,unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,age_band
"England and Wales, year ending March 2014 to year ending March 2025",,,,,,,,,,,,,unknown
This worksheet contains one table. The units in this table are percentage. ,,,,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,,,,unknown
Some shorthand is used in this table. [s] Denotes the change is significant at the 5% level. [ns] Denotes the change was not significant at the 5% level.								,,,,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,unknown
Perceptions of ASB in the local area," April 2013 to March 2014
"," April 2014 to March 2015
  ","April 2015 to March 2016
"," April 2016 to March 2017
 ","April 2017 to March 2018
 ","April 2018 to March 2019
","April 2019 to March 2020
","April 2022 to March 2023
","April 2023 to March 2024
","April 2024 to March 2025
",April 2024 to March 2025 compared with April 2014 to March 2015,April 2024 to March 2025 compared with April 2023 to March 2024,unknown
Increased,23.101562034099256,23.158739001408357,21.94653654715523,22.871538947285313,26.361935617511435,28.48390953827854,29.3204811424756,29.7949054584493,31.974359714080297,33.56135427752248,[s],[ns],unknown
Stayed the same ,63.250295392739005,61.75544309636698,64.12251072933437,61.845091388703864,62.86051075331527,60.26560098693261,60.6533860923253,61.0902786561613,60.664021111405795,58.5713165863764,[s],[ns],unknown
Decreased ,13.648142573161659,15.085817902224552,13.930952723509996,15.283369664010682,10.777553629173385,11.250489474788703,10.026132765199,9.114815885389529,7.3616191745142405,7.867329136101117,[s],[ns],unknown
Unweighted base - number of people aged 16 and over,7662,7163,7514,7461,7336,7228,7292,6669,6479,6461,,,unknown
