"table c16: community safety partnerships: categories of anti-social behaviour incidents, year ending march 2024 [note 1[note 2]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
England and Wales,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,unknown
Some shorthand is used in this table.  [x] indicates data are unavailable.,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,unknown
Source: Home Office - Police recorded crime,,,`,,,,,,,unknown
"Police Force Area
 code","Police Force Area
 name","Community Safety
 Partnership code","Community Safety
 Partnership name","Local Authority
 code","Local Authority
 name",Total recorded ASB,Environmental,Nuisance,Personal,unknown
E23000036,Avon and Somerset,,,,,23000,790,18879,3331,unknown
E23000036,Avon and Somerset,E22000001,Bath and North East Somerset,E06000022,Bath and North East Somerset,2369,65,1985,319,unknown
E23000036,Avon and Somerset,E22000002,"Bristol, City of",E06000023,"Bristol, City of ",9036,290,7693,1053,unknown
E23000036,Avon and Somerset,E22000003,North Somerset,E06000024,North Somerset,2643,92,2186,365,unknown
E23000036,Avon and Somerset,E22000369,Somerset,E06000066,Somerset,6348,223,4948,1177,unknown
E23000036,Avon and Somerset,E22000006,South Gloucestershire,E06000025,South Gloucestershire,2564,118,2039,407,unknown
E23000036,Avon and Somerset,,Unassigned Avon and Somerset,,,40,2,28,10,unknown
E23000026,Bedfordshire,,,,,10576,1278,8503,795,unknown
E23000026,Bedfordshire,E22000009,Bedford,E06000055,Bedford,2831,274,2381,176,unknown
E23000026,Bedfordshire,E22000353,Central Bedfordshire,E06000056,Central Bedfordshire,4054,408,3277,369,unknown
E23000026,Bedfordshire,E22000010,Luton,E06000032,Luton,3571,588,2746,237,unknown
E23000026,Bedfordshire,,Unassigned Bedfordshire,,,120,8,99,13,unknown
E23000023,Cambridgeshire,,,,,12034,1118,9706,1210,unknown
E23000023,Cambridgeshire,E22000013,Cambridge,E07000008,Cambridge,2150,173,1766,211,unknown
E23000023,Cambridgeshire,E22000014,East Cambridgeshire,E07000009,East Cambridgeshire,855,113,661,81,unknown
E23000023,Cambridgeshire,E22000015,Fenland,E07000010,Fenland,1295,111,1050,134,unknown
E23000023,Cambridgeshire,E22000016,Huntingdonshire,E07000011,Huntingdonshire,1862,184,1493,185,unknown
E23000023,Cambridgeshire,E22000017,Peterborough,E06000031,Peterborough,4294,395,3459,440,unknown
E23000023,Cambridgeshire,E22000018,South Cambridgeshire,E07000012,South Cambridgeshire,1415,122,1160,133,unknown
E23000023,Cambridgeshire,,Unassigned Cambridgeshire,,,163,20,117,26,unknown
E23000006,Cheshire,,,,,10473,623,7788,2062,unknown
E23000006,Cheshire,E22000354,Cheshire East,E06000049,Cheshire East,3309,216,2355,738,unknown
E23000006,Cheshire,E22000355,Cheshire West and Chester,E06000050,Cheshire West and Chester,3470,196,2714,560,unknown
E23000006,Cheshire,E22000023,Halton,E06000006,Halton,1764,96,1308,360,unknown
E23000006,Cheshire,,Unassigned Cheshire,,,100,6,70,24,unknown
E23000006,Cheshire,E22000026,Warrington,E06000007,Warrington,1830,109,1341,380,unknown
E23000034,City of London,E22000180,City of London,E09000001,City of London,884,23,825,36,unknown
E23000013,Cleveland,,,,,17100,278,15940,882,unknown
E23000013,Cleveland,E22000027,Hartlepool,E06000001,Hartlepool,2846,54,2644,148,unknown
E23000013,Cleveland,E22000029,Middlesbrough,E06000002,Middlesbrough,5548,76,5199,273,unknown
