"table c18: community safety partnerships: percentage change between categories of anti-social behaviour, year ending march 2024 and year ending march 2025 [note 1][note 3]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
England and Wales,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,unknown
Some shorthand is used in this table.  [x] indicates data are unavailable.,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,unknown
Source: Home Office - Police recorded crime,,,`,,,,,,,unknown
"Police Force Area
 code","Police Force Area
 name","Community Safety
 Partnership code","Community Safety
 Partnership name","Local Authority
 code","Local Authority
 name",Total recorded ASB,Environmental,Nuisance,Personal,unknown
E23000036,Avon and Somerset,,,,,-1.5173913043478262,20.506329113924053,-3.861433338630224,6.544581206844792,unknown
E23000036,Avon and Somerset,E22000001,Bath and North East Somerset,E06000022,Bath and North East Somerset,-2.7859856479527227,75.38461538461539,-7.506297229219143,10.658307210031348,unknown
E23000036,Avon and Somerset,E22000002,"Bristol, City of",E06000023,"Bristol, City of ",-0.7304116865869853,19.310344827586206,-2.625763681268686,7.597340930674264,unknown
E23000036,Avon and Somerset,E22000003,North Somerset,E06000024,North Somerset,-10.102156640181612,3.260869565217391,-15.507776761207683,18.904109589041095,unknown
E23000036,Avon and Somerset,E22000369,Somerset,E06000066,Somerset,2.6465028355387523,20.62780269058296,2.9102667744543247,-1.8691588785046727,unknown
E23000036,Avon and Somerset,E22000006,South Gloucestershire,E06000025,South Gloucestershire,-4.368174726989079,5.084745762711865,-8.974987739087787,[u],unknown
E23000036,Avon and Somerset,,Unassigned Avon and Somerset,,,[x],[x],[x],[x],unknown
E23000026,Bedfordshire,,,,,2.26928895612708,4.225352112676056,4.63365870869105,-26.163522012578618,unknown
E23000026,Bedfordshire,E22000009,Bedford,E06000055,Bedford,6.14623807841752,3.64963503649635,7.265854682906342,-5.113636363636364,unknown
E23000026,Bedfordshire,E22000353,Central Bedfordshire,E06000056,Central Bedfordshire,3.4040453872718306,-10.049019607843137,9.856576136710405,-39.02439024390244,unknown
E23000026,Bedfordshire,E22000010,Luton,E06000032,Luton,-2.4922990758891066,14.625850340136054,-4.442825928623452,-22.362869198312236,unknown
E23000026,Bedfordshire,,Unassigned Bedfordshire,,,[x],[x],[x],[x],unknown
E23000023,Cambridgeshire,,,,,16.386903772644175,0,20.461570162785904,-1.1570247933884297,unknown
E23000023,Cambridgeshire,E22000013,Cambridge,E07000008,Cambridge,11.906976744186046,9.248554913294797,14.949037372593432,-11.374407582938389,unknown
E23000023,Cambridgeshire,E22000014,East Cambridgeshire,E07000009,East Cambridgeshire,24.210526315789473,-15.04424778761062,32.22390317700454,13.580246913580247,unknown
E23000023,Cambridgeshire,E22000015,Fenland,E07000010,Fenland,13.35907335907336,-2.7027027027027026,16.095238095238095,5.223880597014925,unknown
E23000023,Cambridgeshire,E22000016,Huntingdonshire,E07000011,Huntingdonshire,19.441460794844254,-1.6304347826086956,24.715338245144007,-2.1621621621621623,unknown
E23000023,Cambridgeshire,E22000017,Peterborough,E06000031,Peterborough,11.970190964136004,0.7594936708860759,15.206707140792137,-3.4090909090909087,unknown
E23000023,Cambridgeshire,E22000018,South Cambridgeshire,E07000012,South Cambridgeshire,26.57243816254417,9.01639344262295,30,12.781954887218044,unknown
E23000023,Cambridgeshire,,Unassigned Cambridgeshire,,,[x],[x],[x],[x],unknown
