"table c2: experience of anti-social behaviour in local area, by personal characteristics, people aged 16 and over",unnamed: 1,unnamed: 2,unnamed: 3,age_band
"England and Wales, year ending March 2025",,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. ,,,,unknown
Some shorthand is used in this table. [u] indicates that data are not reported because the unweighted base is fewer than 50.,,,,unknown
Link to Notes page,,,,unknown
Link to Table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Personal characteristic [note 3],Personal characteristic,Experience of ASB in local area (%),Unweighted base - number of people aged 16 and over,unknown
All People,All People,35.4765082049454,31465,unknown
All People,16-24,35.36629470437689,1645,unknown
All People,25-34,36.57099664798258,4350,unknown
All People,35-44,39.09230883143783,5302,unknown
All People,45-54,39.61819210391791,4652,unknown
All People,55-64,37.52826360103225,5533,unknown
All People,65-74,34.01380416546163,5117,unknown
All People,75+,21.97855033213718,4866,unknown
Men,Men,35.29314427734388,14860,unknown
Men,16-24,34.2408071406677,800,unknown
Men,25-34,35.23422170455366,1960,unknown
Men,35-44,37.2372971833237,2385,unknown
Men,45-54,39.30583296541793,2199,unknown
Men,55-64,37.82858128205459,2720,unknown
Men,65-74,35.5820262699759,2512,unknown
Men,75+,23.51834076957132,2284,unknown
Women,Women,35.65351809129179,16605,unknown
Women,16-24,36.55323599146952,845,unknown
Women,25-34,37.94800695025768,2390,unknown
Women,35-44,40.90086024173223,2917,unknown
Women,45-54,39.92261922650388,2453,unknown
Women,55-64,37.24078994117822,2813,unknown
Women,65-74,32.56048916413504,2605,unknown
Women,75+,20.71013704572025,2582,unknown
Ethnic group,White ,36.83210015441206,26393,unknown
Ethnic group,"   English, Welsh, Scottish, Northern Irish, or British",36.89636198838637,23970,unknown
Ethnic group,   Irish,34.67464948626973,283,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],25,unknown
Ethnic group,   Any other White background,36.07196838644552,2115,unknown
Ethnic group,Mixed or Multiple,39.2872577514472,489,unknown
Ethnic group,   White and Black Caribbean,39.92347507635794,147,unknown
Ethnic group,   White and Black African,27.19934976946679,83,unknown
Ethnic group,   White and Asian,35.93767398069569,112,unknown
