"table c4: the types of anti-social behaviour (asb) experienced/witnessed and the reasons for not reporting, people aged 16 and over",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
"England and Wales, year ending March 2025",,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,unknown
Some shorthand is used in this table. [u] indicates that data are not reported because the unweighted base is fewer than 50.,,,,,,,,,unknown
Link to Notes page,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,unknown
Type of ASB experienced/witnessed [note 1],"% that was unsure if it was a crime, or could be reported
 [note 2]","% that thought it had already been reported/dealt with (e.g., by themselves, private family/friend matter) 
[note 3]","% that didn't report due to previous experience/perception of police/legal system 
[note 4]","% that didn't report due to perception of organisation/police response 
[note 5]","% that didn't report due to inconvenience or nature of event 
[note 6]","% that feared reprisal by offenders/thought it would make matters worse 
[note 7]",% Don't know/Other [note 8],Unweighted base - number of people aged 16 and over,unknown
"Begging, vagrancy and homeless people",22.56499385203513,11.00735649346168,0.9739965603973256,41.80456274344515,51.41718301522593,2.038309283115842,3.384429972369122,383,unknown
Problem of out of control or dangerous dogs,19.89267892012017,35.20843556801704,2.820644196316925,33.47480690802623,24.96439479228986,9.914402154164764,2.066089496543569,106,unknown
"Litter, rubbish or dog-fouling",16.31549546250527,14.60647820724421,1.005281975978821,53.32178476642648,33.21818381374503,2.194393849073386,1.810704058638169,1282,unknown
Inconsiderate behaviour [note 9],14.11660010710584,19.06402861551226,1.42036966545377,49.29054586092771,31.5027615451848,3.751926334300018,2.16669379381959,1662,unknown
Nuisance neighbours,12.90609588500477,24.81593511150385,1.983835079171734,39.94091639984186,24.53131129971212,13.54027892777218,2.812851183641321,448,unknown
Groups hanging around on the streets,12.10178112271632,19.55867864796801,0.8828059057579986,47.90165506381505,37.41036444299311,4.156949462872694,1.600035355053685,2179,unknown
People committing inappropriate or indecent sexual acts in public,[u],[u],[u],[u],[u],[u],[u],48,unknown
Vehicle related behaviour [note 10],10.80060738712865,15.50986121092403,1.273522742101631,56.6738590089568,30.97570632554562,5.069737323968946,2.009635364650694,2151,unknown
Loud music or other noise,9.70306961202541,15.16356853087888,0.9744456231471321,50.93781545020537,39.86560171097353,4.890046831272768,2.757617280086538,1072,unknown
Drink related behaviour,9.359854315510129,15.55754815628274,1.340245920854134,49.53056737197915,44.63077208817069,3.669187263723286,2.120414274350408,1698,unknown
"Vandalism, criminal damage or graffiti",8.698547464704374,32.64988909410723,1.301758173681816,40.92774300976564,27.03324885965662,4.144265755375187,1.518738738198184,791,unknown
"People being intimidated, verbally abused or harassed",8.69275576749669,32.60142432410203,1.128970073121822,36.8049060695003,30.80411596230054,5.133463324220169,2.768256994970042,961,unknown
People using or dealing drugs,8.5621164238929,15.60744311256553,2.647494198472313,43.74435397401511,42.71787767876437,13.91372623370383,2.637757925928531,1783,unknown
