table of contents,unnamed: 1,unnamed: 2,age_band
This worksheet contains tables presented vertically with one blank row between each table.,,,unknown
Table number,Table title,Useful links,unknown
Table A1,"Proportion of people who were victims of all CSEW headline crime and personal crime (including fraud and computer misuse), by personal characteristics, people aged 16 and over, England and Wales, year ending March 2025",Link to Table A1,unknown
Table A2,"Proportion of people who were victims of all CSEW headline crime and personal crime (including fraud and computer misuse), by household and area characteristics, people aged 16 and over and households, England and Wales, year ending March 2025",Link to Table A2,unknown
Table A3,"Number of times victims were victimised, people aged 16 and over, England and Wales, year ending March 2025",Link to Table A3,unknown
Table A4,"Proportion of victims aged 16 and over who were victimised more than once, statistical significance of change year ending March 2025 compared with selected years, England and Wales, year ending December 1981 to year ending March 2025",Link to Table A4,unknown
Table A5,"Proportion of incidents experienced by repeat victims aged 16 and over, statistical significance of change year ending March 2025 compared to selected years, England and Wales, year ending December 1981 to year ending March 2025",Link to Table A5,unknown
Table A6,"Percentage of CSEW headline crime incidents reported to the police or Action Fraud, statistical significance of change year ending March 2025 compared with selected years, England and Wales, year ending December 1981 to year ending March 2025",Link to Table A6,unknown
Table A7,"Reasons for not reporting incidents of crime to the police, England and Wales, year ending March 2025",Link to Table A7,unknown
Table A8,"8a: Combined prevalence measure of domestic abuse, sexual assault and stalking in the last year among people aged 16 years and over, by sex, England and Wales, year ending March 2024 and year ending March 2025. 8b: Estimated numbers of victims of the combined measure of domestic abuse, sexual assault and stalking in the last year among people aged 16 years and over, by sex, England and Wales, year ending March 2024 and year ending March 2025",Link to Table A8,unknown
Table A9a,"Prevalence of domestic abuse among people aged 16 years and over, by abuse type and sex, England and Wales, year ending March 2025",Link to Table A9a,unknown
Table A9b,"Prevalence of domestic abuse in the last year among people aged 16 years and over, by abuse type and sex, England and Wales, year ending March 2025",Link to Table A9b,unknown
Table A10a,"Prevalence of sexual assault and stalking among people aged 16 years and over, by abuse type and sex, England and Wales, year ending March 2025",Link to Table A10a,unknown
Table A10b,"Prevalence of sexual assault and stalking in the last year among people aged 16 years and over, by type and sex, England and Wales, year ending March 2022 to year ending March 2025",Link to Table A10b,unknown
Table A11a,"Prevalence of sexual assault and stalking in the last year among men aged 16 to 59 years, by type, England and Wales, year ending March 2005 to year ending March 2025",Link to Table A11a,unknown
Table A11b,"Prevalence of sexual assault and stalking in the last year among women aged 16 to 59 years, by type, England and Wales, year ending March 2005 to year ending March 2025",Link to Table A11b,unknown
