"table s10: trends in visibility of police foot patrols, people aged 16 and over, year ending march 2007 to year ending march 2024 [note 1]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,age_band
England and Wales,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,,,,,,,,,,unknown
Some shorthand is used in this table. [s] denotes the change is significant at the 5% level. [ns] denotes a non significant change at the 5% level. ,,,,,,,,,,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,unknown
Visibility of police [note 2],"Apr 2006 to
Mar 2007","Apr 2007 to 
Mar 2008 ","Apr 2008 to
Mar 2009","Apr 2009 to
Mar 2010","Apr 2010 to 
Mar 2011 ","Apr 2011 to 
Mar 2012","Apr 2012 to 
Mar 2013","Apr 2013 to
Mar 2014","Apr 2014 to
Mar 2015","Apr 2015 to
Mar 2016","Apr 2016 to
Mar 2017","Apr 2017 to
 Mar 2018","Apr 2018 to 
Mar 2019","Apr 2019 to
 Mar 2020","Apr 2022 to
 Mar 2023
","Apr 2023 to
 Mar 2024",Apr 2013 to Mar 2014 compared with Apr 2023 to Mar 2024 [note 3],Apr 2022 to Mar 2023 compared with Apr 2023 to Mar 2024 [note 3],unknown
High visibility,25.5826879289767,30.399883095041147,33.20660178254872,38.98715111154496,39.15007451073514,38.36808016042272,33.603318712571244,32.29346181511721,29.325650447199887,26.788343770934965,21.967119014127316,20.659139101707947,15.984879137294289,15.445061503542199,14.06715276241494,11.819402316436701,[s],[s],unknown
More than once a day,1.7308604269860868,2.0436535132189766,2.7960204403987974,3.3105265852994354,3.873945167878039,3.3764677825087945,2.181737129060501,2.1722507126196136,2.191160254925704,1.702781626102113,1.2823762154189842,0.7190846416870188,0.6807331244233563,0.6361496598719965,0.5207554197605127,0.5714603590342566,[s],[ns],unknown
Once a day,5.882404347018288,7.054913312559579,8.329003608913387,10.231175944414286,9.824164794449612,9.464152087730975,7.58089475121858,7.379078982169405,6.442906156622291,5.590279858567431,4.404656642128099,4.022647010759516,2.800362144276043,2.9777534928233265,2.2103036552018347,1.7063720525705026,[s],[ns],unknown
About once a week,17.969423154972326,21.301316269262593,22.081577733236536,25.445448581831243,25.451964548407485,25.527460290182955,23.840686832292164,22.74213212032819,20.691584035651893,19.49528228626542,16.280086156580232,15.917407449261411,12.503783868594889,11.831158350846877,11.336093687452593,9.541569904831878,[s],[s],unknown
Medium visibility,34.45935083943599,35.14762114292688,35.657951706199626,33.707213434775966,35.419124695954594,36.009353162158284,39.13781330141669,39.81971982921691,40.6091250733724,38.98318921297388,38.891991732489075,37.24095475714776,36.706934048995706,36.0969345364259,35.662896423039214,34.672462322283806,[s],[ns],unknown
About once a month,12.621663180665124,14.51618603198438,14.928313316459716,14.816867495261196,16.071682960174826,16.846883185581145,16.929956353631344,17.3537582144364,16.974684370257044,16.50082062587813,16.041162299995,14.496607472693462,13.083612408013403,13.13699283909481,13.102290083935559,12.432528129509757,[s],[ns],unknown
Less than once a month,21.837687658770868,20.631435110942498,20.729638389739907,18.890345939514773,19.34744173577977,19.16246997657714,22.20785694778535,22.465961614780483,23.634440703115352,22.482368587095753,22.850829432494077,22.744347284454303,23.6233216409823,22.959941697331086,22.560606339103657,22.23993419277404,[ns],[ns],unknown
Low visibility (Never),39.957961231587305,34.45249576203197,31.13544651125166,27.305635453679063,25.43080079331028,25.622566677418984,27.25886798601207,27.88681835566588,30.065224479427727,34.22846701609116,39.14088925338361,42.09990614114428,47.30818681371001,48.45800396003191,50.26995081454585,53.50813536127988,[s],[s],unknown
Unweighted base - number of people aged 16 and over [note 4],10744,11598,11436,11009,11462,11317,8707,9171,8502,9009,9119,8858,8726,8749,7979,7958,,,unknown
