"table s16: incidents in which victims were satisfied with the police by household and area characteristics, people aged 16 and over",unnamed: 1,unnamed: 2,unnamed: 3,age_band
"England and Wales, year ending March 2024 [note 1]",,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,unknown
Link to Notes ,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,unknown
Link to Table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Household or area characteristics [note 2],Household or area characteristics breakdown,Satisfaction with the police (%) [note 3],Unweighted base - number of incidents,unknown
All incidents,All incidents,55.419577868141516,1220,unknown
Structure of household,Single person with child(ren) under 16,72.56343341522806,93,unknown
Structure of household,Persons with child(ren) under 16,63.279783082334276,304,unknown
Structure of household,Person(s) and no child(ren),50.1032951619812,823,unknown
Total household income,"Less than £10,400",51.336324202046974,67,unknown
Total household income,"£10,400 to less than £20,800",56.26770920243565,195,unknown
Total household income,"£20,800 to less than £31,200",48.04177139250266,174,unknown
Total household income,"£31,200 to less than £41,600",58.78975831663427,121,unknown
Total household income,"£41,600 to less than £52,000",60.243625653257695,117,unknown
Total household income,"£52,000 or more",55.38187322178292,325,unknown
Total household income,No income stated or not enough information provided,[u],8,unknown
Tenure,Owners,59.90281468970745,647,unknown
Tenure,Social renters,48.383818198043784,285,unknown
Tenure,Private renters,53.60714880989777,268,unknown
Accommodation type ,House or bungalow,55.96225602774128,995,unknown
Accommodation type ,    Detached,65.63949558940658,227,unknown
Accommodation type ,    Semi-detached,49.571158766506656,379,unknown
Accommodation type ,    Terraced,56.295491144458246,389,unknown
Accommodation type ,Flats/maisonettes,53.6293174816973,219,unknown
Accommodation type ,Other accommodation,[u],2,unknown
Output Area Classification,Rural residents,50.542543135149785,94,unknown
Output Area Classification,Cosmopolitans,43.39364118576529,75,unknown
Output Area Classification,Ethnicity central,42.655534202660746,93,unknown
Output Area Classification,Multicultural metropolitans,58.079174304099574,186,unknown
Output Area Classification,Urbanites,67.54002625557945,211,unknown
Output Area Classification,Suburbanites,58.07985663465719,172,unknown
Output Area Classification,Constrained city dwellers,59.12398938826477,124,unknown
Output Area Classification,Hard-pressed living,50.719506216775144,265,unknown
Area type,Urban,56.0912600681486,1057,unknown
Area type,Rural,52.129456486393245,163,unknown
Level of physical disorder,High,48.40251837585292,113,unknown
Level of physical disorder,Not high,56.08207584742676,1102,unknown
English Indices of Deprivation (Employment),20% most deprived output areas,53.32861031118878,361,unknown
English Indices of Deprivation (Employment),Other output areas,57.310002732694564,637,unknown
English Indices of Deprivation (Employment),20% least deprived output areas,52.41774695531127,168,unknown
Welsh Indices of Deprivation (Employment),20% most deprived Output Areas,[u],10,unknown
Welsh Indices of Deprivation (Employment),Other Output Areas,[u],37,unknown
Welsh Indices of Deprivation (Employment),20% least deprived Output Areas,[u],7,unknown
Region,North East,60.293050494342296,81,unknown
Region,North West,63.65683638733137,152,unknown
Region,Yorkshire and The Humber,58.95680388731829,140,unknown
Region,East Midlands,51.39633855129904,109,unknown
Region,West Midlands,56.97446287597649,118,unknown
Region,East,60.65445571356721,129,unknown
Region,London,45.64960474733575,161,unknown
Region,South East,57.36231004692246,177,unknown
Region,South West,43.162265328629125,99,unknown
Region,Wales,51.44120940394218,54,unknown
