"table s17: victim satisfaction with the police by criminal justice system factors, people aged 16 and over  [note 1]",unnamed: 1,unnamed: 2,unnamed: 3,age_band
"England and Wales, year ending March 2024",,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet.,,,,unknown
Link to Notes ,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,unknown
Link to table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Criminal Justice System factors,Criminal Justice System factor breakdown,"Satisfaction with the police (%) [note 2]
",Unweighted base - number of people aged 16 and over,unknown
Treated fairly by the police,Yes,78.64841960428613,820,unknown
Treated fairly by the police,No,7.754992932332653,370,unknown
Treated with respect by the police,Yes,67.12977400651911,979,unknown
Treated with respect by the police,No,8.76665293228952,209,unknown
If police found out who did it,Yes,62.36635103070085,350,unknown
If police found out who did it,No,52.31351279846551,706,unknown
If police found out who did it,Not yet,51.600292095607884,100,unknown
Action taken against offender,Charged,88.61649487271328,79,unknown
Action taken against offender,Given caution,69.43145609258829,53,unknown
Action taken against offender,Gave them a fine (or Penalty Notice for Disorder),[u],5,unknown
Action taken against offender,Made them do something to make amends for the matter,[u],7,unknown
Action taken against offender,Some other action,[u],12,unknown
Action taken against offender,No action (yet) taken against the offender,42.390395977007316,144,unknown
Did offender go to court,Yes,[u],44,unknown
Did offender go to court,No,51.65432914930571,189,unknown
Did offender go to court,Not yet,[u],48,unknown
How well police kept the victim informed,Well,87.31487758385097,361,unknown
How well police kept the victim informed,Not well,19.69077092404769,531,unknown
How well police kept the victim informed,Not necessary to keep me informed,77.98118768816565,313,unknown
