"table s25: perceptions of changing crime levels, people aged 16 and over, by personal characteristics, year ending march 2024",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,age_band
England and Wales,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,unknown
Link to Notes ,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,unknown
Link to Table of contents,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,unknown
Personal characteristic [note 1],Personal characteristic breakdown,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years: national level,Percentage saying crime has gone up 'a little' or 'a lot' in the past few years: local level,Unweighted base - number of people aged 16 and over [note 2],unknown
All people,All people,78.78358507579429,50.75410051322209,14977,unknown
All people,16-24,76.24885256067648,46.83369094659393,830,unknown
All people,25-34,71.73457315278353,49.73598597326373,2008,unknown
All people,35-44,74.75842397893496,53.320828122914456,2445,unknown
All people,45-54,79.89535525387063,55.73128772032109,2155,unknown
All people,55-64,81.5507905440215,54.599023497170926,2541,unknown
All people,65-74,85.29428989767862,50.105245629710836,2600,unknown
All people,75+,84.53360815255515,41.21034431687566,2398,unknown
Men,Men,75.32641041960251,46.40293212274391,6983,unknown
Men,16-24,72.4091687768398,44.41411463291314,417,unknown
Men,25-34,67.43407054721892,43.32904662589571,923,unknown
Men,35-44,70.80347029448298,48.33681393814249,1095,unknown
Men,45-54,77.42031157445227,49.500178137772416,985,unknown
Men,55-64,78.2535202370216,49.478123662923494,1238,unknown
Men,65-74,82.8868833668665,47.270140030520224,1258,unknown
Men,75+,82.72930379349768,39.553271622613295,1067,unknown
Women,Women,82.09396649357711,54.85845456606974,7994,unknown
Women,16-24,80.31815038614825,49.61912498880657,413,unknown
Women,25-34,76.39177858392084,56.478814470448505,1085,unknown
Women,35-44,78.66595272468065,57.951233496587896,1350,unknown
Women,45-54,82.15552001573413,61.33042783210085,1170,unknown
Women,55-64,84.70420358811084,59.483835256001015,1303,unknown
Women,65-74,87.41490257547478,52.621639460005355,1342,unknown
Women,75+,85.98735943443674,42.58570939922354,1331,unknown
Ethnic group,White ,80.48905364601302,51.16017031364046,12792,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,81.93356559353619,51.187176204927276,11763,unknown
Ethnic group,   Irish,71.30311688585824,50.389082065474675,112,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],[u],3,unknown
Ethnic group,   Any other white background,66.28664932791895,50.731345094832854,914,unknown
Ethnic group,Mixed/Multiple,74.90464505377541,48.16575982773407,173,unknown
Ethnic group,   White and Black Caribbean,[u],[u],49,unknown
Ethnic group,   White and Black African,[u],[u],27,unknown
Ethnic group,   White and Asian,[u],[u],46,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,87.58763932153941,43.5425607216062,51,unknown
Ethnic group,Asian/Asian British,70.97087036036238,49.265217618934834,1161,unknown
Ethnic group,   Indian,70.86949368401719,57.45981047955857,448,unknown
Ethnic group,   Pakistani,75.61308864118075,49.350788341848336,257,unknown
Ethnic group,   Bangladeshi,76.97628913588133,51.86279780633785,101,unknown
Ethnic group,   Chinese,64.31426680148442,34.93841005194462,139,unknown
Ethnic group,   Any other Asian background,65.98021341405386,38.46117230369456,216,unknown
Ethnic group,Black/African/Caribbean/Black British,65.89608123616371,44.3567348176122,585,unknown
Ethnic group,   African,65.94512786919768,42.11376379529146,397,unknown
Ethnic group,   Caribbean,65.94596797715568,48.88179362994861,155,unknown
Ethnic group,   Any other Black/African/Caribbean background,[u],[u],33,unknown
Ethnic group,Other ethnic group,73.27945888867717,51.02026195178466,208,unknown
Ethnic group,   Arab,65.73408131782801,33.83920012823824,65,unknown
Ethnic group,   Any other ethnic group,77.46528579677353,58.26058879144866,143,unknown
Country of Birth,Born in the UK,81.52812402470431,51.30837194001936,12257,unknown
Country of Birth,Not born in the UK,67.78341179014105,48.07847446981315,2662,unknown
Marital status,Married/civil partnered,79.46513581306452,52.148195701244845,6514,unknown
Marital status,Cohabiting,77.73649100812425,51.881187669553924,1352,unknown
Marital status,Single,75.76082884198159,49.258610473727664,3876,unknown
Marital status,Separated,81.9944640179427,52.257133235789645,363,unknown
Marital status,Divorced/legally dissolved partnership,81.63528988155181,51.68992332981544,1269,unknown
Marital status,Widowed,85.73788398766415,42.25714609677917,1481,unknown
Respondent's employment status,Employed,77.23891206761661,52.63730057986334,8266,unknown
Respondent's employment status,Unemployed,73.10078929736329,45.79025652247894,159,unknown
Respondent's employment status,Economically inactive,81.66154611902918,47.96153470863655,6502,unknown
Respondent's employment status,Economically inactive: student,64.47649394127161,39.6478076939998,279,unknown
Respondent's employment status,Economically inactive: looking after family/home,78.95594376608473,57.51689660839157,552,unknown
Respondent's employment status,Economically inactive: long-term/temp sick/ill,84.97082945353928,59.133920714812746,782,unknown
Respondent's employment status,Economically inactive: retired,84.98686935269046,46.15912576837158,4634,unknown
Respondent's employment status,Economically inactive: other,72.55477808002983,44.1077761645017,255,unknown
Respondent's occupation,Managerial and professional occupations,76.47819643596823,49.41391181419077,5737,unknown
Respondent's occupation,Intermediate occupations,81.94240648994287,53.108068702115986,3227,unknown
Respondent's occupation,Routine and manual occupations,82.6678669342728,51.41515860021629,4630,unknown
Respondent's occupation,Never worked and long-term unemployed,72.3862073139249,47.52740643931232,627,unknown
Respondent's occupation,Full-time students,70.12322438292969,49.34133834491921,444,unknown
Respondent's occupation,Not classified,76.62775213692193,52.572809611012595,309,unknown
Respondent's highest qualification,Degree or diploma,74.56743110590777,49.28428189161865,6721,unknown
Respondent's highest qualification,Apprenticeship or A/AS level,81.6389494631244,52.98016663823791,2368,unknown
Respondent's highest qualification,O level/GCSE,88.00757124416015,56.24124879643923,2372,unknown
Respondent's highest qualification,Other,81.84812382593726,51.67228849042384,685,unknown
Respondent's highest qualification,,77.939299765677,46.45783729028528,2679,unknown
Disability [note 3],Disabled,85.25721592163205,54.89562286566993,3438,unknown
Disability [note 3],Not disabled,77.25642284853095,49.63489473883191,11443,unknown
Religion,No religion,77.35860380599851,49.240165586324466,6075,unknown
Religion,Christian,81.6731985929489,51.88149296786505,7577,unknown
Religion,Buddhist,65.66823506984461,45.42539202544973,81,unknown
Religion,Hindu,72.28491577930792,50.91096137580505,260,unknown
Religion,Jewish,[u],[u],46,unknown
Religion,Muslim,70.36515465955614,51.718955977319915,666,unknown
Religion,Sikh,80.0644444363951,69.63098672069343,85,unknown
Religion,Other,87.2285238469179,49.403420960904135,91,unknown
Sexual orientation [note 4],Heterosexual/straight,78.90561219248974,51.10514512321692,12227,unknown
Sexual orientation [note 4],Gay/Lesbian,77.41697431381291,44.617782216344764,222,unknown
Sexual orientation [note 4],Bisexual,73.01301349569974,53.49039208833406,272,unknown
Sexual orientation [note 4],Other,72.05789380436156,53.61903702214896,82,unknown
Gender identity [note 5],Gender identity the same as sex registered at birth,78.7954551003765,51.47126083537024,11899,unknown
Gender identity [note 5],Gender identity different from sex registered at birth,68.2567673692627,59.41449765960309,63,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Victim,83.2472085109727,65.7660441723752,2431,unknown
Experience of crime in the previous 12 months (including fraud & computer misuse),Not a victim,77.87465469745256,47.66513948301441,12546,unknown
Hours out of home on an average weekday,Less than 3 hours,79.55519203561381,48.182127178609406,6320,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,79.214559467903,52.12537345311731,4135,unknown
Hours out of home on an average weekday,7 hours or longer,77.56049810936312,52.59537727581019,4465,unknown
Number of evening visits to pub/bar in the last month,,78.3489298769844,50.35989238094203,8774,unknown
Number of evening visits to pub/bar in the last month,Less than once a week ,80.18543859998314,51.70989412527195,4254,unknown
Number of evening visits to pub/bar in the last month,Once a week or more often,77.8040180099767,50.159563535093696,1929,unknown
Number of visits to a nightclub/disco in the last month,,78.88127168972167,50.6246525781858,14397,unknown
Number of visits to a nightclub/disco in the last month,1-3 times a month,76.4961380869013,51.50008408990244,493,unknown
Number of visits to a nightclub/disco in the last month,4+ times a month,86.19100064335815,64.4662030486419,71,unknown
