"table s29: worry about crime by household and area characteristics, people aged 16 and over, year ending march 2024",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,unknown
Link to Notes,,,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,,,unknown
Link to Table of contents ,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,unknown
Household characteristic [note 1],Household or area characteristics breakdown,Percentage with high level of worry about burglary,Percentage with high level of worry about car crime,Percentage with high level of worry about fraud [note 2],Percentage with high level of worry about violent crime,Unweighted base - number of people aged 16 and over [note 3],unknown
All people,All people,7.364805307639667,6.255133540220776,16.122118442451946,7.562797501066175,7752,unknown
Structure of household,Single person and child(ren) under 16,12.113225293152006,7.7608865241167155,18.326882833281957,18.59470266240294,348,unknown
Structure of household,Persons and child(ren) under 16,9.016953673331452,8.042171751904483,14.142167962230461,9.18708802818121,1423,unknown
Structure of household,Person(s) and no children,6.674105563989492,5.581716264798127,16.76349066797406,6.6198753919248645,5981,unknown
Total Household Income,"Up to £10,399",11.156530766131969,6.160391388320552,23.993846726864977,14.205559223640549,484,unknown
Total Household Income,"£10,400 - £20,799",10.587510592025591,7.650467515109673,22.97123326899516,11.055921902730555,1276,unknown
Total Household Income,"£20,800 - £31,199",9.220396243799922,4.852968425697143,19.57686783916988,9.118374825367297,1178,unknown
Total Household Income,"£31,200 - £41,599",6.626848198699792,7.722766340752521,18.22864205703899,7.59430998446289,822,unknown
Total Household Income,"£41,600 - £51,999",6.943571276283407,5.6588830685983496,14.429059643008687,6.992640051798466,749,unknown
Total Household Income,"£52,000 or more",4.833988233023289,4.902640582298661,12.292304301161971,3.7279349832721653,1555,unknown
Total Household Income,No income stated or not enough information provided,10.136169959661041,15.548404350883112,14.15562502032986,11.353247218057565,72,unknown
Tenure,Owner occupiers,6.133512197129449,5.465932904421562,16.47337223243199,5.569166685337066,4881,unknown
Tenure,Social renters,11.656598194069945,9.333140419073425,20.240815350710957,12.632737607869855,1331,unknown
Tenure,Private renters,8.312532026181293,8.198576019213496,12.840687250151039,10.144984203084409,1442,unknown
Accommodation type ,Houses,7.309152924033096,6.094941006709228,16.09743621153722,6.8361560826785555,6470,unknown
Accommodation type ,Detached,5.468306432441163,4.102373135344607,15.601111401106982,4.062875459001396,1714,unknown
Accommodation type ,Semi-detached,7.780299443790676,6.365657979803148,16.853427324937623,6.309917918185342,2443,unknown
Accommodation type ,Terraced,8.277027493566123,8.022446379481195,15.671097522167543,9.799095607740982,2313,unknown
Accommodation type ,Flats or maisonettes,7.634909264233302,8.194183148535013,16.092093715365184,11.82366369938646,1249,unknown
Accommodation type ,Other,[u],[u],[u],[u],7,unknown
Output Area Classification,Rural residents,3.5170825641390984,2.4858623677028295,16.12958933051707,3.6213767273631583,909,unknown
Output Area Classification,Cosmopolitans,4.92945385581899,9.707290641344485,10.798335355256972,6.4718070340985046,326,unknown
Output Area Classification,Ethnicity central,8.969559853750564,14.909268847423418,16.893980788333383,13.822071720356297,473,unknown
Output Area Classification,Multicultural metropolitans,9.446310290464874,8.500057514675344,16.490012979803815,10.544617760753875,1056,unknown
Output Area Classification,Urbanites,5.911185610296784,6.60587892786083,15.506859169498341,5.418040099212042,1342,unknown
Output Area Classification,Suburbanites,5.886452263452867,4.612615650071454,14.435670430478902,5.175202682496913,1387,unknown
Output Area Classification,Constrained city dwellers,10.621993703771764,8.885373302297062,18.97589045219216,14.294927711458497,684,unknown
Output Area Classification,Hard-pressed living,9.929155290746145,6.575520911970352,18.56946424173664,8.298961263063857,1575,unknown
Area type,Urban,7.934437509679625,7.0043353122292835,16.0915878675681,8.34283391486862,6229,unknown
Area type,Rural,4.931988196326262,3.78351973729056,16.25026817547372,4.318160180952773,1523,unknown
Level of physical disorder,High,10.493615733122645,11.786700633512405,20.301123277343418,17.015384352124464,514,unknown
Level of physical disorder,Not high,7.113051773636772,5.904622449808906,15.832861391491607,6.907993731073116,7221,unknown
English Indices of Deprivation (Employment),20% most deprived Output Areas,11.308188518073921,11.028307191681563,17.484596600938133,11.657526481366318,1820,unknown
English Indices of Deprivation (Employment),Other Output Areas,6.84697982090488,5.950320215698373,15.799204904568063,7.31905383756094,4239,unknown
English Indices of Deprivation (Employment),20% least deprived Output Areas,5.188780722154748,4.084402293155719,13.969017940703331,5.2959980935053155,1195,unknown
Welsh Indices of Deprivation (Employment),20% most deprived Output Areas,10.943510691944766,15.726700200524887,24.041589757718565,9.490224546307422,112,unknown
Welsh Indices of Deprivation (Employment),Other Output Areas,7.309928639743347,1.9942537496456816,22.353163301291936,3.669770754098045,304,unknown
Welsh Indices of Deprivation (Employment),20% least deprived Output Areas,3.8754637252325654,6.721744220363381,19.16050949799519,0.8118836287191492,82,unknown
Region,North East,7.864018705555163,8.576060136274544,13.2109567343397,6.475923458376682,445,unknown
Region,North West,9.441291214093491,6.417501743708573,16.237617906758828,7.663361140604883,1032,unknown
Region,Yorkshire and The Humber,6.360815052702057,7.440301025383149,12.681135845025107,9.370442714934857,747,unknown
Region,East Midlands,6.2430761128897405,4.928668455207119,15.918500940602923,6.53134723719095,757,unknown
Region,West Midlands,8.654683780637662,7.511499658331538,19.027075523268614,9.751137781465175,860,unknown
Region,East,5.591886116195638,6.13031400577722,16.1699858314569,6.438536464283253,842,unknown
Region,London,8.272979634906052,10.88013019744606,14.38761440776132,9.817289891294106,950,unknown
Region,South East,7.479329423249266,4.891551841410886,16.534506142673113,6.826215197465898,909,unknown
Region,South West,5.469099276911006,2.588043238830923,16.56013966260885,5.489100051188746,712,unknown
Region,Wales,7.191440256757773,5.200279430372393,22.028659791431526,4.0514044454594975,498,unknown
