"table s30: trends in the anti-social behaviour indicators, with percentage of respondents saying there is a very or fairly big problem in their area [note 1, 2, 3]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,age_band
"England and Wales, year ending December 1992 to year ending March 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units used in this table are percentages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Some shorthand is used in this table. [x] indicates that data are not available. [s] indicates there is a statistically significant change at the 5% level. [ns] denotes a non significant statistical change at the 5% level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Anti-social behaviour indicators,Jan 1992 to Dec 1992,Jan 1994 to Dec 1994,Jan 1996 to Dec 1996,Jan 1998 to Dec 1998,Jan 2000 to Dec 2000,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,"Apr 2011 to 
Mar 2012
[note 2, 3]","Apr 2012 to
 Mar 2013
[note 2, 3]","Apr 2013 to
 Mar 2014
[note 2, 3]","Apr 2014 to Mar 2015
[note 2, 3]","Apr 2015 to Mar 2016
[note 2, 3]","Apr 2016 to Mar 2017
[note 2, 3]","Apr 2017 to Mar 2018
[note 2, 3]","Apr 2018 to Mar 2019
[note 2]",Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,Apr 2023 to Mar 2024 compared with Apr 2013 to Mar 2014 significance,Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023 significance,unknown
"High level of perceived anti-social behaviour [note 4, 6]",[x],[x],[x],[x],[x],18.822003075828977,20.64161971255779,16.287679565263797,17.0217719820306,17.310585083757267,17.525770332385914,16.34170682228137,16.494688337800945,14.36617043448799,13.72258408277509,14.384830372232658,12.899997325101033,11.882226006567398,10.910575687191908,10.436889553086798,8.960217306229447,9.609438404531295,7.195730186624696,7.143491960103661,7.701104687032368,8.197136527528066,[s],[ns],unknown
Rubbish or litter lying around,29.6770984425625,26.417318281251763,25.715998048113047,27.800270625823106,30.4675868680745,31.807103419123376,33.505268860647014,28.971231114739563,29.896094694139865,30.387412523353053,30.863120891020788,30.424151935464405,30.26863980438702,28.26907848627922,28.03251931171084,29.430043827419063,28.735164221161515,28.97919801360166,28.602842623360416,31.07088115112886,29.848995157374038,30.23874448082418,28.131647465960498,27.40462510773352,26.635574752565567,28.493884021618026,[ns],[ns],unknown
People using or dealing drugs,14.1389361857716,21.559762161530667,20.91203207546711,24.551235975253164,32.541145327364745,30.933772015968678,31.53933917997981,25.085813018373685,25.664181406150718,26.621736768728212,27.53820021581018,26.03492220196068,27.458836374192444,25.971589190010196,25.677094079816907,27.224819106688354,25.362391297257293,24.557781280036657,24.10116966964858,23.92104893915291,22.67854937544722,23.458380782062473,19.71660931910049,22.41754084612671,20.614853648871765,22.342635424723017,[s],[ns],unknown
People being drunk or rowdy in public places [note 5],[x],[x], [x] ,[x],[x],22.027717648806806,23.30613164588675,19.0594909257728,22.365378259833594,24.445789483121636,25.543517240962355,25.144058885539078,26.16827868713701,23.858869026534574,23.676978849774287,23.940758581264078,20.436722467660374,19.167290527376,18.159274186274203,17.840334326932766,15.620252779268847,16.464877923892562,12.526699316056616,12.63338063484215,11.84738109746326,12.129922860158178,[s],[ns],unknown
Teenagers hanging around on the streets,19.9957642047806,25.9768046802999,23.327466520771836,27.122659231770307,32.29893602718073,32.25770809095825,33.339345474964574,27.195426603981872,30.57585649643881,32.48776295082365,32.75450014719262,31.04358085315309,30.242818813929873,26.95320288935379,25.37022731183406,24.450496520743936,21.805637862374105,19.682228344016583,17.22592772162745,17.31501130933801,15.050811980820855,16.4900394204207,13.423227426135561,14.183396535594701,13.408662740366532,14.505205853207748,[s],[ns],unknown
"Vandalism, graffiti and other deliberate damage to property",25.5016297860912,28.7002072753697,24.28937094190409,26.350381829894122,32.32959881982061,34.62020784210226,35.03275182847051,28.10608807990198,28.25663667144714,28.744191117569486,28.25956111639244,27.166633287071853,26.825292234417184,22.911444785871428,21.339071820523372,20.66710029534081,18.79199197372169,16.399430448705125,15.877223907179774,15.63397521651869,14.149415009622116,15.147719910578326,12.085638904296465,12.856168531258913,11.78477006331068,12.232486463242152,[s],[ns],unknown
Noisy neighbours or loud parties,7.77212621018682,7.688536905794848,7.634926232109804,8.34555291906875,8.69904271259542,9.751729487417151,9.804584445423329,8.765036510784988,9.125094287809599,9.709624825866488,10.55849845624984,10.320047461785531,10.428969625900645,10.977337611255352,11.200885547252703,12.029042137398479,11.103643311305472,10.934045963585934,11.691437752239176,10.572459727011022,9.644435724790112,9.590876180096956,7.928452486814745,7.849770127193095,8.294045072523234,8.426261858752424,[s],[ns],unknown
"Abandoned or burnt-out cars [note 5, 6]",[x],[x], [x] ,[x],[x],20.016810353376208,24.44976533701237,15.209759084946821,11.627845240816313,9.941927711949605,8.536098086679681,6.782944017938419,5.774947867855297,4.784176901982966,4.0801847901890635,4.286937031981325,2.9484738474217496,2.3133066580115043,2.4160948216439913,2.6816028637949088,3.179036571046769,2.7536809556893274,2.339003873444155,2.4905948210821363,3.053964188545824,2.7193014586141686,[ns],[ns],unknown
"Unweighted base - number of people aged 16 and over [note 3, 7, 8]",8486,13745,7624,13986,8910,30670,34622,36116,42937,45845,45063,45021,44010,42390,44551,21762,8289,8670,8145,8606,8653,8523,8503,8550,7925,7801,,,unknown
