"table s32: high levels of perceived anti-social behaviour in local area, by household and area characteristics, people aged 16 and over [note 1]",unnamed: 1,unnamed: 2,unnamed: 3,age_band
"England and Wales, year ending March 2024",,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units used in this table are percentages.,,,,unknown
Link to Notes page,,,,unknown
Some shorthand is used in this table. [u] indicates that that data are not reported because the unweighted base is fewer than 50,,,,unknown
Link to Table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Household characteristic [note 1] ,Household/area characteristics breakdown,Percentage of people reporting high level of perceived ASB [note 2],Unweighted base - number of people aged 16 and over,unknown
All people,All people,8.19713652752806,7760,unknown
Structure of household ,Single person and child(ren) under 16,14.315773557170276,359,unknown
Structure of household ,Persons and child(ren) under 16,8.697421192768827,1489,unknown
Structure of household ,Person(s) and no child(ren),7.819396593187963,5912,unknown
Total household income,"Less than £10,400",14.662082970027612,482,unknown
Total household income,"£10,400 to less than £20,800",10.411380657589493,1285,unknown
Total household income,"£20,800 to less than £31,200",9.53343759484317,1235,unknown
Total household income,"£31,200 to less than £41,600",7.88650664550267,801,unknown
Total household income,"£41,600 to less than £52,000",7.471947117896708,731,unknown
Total household income,"£52,000 or more",6.110060140458705,1607,unknown
Total household income,No income stated or not enough information provided,12.37302306563436,86,unknown
Tenure,Owner occupiers,5.554537919819813,4872,unknown
Tenure,Social renters,16.418811376464667,1370,unknown
Tenure,Private renters,10.46139353548131,1434,unknown
Accommodation type ,Houses,7.641651387718454,6386,unknown
Accommodation type ,Detached,2.6613945313586895,1753,unknown
Accommodation type ,Semi-detached,6.335346931356575,2395,unknown
Accommodation type ,Terraced,13.435038330612619,2238,unknown
Accommodation type ,Flats/maisonettes,11.446775152348355,1326,unknown
Accommodation type ,Other,[u],23,unknown
Output Area Classification,Rural residents,1.604405283210608,923,unknown
Output Area Classification,Cosmopolitans,15.385805089318795,352,unknown
Output Area Classification,Ethnicity central,13.075661922330955,495,unknown
Output Area Classification,Multicultural metropolitans,13.962947300735747,1024,unknown
Output Area Classification,Urbanites,3.537795823342935,1378,unknown
Output Area Classification,Suburbanites,3.1281191830970188,1429,unknown
Output Area Classification,Constrained city dwellers,19.710650079977786,663,unknown
Output Area Classification,Hard-pressed living,10.709440633916582,1496,unknown
Area type,Urban,9.410315999738295,6257,unknown
Area type,Rural,3.0223083617839186,1503,unknown
Level of physical disorder,High,24.57929935004724,528,unknown
Level of physical disorder,Not high,7.043392201488637,7218,unknown
English Indices of Deprivation (Employment),20% most deprived output areas,18.45774768837633,1756,unknown
English Indices of Deprivation (Employment),Other output areas,6.7687984084351696,4216,unknown
English Indices of Deprivation (Employment),20% least deprived output areas,3.5897619669986374,1284,unknown
Welsh Indices of Deprivation (Employment),20% most deprived output areas,11.296884104250388,99,unknown
Welsh Indices of Deprivation (Employment),Other output areas,6.6826776118803615,315,unknown
Welsh Indices of Deprivation (Employment),20% least deprived output areas,2.579708457608989,90,unknown
Region,North East,11.278640238888599,431,unknown
Region,North West,7.6076736574013015,1027,unknown
Region,Yorkshire and The Humber,10.259574802215791,736,unknown
Region,East Midlands,10.054641378317582,746,unknown
Region,West Midlands,10.826237561358857,827,unknown
Region,East,7.349996387262223,893,unknown
Region,London,8.894476567768947,981,unknown
Region,South East,6.296488270929595,897,unknown
Region,South West,5.187131488085559,718,unknown
Region,Wales,6.432728665383863,504,unknown
