"table s35: trends in percentage of people aged 16 and over who felt very/fairly safe walking alone after dark, by sex, with statistical significance of change year ending march 2024 to selected years [note1][note 2]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,age_band
"England and Wales, year ending December 1994 to year ending March 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Notes page,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Some shorthand is used in this table. [x] indicates that data are not available. [s] indicates there is a statistically significant change at the 5% level. [ns] denotes a non significant statistical change at the 5% level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown
Sex,Jan 1994 to Dec 1994,Jan 1996 to Dec 1996,Jan 1998 to Dec 1998,Jan 2000 to Dec 2000,Apr 2001 to Mar 2002,Apr 2002 to Mar 2003,Apr 2003 to Mar 2004,Apr 2004 to Mar 2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,Apr 2015 to Mar 2016,Apr 2016 to Mar 2017 [note 3],Apr 2017 to Mar 2018,Apr 2018 to Mar 2019,Apr 2019 to Mar 2020,Apr 2022 to Mar 2023,Apr 2023 to Mar 2024,"Apr 2023 to Mar 2024 compared with Apr 2013 to Mar 2014
","Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023
",unknown
Males,84.09777928720533,85.0083135678635,85.08041965721577,84.9842702156225,84.03549880314391,81.96650072375839,83.60368269869024,84.80284274385487,82.81551117478963,82.89045800167682,83.03751375719125,83.39308686861618,84.73876559170024,86.08563182994014,87.08260300311319,84.72288850522519,85.08356364056478,85.75433770838818,87.8726364451006,[x],87.16786062260739,88.35775144994396,86.82945825553482,89.71113920596984,89.2200060030391,[s],[ns],unknown
Females,45.47708463352843,52.658876982180736,51.599418027333776,52.7325935383084,53.096617922848345,50.44783516964759,53.25797600438492,56.55094237556175,54.56886977947831,55.9485120177003,56.334441511193866,57.392252107008545,60.94367969347289,63.54408855640662,64.48216164655682,56.65093352951438,57.95424582600218,61.81505205936627,61.705980408354854,[x],63.74953488284568,68.81072249215667,68.99556278055235,68.98974760720932,69.62947345090797,[s],[ns],unknown
All people aged 16 and over,64.048686877322,68.20053286290961,67.71540604658085,68.2817530715697,68.08609377647656,65.71513079673647,67.98317450562118,70.26242897022688,68.27897624231028,69.03893532593428,69.32177030234246,70.04666565093463,72.53356924800842,74.53675390817087,75.51578593894111,70.4816186669451,71.24689954764844,73.6875703571393,74.70836037038079,[x],75.2219777184439,78.41676293133546,77.84536512534879,79.13920834000587,79.49412805586022,[s],[ns],unknown
Unweighted base - number of people aged 16 and over [note 4],14451,16292,14893,19306,32499,36269,37627,44834,47584,46895,46696,46042,44373,46484,45707,8014,8302,7823,8385,[x],8230,8118,7902,7363,7282,[x],[x],unknown
