"table s40: treatment by the police when stopped in a vehicle or on foot in the last year, people aged 16 and over, year ending march 2024",unnamed: 1,unnamed: 2,unnamed: 3,age_band
England and Wales,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,unknown
Link to notes ,,,,unknown
Link to table of contents,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,unknown
Treatment by police [note 1],Stop breakdowns ,Stopped in a vehicle,Stopped on foot,unknown
Percentage saying police treated them fairly,Yes,79.65655755944037,81.30178056908218,unknown
Percentage saying police treated them fairly,Not entirely,9.451571552778312,14.58251359842975,unknown
Percentage saying police treated them fairly,Not at all,10.891870887781177,4.115705832487997,unknown
Percentage saying police treated them with respect,Yes,76.53900929776854,80.60238737484158,unknown
Percentage saying police treated them with respect,Not entirely,13.450806360594541,13.189051465203672,unknown
Percentage saying police treated them with respect,Not at all,10.010184341636766,6.208561159954682,unknown
Unweighted base - number of people aged 16 and over,,690,306,unknown
