"table s42: prevalence of domestic abuse, sexual assault and stalking in the last year among people aged 16 and over, by type and sex [note 1, 2, 3, 4]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,age_band
"England and Wales, year ending March 2022 to year ending March 2024",,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units used in this table are percentages.,,,,,,,,,,,,,unknown
Link to notes,,,,,,,,,,,,,unknown
Some shorthand is used in this table. [c] denotes that figures have been suppressed due to disclosure constraints. [z] denotes not applicable. [s] denotes there is a statistically significant change at the 5% level. [ns] denotes a non significant statistical change at the 5% level.,,,,,,,,,,,,,unknown
Link to table of contents,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,unknown
Abuse type,"Oct 2021 to Mar 2022
Men [note 6]","Apr 2022 to Mar 2023
Men [note 7]","Apr 2023 to Mar 2024
Men [note 4]","Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023
Men","Oct 2021 to Mar 2022
Women 
[note 6]","Apr 2022 to Mar 2023
Women 
[note 7]","Apr 2023 to Mar 2024
Women [note 4]","Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023
Women","Oct 2021 to Mar 2022
All [note 6]","Apr 2022 to Mar 2023
All [note 7]","Apr 2023 to Mar 2024
All [note 4]","Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023
All ",unknown
"Any domestic abuse (partner or family non-physical abuse, threats, force, sexual assault or stalking)",2.99572229702569,3.19462307263279,3.00824127045124,[ns],6.89748926964313,5.65401294274821,6.57907502428663,[ns],4.9825902219519,4.43919306059337,4.79115251243909,[ns],unknown
"Any partner abuse (non-physical abuse, threats, force, sexual assault or stalking)",2.08716746213177,2.05500405677558,1.89378477455112,[ns],4.77098293986572,3.95606123086351,4.60347666835374,[ns],3.45117102950702,3.01611193328351,3.24632576267326,[ns],unknown
"Any family abuse (non-physical abuse, threats, force, sexual assault or stalking)",1.15803965971181,1.45192990681893,1.32702964070438,[ns],2.93804278605837,2.18287887982635,2.47989134251583,[ns],2.06822678065855,1.82225355408827,1.90203554196978,[ns],unknown
Partner abuse - non-sexual,1.73579310292822,1.82720785925107,1.70282080316628,[ns],3.97167855210409,3.39672292706443,4.02627910806135,[ns],2.87791658684808,2.62155413469522,2.8677415298345,[ns],unknown
"Non-physical abuse (emotional, financial)",1.32906721823597,1.2946670772198,1.43118598540719,[ns],3.25098519637644,2.59332143539708,3.19800073411801,[ns],2.31056402472973,1.95326548446398,2.31780317123726,[ns],unknown
Threats or force,0.707450995996622,0.91356701562303,0.483646783299725,[s],1.78338257290435,1.62816907197024,1.64009993951616,[ns],1.2569443526902,1.27505380253564,1.0628216235747,[ns],unknown
Threats,0.470984275188703,0.449358026647947,0.18190704311884,[s],1.54877170354481,1.31695510947735,1.21850819443341,[ns],1.01938166446579,0.887816451148855,0.700502509721889,[ns],unknown
Force,0.324256426592678,0.647042233193514,0.374675574797502,[ns],0.85295428146607,0.723892766572387,0.894329858602924,[ns],0.593973867249768,0.685874564586234,0.634356315817235,[ns],unknown
Family abuse - non-sexual,0.920708270968199,1.33557325356424,1.21184660261901,[ns],2.73418709889753,1.90067126962969,2.1073389498809,[ns],1.85006624216692,1.62242852181094,1.66136406714,[ns],unknown
"Non-physical abuse (emotional, financial)",0.664048855103013,0.870864753921238,0.688870272595389,[ns],2.33563621934402,1.50575229765009,1.60649889060868,[ns],1.51929400421084,1.19329206245857,1.14952281225231,[ns],unknown
Threats or force,0.510516555509471,0.622747540326474,0.658343919224359,[ns],1.2464642520715,0.821643276544397,0.865499820579408,[ns],0.888009620509276,0.723682228595617,0.762356322716923,[ns],unknown
Threats,0.398474454458466,0.524281009650452,0.456227460715055,[ns],1.0641399587019,0.662230324702661,0.699250194283206,[ns],0.740083866447524,0.594299833441505,0.578121515469374,[ns],unknown
Force,0.379233792459613,0.227256526663091,0.249815720238408,[ns],0.772081480066,0.458334488386331,0.267367968384977,[ns],0.580772039874394,0.344452032873549,0.258609637571769,[ns],unknown
Any sexual assault (including attempts),1.17939443260537,0.904750591718848,0.784165308385663,[ns],3.29575322657301,3.16798416247244,3.44674546532747,[ns],2.26160984236094,2.05201532187569,2.11552383091544,[ns],unknown
Sexual assault by rape or penetration including attempts,[c],0.0973688870164427,0.0632700759467693,[ns],1.0979900101657,0.814759000829138,0.614157569578937,[ns],0.562000021227333,0.461012651503952,0.338846178156879,[ns],unknown
Sexual assault by rape or penetration excluding attempts,[c],0.0505829489814292,[c],[z],0.592029882399939,0.432469034069652,0.503411184108717,[ns],0.30252393173476,0.244125213291343,0.262869159595515,[ns],unknown
- Rape including attempts,[c],0.0946432095778829,[c],[z],0.616351912941899,0.479366128414027,0.438461388669106,[ns],0.315371307351074,0.289596568170927,0.235197504072391,[ns],unknown
- Rape excluding attempts,[c],0.0277323267804758,[c],[z],0.4024747124585,0.334308825451475,0.349823405969802,[ns],0.205607193223677,0.182906304171917,0.182415287570154,[ns],unknown
- Assault by penetration including attempts,[c],0.0505722308424799,[c],[z],0.769597104349513,0.610741198086161,0.534114089175502,[ns],0.393706664410757,0.33411478921729,0.282672911229229,[ns],unknown
- Assault by penetration excluding attempts,[c],0.0507296137427318,[c],[z],0.288173557194605,0.241786264955372,0.422347823943092,[ns],0.147231904139705,0.147326692668263,0.214440258720295,[ns],unknown
Indecent exposure or unwanted sexual touching,1.17414691272655,0.8499452807519,0.738029856628341,[ns],2.671514379779,2.88546820955899,3.09911976733288,[ns],1.94232326137795,1.88384189267844,1.92132933189698,[ns],unknown
- Indecent exposure,[c],0.219431722209066,0.312564953395757,[ns],0.773344605919071,0.848802124769729,1.06468296415104,[ns],0.41645217301278,0.538239769499666,0.687810315938917,[ns],unknown
- Unwanted sexual touching,1.1810870439443,0.70594644746892,0.504882934495156,[ns],2.2543542307521,2.30115148151496,2.511463078346,[ns],1.72897665006568,1.51296475672958,1.50641858861997,[ns],unknown
Any sexual assault (including attempts) by a partner,[c],0.109195728204425,0.0392188281613526,[ns],0.743370641871579,0.40153898514772,0.418295155251427,[ns],0.42838411143599,0.25685825883771,0.228666582615433,[ns],unknown
Sexual assault by rape or penetration (including attempts) by a partner,[c],0.0523606209934052,[c],[z],0.278472472730673,0.229941333030521,0.184257136288353,[ns],0.141739303028072,0.142105428416107,0.0957286832290763,[ns],unknown
Indecent exposure or unwanted sexual touching by a partner,[c],0.0565007107417723,0.0389682665086183,[ns],0.6113323590432,0.314798258821452,0.325697773507203,[ns],0.361928303854625,0.187299534805715,0.182581949140329,[ns],unknown
- Indecent exposure by a partner,[c],[c],[c],[c],[c],[c],0.13909643997941,[z],[c],[c],0.069405150129524,[z],unknown
- Unwanted sexual touching by a partner,[c],0.0569125457987775,0.0393948890767804,[ns],0.613038356905154,0.313297483762615,0.216401190420619,[ns],0.363262833852145,0.186619644141805,0.127760012489684,[ns],unknown
Any sexual assault (including attempts) by a family member,[c],[c],[c],[c],[c],0.0509243516679218,0.13677290882344,[ns],[c],0.0317478732007876,0.0761780378148447,[ns],unknown
Sexual assault by rape or penetration (including attempts) by a family member,[c],[c],[c],[c],[c],[c],[c],[c],[c],0.0159238699616377,0.0191338550905318,[ns],unknown
Indecent exposure or unwanted sexual touching by a family member,[c],[c],[c],[c],[c],0.0383917030636713,0.11268949876271,[ns],[c],0.0195124548912405,0.0564451834481213,[ns],unknown
- Indecent exposure by a family member,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],unknown
- Unwanted sexual touching by a family member,[c],[c],[c],[c],[c],0.0285415604389073,0.113386600830563,[ns],[c],0.0144387578066427,0.0565941628495795,[ns],unknown
Stalking,2.52963567666976,2.40111133904604,2.28480118493711,[ns],4.85330232510102,4.41488699538957,4.04663001188842,[ns],3.7230104367274,3.42398762211794,3.16621609751077,[ns],unknown
Stalking by a partner,0.570616812323116,0.343175256251312,0.374737444740548,[ns],0.837379358480229,0.599482229880559,0.929266681459614,[ns],0.706838388554199,0.472954538924901,0.652182623302288,[ns],unknown
Stalking by a family member,0.415303185569863,0.143517657995308,0.176055789557266,[ns],0.341431069120487,0.41750933749796,0.410767572284686,[ns],0.377338661084075,0.282780408441036,0.293419867021897,[ns],unknown
Unweighted base - number of people aged 16 and over [note 5],2311,7905,5442,[z],2627,8781,5952,[z],4938,16686,11394,[z],unknown
