"table s5: perceptions of the local police, by personal characteristics of people 16 years and over saying they 'strongly agree' or 'tend to agree', year ending march 2024",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,age_band
England and Wales,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,unknown
Link to Notes ,,,,,,,,,,unknown
Some shorthand is used in this table. [u] denotes that data are not reported because the unweighted base is fewer than 50.,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,unknown
Personal characteristic [note 1],Personal characteristics breakdown,"
Police can be relied on when needed
(%)","
Police would treat you with respect
(%)","
Police would treat you fairly
(%)","Police understand local concerns
(%)","
Police deal with local concerns
(%)","Police in this area can be trusted
(%)","Overall confidence in local police
(%)",Unweighted base - number of people aged 16 and over [note 2],unknown
All people,All people,50.325863259468434,79.15076835521351,57.487291358673176,56.58755792117187,44.588203643277005,68.68312215141025,65.17795554184538,30462,unknown
All people,16-24,61.76424041276296,75.48137291171663,57.21274192812009,56.72281107336931,49.438468450732174,69.10895122327645,65.87627995103885,1677,unknown
All people,25-34,56.88464874746236,79.38017863169065,58.46658591916179,55.83220359217977,45.365228535194795,68.7059296547653,66.39917579196201,4191,unknown
All people,35-44,53.348022588425295,79.52970671401928,59.60711097714102,57.27041126150476,45.6309188706268,69.22088911233705,65.866606878756,5076,unknown
All people,45-54,47.84278128284135,78.47967128939315,57.793811740677675,56.03049057436738,43.34270448644449,68.36368164780723,64.209129288297,4459,unknown
All people,55-64,42.55802835193127,78.28618673141693,55.08207143803074,55.951112840500876,40.142602383107516,65.29867232625371,61.63367253200782,5213,unknown
All people,65-74,41.00989452562825,80.17133885308823,54.40760480739894,56.15538297587868,41.94178538041598,68.49328556219274,64.18604034062253,5103,unknown
All people,75+,48.54505566895259,83.39313934603378,59.661473519557646,58.786119887483835,47.68188245984205,72.97590430357234,69.20259203739373,4743,unknown
Men,Men,50.37007310071141,78.8668085356845,59.76448245933551,55.95406297211426,44.26047949033077,69.86443909372696,65.9762841674528,14316,unknown
Men,16-24,64.12789096642874,78.12167477447922,62.877638409520756,57.86233871172023,49.99944987444947,73.03696321516972,69.21067711533426,844,unknown
Men,25-34,56.327470674030074,78.78005433670268,60.119149069398006,53.870236371656055,43.353433944076805,68.87840668060733,67.53873741261329,1883,unknown
Men,35-44,53.22940011291466,78.27248189219348,60.12361608325608,54.890855174104836,45.302883970042565,69.62953514262826,64.91192830877345,2278,unknown
Men,45-54,48.3620669583608,78.99645227329277,60.853421196510205,55.81953460042955,43.63012619191603,70.35953773534116,65.8067491115,2080,unknown
Men,55-64,42.395064800743285,77.99895185544428,58.344754772830925,56.24224556706311,41.52591680955591,67.9578042835271,64.26433154926488,2517,unknown
Men,65-74,39.997034633412476,79.14514771251503,56.03563036676969,56.02158709629105,40.95447980761298,68.93072678436495,63.07923964721613,2531,unknown
Men,75+,46.41568532999341,81.72383466537516,59.496811895058556,58.434050485820954,45.980121997964176,71.19946907258549,67.38781482168653,2183,unknown
Women,Women,50.2830341995167,79.42523571760583,55.26702863482842,57.20391640808338,44.908336977268554,67.53487099328802,64.40386837759917,16146,unknown
Women,16-24,59.2713893354672,72.68623477966985,51.22212851371562,55.526128665204034,48.83764807361695,64.98320448146039,62.347838239762524,833,unknown
Women,25-34,57.45680219068291,79.99594677588527,56.763309468278926,57.86137275879348,47.443448646211515,68.52714849026327,65.2289572868942,2308,unknown
Women,35-44,53.464151165988845,80.76295578195452,59.09871224971491,59.615459850271655,45.9537229465979,68.81474015238436,66.80577097874139,2798,unknown
Women,45-54,47.33725818082143,77.97862761681286,54.796515562465,56.2381094704272,43.05945039968092,66.41329306831041,62.65470862851685,2379,unknown
Women,55-64,42.71553821443354,78.56057970199674,51.898686504472614,55.670690404621624,38.81358049211283,62.73695953815577,59.095221741106926,2696,unknown
Women,65-74,41.9548663082658,81.12789657440874,52.889058357418584,56.2800638372635,42.87177566339016,68.08578059955252,65.22077322138931,2572,unknown
Women,75+,50.302443325713845,84.7711356079961,59.79952837165697,59.08029456832641,49.11672356316549,74.44027309203844,70.70026809212,2560,unknown
Ethnic group,White ,48.74632385250536,80.19358425022628,57.10241203515088,56.78221190347215,43.60323358721277,69.63097045695187,65.4290984752276,25846,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,47.5218429617992,80.18428969058152,56.48895116053238,56.523735308852025,42.79595748273269,69.37686515111699,65.12205042435595,23582,unknown
Ethnic group,   Irish,51.19324817845825,79.88004862879082,49.84629136256138,53.130756695686884,41.858935501108725,67.33216568700747,58.43013273579499,222,unknown
Ethnic group,   Gypsy or Irish Traveller,[u],[u],[u],[u],[u],[u],[u],12,unknown
Ethnic group,   Any other White background,60.80596524838699,80.26040848162434,63.883071078190234,59.95075787190084,51.97558216923905,72.55607581061723,69.37868039231549,2030,unknown
Ethnic group,Mixed/Multiple,48.86531677597346,73.46648376780522,50.2090431334216,53.04545829702587,40.36408942466782,57.100178261045215,56.968789809837936,399,unknown
Ethnic group,   White and Black Caribbean,48.343731047770106,72.82937141185008,43.47365711299483,44.53325472935722,34.302536516860556,42.65524100183957,51.37189564379498,113,unknown
Ethnic group,   White and Black African,56.41381434438478,86.43975768144362,72.26865379193946,78.69311295734778,59.85175977690202,75.46450927410586,59.3163922513353,64,unknown
Ethnic group,   White and Asian,48.11930128573293,75.07504071860927,51.22678628328489,51.99178172934782,43.30752914437317,66.5874478203038,66.01982296149878,108,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,45.54776194488437,63.65922284813563,41.479320648787166,46.646142890158906,30.23677400450719,46.75626744179499,48.77601513494984,114,unknown
Ethnic group,Asian/Asian British,59.324470766770034,78.07908788802101,65.47497922995875,58.454049613318695,51.8556956944752,69.41916212348933,67.39241495912394,2447,unknown
Ethnic group,   Indian,60.43974270978465,81.08936106850676,70.78921844861199,59.57520450187471,54.660834612263756,69.86997143944241,68.23289011215076,1001,unknown
Ethnic group,   Pakistani,54.04872844637077,73.97310713032893,59.5439675646475,55.005758223634466,44.00073214768201,63.93040440474416,61.57460533849043,526,unknown
Ethnic group,   Bangladeshi,68.3599344761892,82.30636517353454,63.069566149329575,60.18522808059416,48.65346741406047,69.21308826104641,69.23030437720887,204,unknown
Ethnic group,   Chinese,56.45531904462875,74.59468762670525,59.81248774337501,58.659846558705006,49.65836536277879,70.86728501187066,69.69208561715581,278,unknown
Ethnic group,   Any other Asian background,60.41014445651866,76.57187844046153,65.98566613008374,59.352012119379445,58.332090310127136,74.30575378596002,70.45395148161198,438,unknown
Ethnic group,Black/African/Caribbean/Black British,56.596668334641535,67.14993308929962,48.24892773490219,52.73171175881026,46.804879886662924,55.365390750138175,57.91841883727045,1270,unknown
Ethnic group,   African,62.19991556331048,71.52652542120592,53.88755025319058,56.76208044797104,52.465412658744285,61.412236727923734,63.037673310494355,868,unknown
Ethnic group,   Caribbean,37.868210851056915,52.14882410074273,31.040226379708766,40.65072113591472,27.69440500003658,36.81103759885416,42.20523024347281,334,unknown
Ethnic group,   Any other Black/African/Caribbean background,59.08505054190235,70.52522379165998,45.21764810195934,48.85284595521471,49.16756739753455,51.856105917371956,55.243060244301965,68,unknown
Ethnic group,Other ethnic group,58.716955547759945,68.87786270193801,56.17625854640264,49.85537541879553,46.32247353313384,60.168802719253755,64.37245441787402,423,unknown
Ethnic group,   Arab,65.8024385058239,70.8975364794204,54.51376620685008,48.34685540582395,44.19358198726868,56.2496627998737,62.849860279474626,136,unknown
Ethnic group,   Any other ethnic group,54.72600115117135,67.74156178285003,57.10906892492365,50.73095406103184,47.55923214700223,62.42261193461844,65.24716535703294,287,unknown
Country of birth,Born in the UK,47.283008444844135,79.01242340905893,55.5850948273366,55.675128682534,42.2162839876721,67.9066428684167,63.75470959987807,24614,unknown
Country of birth,Not born in the UK,61.624991493835445,79.70103589510322,64.60366728643928,60.029769563862814,53.51041921840019,71.52952109039353,70.54043013269182,5759,unknown
Marital status,Married/civil partnered,48.33795070643236,80.81895700196223,59.260840614264644,58.102991415082684,44.60416460519796,70.76409824617618,66.67969560346492,13252,unknown
Marital status,Cohabiting,49.549058231196085,81.0190415218063,55.34390419459526,53.37723289218406,41.541632934722934,67.0354145092296,63.574092854701725,2754,unknown
Marital status,Single,55.07603505935333,74.50278185853176,55.12860454373555,54.52838169997799,44.97132605400511,65.5418329960709,62.52052331027081,7902,unknown
Marital status,Separated,48.249328975337264,80.0658847132381,58.05770291047347,59.741493596066135,48.27176035413259,67.41869632848805,65.88626308504169,728,unknown
Marital status,Divorced/legally dissolved partnership,45.3113836094254,77.45339763299833,54.01171492572396,53.91720336096407,41.660449129861966,64.28104864874858,62.05940799451531,2633,unknown
Marital status,Widowed,52.18576692642137,85.51768016197435,61.930706586161705,62.421845329155815,51.153712610550905,74.04091300509637,71.5659503411057,2956,unknown
Respondent's employment status,In employment,51.38549430272747,79.4745313478358,57.80645386605241,56.46204025477951,44.06371708452332,68.75284197498966,65.40102024764487,16918,unknown
Respondent's employment status,Unemployed,62.85965839815758,76.4572433931652,65.69769972615856,57.22579800092639,47.82377016395021,72.57329523676002,68.8119149626034,368,unknown
Respondent's employment status,Economically inactive,47.910407296772036,78.74785580397315,56.566496098302316,56.83856291038683,45.39569001086879,68.45457594197849,64.65189112631445,13109,unknown
Respondent's employment status,Economically inactive: Student,61.87792859309546,75.61486944221939,59.04831150544992,59.35997381894479,50.883958089245695,70.61552510536923,67.48698768098427,597,unknown
Respondent's employment status,Economically inactive: Looking after family/home,53.175798138876225,77.61395095532495,57.738713891051816,57.267888283867364,49.36380453571673,67.26574663633461,65.75862070685511,1092,unknown
Respondent's employment status,Economically inactive: Long-term/temporarily sick/ill,42.40991766716374,68.34681998423106,49.17456171709125,50.06565390278202,38.26347964025986,54.63757964454103,50.567384734409046,1684,unknown
Respondent's employment status,Economically inactive: Retired,45.085663866879635,82.02834076500773,56.96667589706695,57.437212760997376,44.7481269124714,71.04177974786967,66.9158838560379,9231,unknown
Respondent's employment status,Economically inactive: Other inactive,54.791887687214704,69.80223370748693,60.93386417274923,58.41357064158248,50.030713236827225,64.87938953814081,59.56039913151306,505,unknown
Respondent's occupation,Managerial and professional occupations,47.53129477858511,80.7553908539055,55.11237521758487,56.26230526371865,42.09436965719995,69.71790520473645,66.55886820984297,11510,unknown
Respondent's occupation,Intermediate occupations,48.53680219192446,79.63109854014908,57.61938696485973,56.70532556671426,45.01387049342469,67.50930709893684,63.87391650145464,6652,unknown
Respondent's occupation,Routine and manual occupations,51.321207745415705,78.7811885490114,60.26916327842648,56.34244324517235,45.23283175529044,68.49888219249331,64.1338575560413,9481,unknown
Respondent's occupation,Never worked and long-term unemployed,59.81957275877055,72.57272285805495,61.599954246422485,57.7794783234304,51.763738761917594,65.71264652048653,65.43361467720726,1270,unknown
Respondent's occupation,Full-time students,63.164017840927016,76.23270360283557,58.33441509857867,60.200849007964244,52.28241994888081,71.03761008845214,67.58804772413127,940,unknown
Respondent's occupation,Not classified,48.55062416455631,69.30511199445046,51.092032834564236,50.598787036566044,39.65087562691644,60.82325549581649,57.90389567772557,603,unknown
Highest qualification,Degree or diploma,49.77096298005274,80.46077467158725,55.25669415181959,57.12822594588144,43.57651486767391,70.05400221306651,66.40262623368366,13697,unknown
Highest qualification,Apprenticeship or A/AS level,51.92590243765557,79.46096198277428,59.00814566070172,56.38020381060813,44.81300673016618,69.62960573574748,65.62807295248386,4750,unknown
Highest qualification,O level/GCSE,46.659758886018665,78.16779406178097,58.66354531886844,55.28531704031934,42.36785669792122,66.18251541594834,62.99105860288661,4849,unknown
Highest qualification,Other,54.98730578652843,81.9447565031017,64.62380424020309,60.48973165686802,51.89863190885774,70.3472541290232,65.89315189863841,1391,unknown
Highest qualification,,52.70365475635429,74.85975296821071,59.727524917134154,55.79716997906773,48.097897468299585,65.85461661545108,62.864360554844204,5518,unknown
Disability [note 3],Disabled,44.81976719259618,77.26709601384577,52.12722559729172,52.608324509844316,39.38783517190959,63.76146780744505,58.9752316620442,6977,unknown
Disability [note 3],Not disabled,51.60941707062448,79.63560396122394,58.74762011372055,57.55043489225932,45.81212667154508,69.85642308683481,66.6446242110924,23348,unknown
Religion,No religion,48.181355816158636,78.16955779086786,53.487657099825896,53.821225314547625,40.980938718185804,66.8062460447293,62.531628433563014,12244,unknown
Religion,Christian,50.68755853593553,80.86047601126579,60.11572073718507,59.34473641448742,46.72274355375957,71.02604157790927,67.59652788569211,15460,unknown
Religion,Buddhist,61.479851551536825,83.84364378755544,72.63214401279498,62.48951829437659,53.804209360354506,70.54715509713255,72.48700834421307,158,unknown
Religion,Hindu,60.883463952549405,79.07905929466592,69.2609860057787,59.539453688696085,55.95062705669613,69.91117499127921,65.90962446436765,570,unknown
Religion,Jewish,42.446536881437254,71.9466912390351,46.60708370141381,53.75903645847115,43.32021428037161,63.48962817916744,62.844538385450285,115,unknown
Religion,Muslim,57.41876071619009,74.44530861286736,59.58640026725121,54.77093337262922,48.02105448026343,64.84502831872342,64.86108861722768,1383,unknown
Religion,Sikh,55.892942636176166,81.76856849484983,68.84046031203137,56.44082121903632,52.8846276623169,69.57280574424222,72.51116116845036,174,unknown
Religion,Other,46.73251514937793,67.61971784045403,52.33554057274575,53.58609555169413,44.73488099517435,54.373671267836194,58.38984267677257,196,unknown
Sexual orientation [note 4],Heterosexual or straight,50.16884250517723,80.22163576129292,58.240074061430626,57.308664928049126,44.923534493990516,69.60350704905895,66.1828249490192,24700,unknown
Sexual orientation [note 4],Gay or lesbian,47.93736900087364,77.83417242869568,49.63295707201054,51.31761205469716,42.81906747114601,64.49341536967282,63.646927035970194,453,unknown
Sexual orientation [note 4],Bisexual,52.93858107307169,71.22059582860554,40.2444433835466,51.09473506842064,39.461028669798395,63.27019284711107,59.09356092625109,574,unknown
Sexual orientation [note 4],Other,50.77995770320492,73.34631675550335,50.985689586224986,57.841449544669636,44.79559795406197,63.18807992588755,58.726680931490385,169,unknown
