"table s7: trends in public confidence in the police and local council, year ending march 2008 to year ending march 2024 [note 1]",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,age_band
England and Wales,,,,,,,,,,,,,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,,,,,,,,,,,,,unknown
Link to Notes,,,,,,,,,,,,,,,,,,unknown
Some shorthand is used in this table. [s] denotes the change is significant at the 5% level. ,,,,,,,,,,,,,,,,,,unknown
Link to Table of contents,,,,,,,,,,,,,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,,,,,,,,,,,,,unknown
Percentage saying police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area,"Apr 2007 to
 Mar 2008
 [note 2]","Apr 2008 to
 Mar 2009","Apr 2009 to
 Mar 2010","Apr 2010 to
 Mar 2011","Apr 2011 to
 Mar 2012
 [note 3]","Apr 2012 to
 Mar 2013
[note 3]","Apr 2013 to
 Mar 2014
 [note 3]","Apr 2014 to
 Mar 2015
 [note 3]","Apr 2015 to
 Mar 2016
 [note 3] ","Apr 2016 to
 Mar 2017
[note 3]","Apr 2017 to
 Mar 2018
[note 3]","Apr 2018 to
 Mar 2019
 [note 4]","Apr 2019 to
 Mar 2020
 [note 4]","Apr 2022 to Mar 2023 [note 4,5]",Apr 2023 to Mar 2024,"Apr 2023 to Mar 2024 compared with Apr 2013 to Mar 2014 
 [note 4,5]","Apr 2023 to Mar 2024 compared with Apr 2022 to Mar 2023 
[note 5]",unknown
Agree,44.943229857570785,48.644435171440996,51.36869329717093,52.3315116473245,61.43728471611472,59.72620755619321,61.42624697759532,62.11129487761684,62.36423190866098,61.240159233288715,58.765410526687724,55.03870331601978,52.36780039721947,49.82607722415352,47.05985867778188,[s],[s],unknown
Disagree,25.1008489592332,22.416188500722313,19.599766659731387,17.976020107324256,15.777152307891706,15.862625538020087,14.749292284393839,13.96785654366619,13.726765535898606,14.733636748732332,16.62790049479891,19.350872644088785,19.829940417080437,20.41602459105551,21.525736436433927,[s],[s],unknown
No opinion,29.955921183196004,28.93937632783601,29.031540043096882,29.69246824535093,22.78556297599344,24.411166905786704,23.824460738010657,23.92084857871681,23.909002555440388,24.026204017979023,24.606688978513418,25.61042403989169,27.802259185700102,29.75789818479066,31.414404885783277,[s],[s],unknown
Unweighted base - number of people aged 16 and over,19720,45041,43372,45393,44378,33456,33761,31914,33336,33679,33193,32566,32224,30043,29609,,,unknown
