"table s8: public confidence in the police and local council, by personal characteristics, people aged 16 and over, year ending march 2024",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,age_band
England and Wales,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet. The units in this table are percentages.,,,,,,unknown
Link to Notes page,,,,,,unknown
Some shorthand is used in this table. [c] indicates that data have been suppressed because of disclosure constraints.,,,,,,unknown
Link to Table of contents,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,unknown
Personal characteristic [note 1],Personal characteristics breakdown,"Agree that police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area.  
(%)","Disagree that police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area 
(%)","No opinion 
(%)",Unweighted base - number of people aged 16 and over,unknown
All people,All people,47.05985867778188,21.52573643643393,31.414404885783274,29609,unknown
All people,16-24,48.912336361740024,18.863307765043594,32.224355873216275,1635,unknown
All people,25-34,48.64177604659613,19.693986580826973,31.66423737257674,4069,unknown
All people,35-44,48.036662870642935,21.52820507320188,30.435132056155496,4940,unknown
All people,45-54,46.22578093526247,24.197254651303307,29.576964413434332,4346,unknown
All people,55-64,43.532841684090656,25.80055168299776,30.666606632911694,5082,unknown
All people,65-74,45.02266479767039,22.524889395689655,32.452445806640064,4988,unknown
All people,75+,49.817121701385354,16.00845822412802,34.17442007448626,4549,unknown
Men,All Men,47.46993246421843,21.136827557854108,31.393239977926765,13949,unknown
Men,16-24,52.57536013498241,17.608145755462264,29.816494109555272,826,unknown
Men,25-34,47.59337888321202,18.451228002439464,33.955393114348475,1824,unknown
Men,35-44,47.445051198547,21.200524861574053,31.354423939879005,2217,unknown
Men,45-54,47.22089729175647,23.36667581928073,29.412426888963072,2036,unknown
Men,55-64,44.03297163917727,24.8659682996218,31.101060061201036,2455,unknown
Men,65-74,45.32917230481978,24.041605884097333,30.62922181108246,2475,unknown
Men,75+,49.118850729279664,17.189490447041727,33.691658823678665,2116,unknown
Women,All Women,46.660398382185875,21.904579612311483,31.43502200550313,15660,unknown
Women,16-24,44.984419650334836,20.209237286159304,34.806343063505786,809,unknown
Women,25-34,49.71499757425241,20.966171690236905,29.318830735510726,2245,unknown
Women,35-44,48.61655551643435,21.84939438344854,29.534050100117007,2723,unknown
Women,45-54,45.24822977985468,25.01317260059883,29.738597619546542,2310,unknown
Women,55-64,43.05229894354363,26.69853280920228,30.24916824725407,2627,unknown
Women,65-74,44.73529934699852,21.102895131060546,34.16180552194107,2513,unknown
Women,75+,50.40764703633841,15.009663376731162,34.58268958693027,2433,unknown
Ethnic group,White ,46.067171340643746,22.69851831667114,31.234310342684445,25138,unknown
Ethnic group,   English/Welsh/Scottish/Northern Irish/British,45.59077204330518,23.412323693407913,30.996904263286417,22949,unknown
Ethnic group,   Irish,43.75096071114228,25.18252521843188,31.066514070425765,215,unknown
Ethnic group,   Gypsy or Irish Traveller,[c],[c],[c],12,unknown
Ethnic group,   Any other White background,51.02312031355625,15.24039419054616,33.736485495897874,1962,unknown
Ethnic group,Mixed/Multiple,46.49695132267461,22.070449702255157,31.432598975070213,388,unknown
Ethnic group,   White and Black Caribbean,41.45387230958585,26.504199395177757,32.04192829523637,110,unknown
Ethnic group,   White and Black African,72.32202821390047,13.056260246919441,14.621711539180064,63,unknown
Ethnic group,   White and Asian,44.09109900761928,19.533911080106094,36.3749899122746,105,unknown
Ethnic group,   Any other Mixed/Multiple ethnic background,37.84835264436336,27.032361016373546,35.11928633926309,110,unknown
Ethnic group,Asian/Asian British,52.89282518193745,15.424270875155665,31.682903942906407,2365,unknown
Ethnic group,   Indian,57.29977106155288,14.581663260271814,28.11856567817535,968,unknown
Ethnic group,   Pakistani,46.52481446944759,19.0367502955631,34.43843523498933,510,unknown
Ethnic group,   Bangladeshi,49.70838615434915,21.757389536883025,28.534224308767822,201,unknown
Ethnic group,   Chinese,49.50120433887996,10.428523853851623,40.07027180726847,263,unknown
Ethnic group,   Any other Asian background,55.12011881456196,12.207261985036439,32.67261920040156,423,unknown
Ethnic group,Black/African/Caribbean/Black British,52.23861354806775,15.002440718680376,32.7589457332516,1240,unknown
Ethnic group,   African,55.68837990223166,10.802435072500137,33.509185025268,845,unknown
Ethnic group,   Caribbean,41.81704029656488,25.479468057245995,32.703491646189036,328,unknown
Ethnic group,   Any other Black/African/Caribbean background,50.328588034721285,25.742160840901853,23.929251124376865,67,unknown
Ethnic group,Other ethnic group,48.09207771747147,16.475308056067632,35.432614226461006,404,unknown
Ethnic group,   Arab,44.77236478943105,13.949824043749024,41.277811166819866,131,unknown
Ethnic group,   Any other ethnic group,50.0017788174753,17.928120302460936,32.07010088006366,273,unknown
Country of birth,Born in the UK,45.27703027709186,23.529607231294303,31.1933624916134,23974,unknown
Country of birth,Not born in the UK,53.59194160537893,14.090220783549572,32.3178376110719,5555,unknown
Marital status,Married/civil partnered,47.48118591748321,21.415449881000693,31.103364201515955,12921,unknown
Marital status,Cohabiting,45.047180817693054,24.593162683116482,30.359656499190585,2669,unknown
Marital status,Single,47.14823385999786,20.949729854796924,31.90203628520574,7691,unknown
Marital status,Separated,47.81111940769128,23.012327465044603,29.17655312726411,709,unknown
Marital status,Divorced/legally dissolved partnership,43.06998958141601,24.302865409005644,32.62714500957813,2563,unknown
Marital status,Widowed,50.85192057135238,16.618891118665065,32.529188309982764,2833,unknown
Respondent's employment status,In employment,46.74512670813181,22.17259226484561,31.082281027022013,16482,unknown
Respondent's employment status,Unemployed,49.15245011439873,24.502348282171877,26.34520160342946,360,unknown
Respondent's employment status,Economically inactive,47.53779714086137,20.271603082326617,32.19059977681258,12700,unknown
Respondent's employment status,Economically inactive: Student,53.826259292963414,12.13440375262341,34.03933695441317,581,unknown
Respondent's employment status,Economically inactive: Looking after family/home,51.04986129000736,19.875873725769615,29.07426498422302,1059,unknown
Respondent's employment status,Economically inactive: Long-term/temporarily sick/ill,38.50703355163863,31.94121706421782,29.551749384143445,1632,unknown
Respondent's employment status,Economically inactive: Retired,47.37396744504444,19.79267283304475,32.83335972191094,8940,unknown
Respondent's employment status,Economically inactive: Other inactive,49.38287817820755,18.085466504913676,32.5316553168788,488,unknown
Respondent's occupation,Managerial and professional occupations,46.16918485464569,22.145796454278283,31.685018691076262,11245,unknown
Respondent's occupation,Intermediate occupations,46.239010619781354,21.545768570526814,32.21522080969226,6451,unknown
Respondent's occupation,Routine and manual occupations,46.568728261731195,22.741918206539033,30.68935353173031,9178,unknown
Respondent's occupation,Never worked and long-term unemployed,51.713112392441325,17.68498914363478,30.60189846392395,1236,unknown
Respondent's occupation,Full-time students,54.18617706870338,15.659940801734802,30.153882129561794,906,unknown
Respondent's occupation,Not classified,47.60434263404921,18.255528851982586,34.14012851396828,587,unknown
Highest qualification,Degree or diploma,47.313688930980504,21.257050920856717,31.42926014816243,13363,unknown
Highest qualification,Apprenticeship or A/AS level,46.46245765827552,23.466424806330778,30.07111753539369,4617,unknown
Highest qualification,O level/GCSE,44.65389967612675,24.879760513738265,30.466339810135043,4709,unknown
Highest qualification,Other,51.08613645479536,19.549745411374975,29.36411813382953,1338,unknown
Highest qualification,,48.05307468189609,17.294729743009455,34.65219557509408,5351,unknown
Disability [note 2],Disabled,40.64508384170128,28.176097936304714,31.178818221994106,6766,unknown
Disability [note 2],Not disabled,48.54148047046826,20.010050005568505,31.44846952396215,22721,unknown
Religion,No religion,44.18909283515509,23.719948423157792,32.09095874168753,11925,unknown
Religion,Christian,48.7537528971676,20.575010516009307,30.671236586823206,15018,unknown
Religion,Buddhist,50.88368293916652,12.749856915262175,36.36646014557132,150,unknown
Religion,Hindu,55.23806797806736,13.055963648948243,31.70596837298426,556,unknown
Religion,Jewish,48.31816346309242,21.457729421680693,30.224107115226943,111,unknown
Religion,Muslim,49.06457195491238,17.841365627838695,33.09406241724893,1339,unknown
Religion,Sikh,57.69998272910847,13.14134655087745,29.158670720014037,166,unknown
Religion,Other,49.33794314810578,27.47043014362221,23.191626708271958,193,unknown
Sexual orientation [note 3],Heterosexual/straight,47.07464982745652,21.711367844864796,31.213982327677915,24084,unknown
Sexual orientation [note 3],Gay/Lesbian,46.980898559152486,23.8379282015785,29.18117323926891,440,unknown
Sexual orientation [note 3],Bisexual,41.54220660011701,29.553545511866332,28.904247888016627,567,unknown
Sexual orientation [note 3],Other,47.7566908546816,26.32043400210414,25.922875143214263,165,unknown
Gender identity [note 4],Gender identity the same as sex registered at birth,47.121209452181134,21.898192646791216,30.98059790102693,23592,unknown
Gender identity [note 4],Gender identity different from sex registered at birth,40.830535258649526,25.68564620528886,33.48381853606159,141,unknown
Overall level of perceived ASB [note 5],High,31.398173466722806,46.68943299455319,21.912393538724142,661,unknown
Overall level of perceived ASB [note 5],Not high,50.29565760093808,18.001194349189976,31.70314804987234,6841,unknown
Experience of crime in the last 12 months (including fraud and computer misuse),Victim,37.91570765294531,33.15731622035135,28.926976126703842,4667,unknown
Experience of crime in the last 12 months (including fraud and computer misuse),Not a victim,48.827952045063356,19.276679196336993,31.895368758598718,24942,unknown
Hours out of home on an average weekday,Less than 3 hours,47.04487229307013,21.016639794611407,31.938487912319022,12355,unknown
Hours out of home on an average weekday,3 hours or more but less than 7 hours,47.42595060833392,22.332712470505594,30.24133692116102,8162,unknown
Hours out of home on an average weekday,7 hours or longer,46.879358939938385,21.408785454090598,31.711855605970904,8976,unknown
Number of evening visits to pub/bar in the last month,,47.806679724077476,20.188243978574405,32.00507629734754,17271,unknown
Number of evening visits to pub/bar in the last month,Less than once a week ,45.992331553098225,22.308283337059784,31.699385109842016,8435,unknown
Number of evening visits to pub/bar in the last month,Once a week or more often,46.47002339574795,24.98027753228321,28.549699071968448,3871,unknown
Number of visits to a nightclub in the last month,,46.99721286959437,21.504481159802395,31.49830597060215,28427,unknown
Number of visits to a nightclub in the last month,1-3 times a month,47.9472255078234,21.50958311301583,30.543191379160806,1003,unknown
Number of visits to a nightclub in the last month,4+ times a month,48.24187506806737,24.257941461794548,27.50018347013804,152,unknown
