"table s9: public confidence in the police and local council, by household and area characteristics, year ending march 2024",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,age_band
England and Wales,,,,,,unknown
This worksheet contains one table. Some cells refer to notes which can be found on the Notes worksheet.,,,,,,unknown
Link to Notes page,,,,,,unknown
Link to Table of contents,,,,,,unknown
Source: Crime Survey for England and Wales from the Office for National Statistics,,,,,,unknown
Household or area characteristic [note 1],Household or area characteristic breakdown [note 1],"Agree that police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area 
(%)","Disagree that police and local council are dealing with the anti-social behaviour and crime issues that matter in the local area
(%)","No opinion 
(%)",Unweighted base - number of people aged 16 and over,unknown
All people,All people,47.05985867778188,21.52573643643393,31.414404885783274,29609,unknown
Structure of household,Single person with child(ren) under 16,42.8291795705028,25.554141809206513,31.616678620290514,1324,unknown
Structure of household,Persons with child(ren) under 16,49.040900043319176,21.494532265659583,29.464567691021387,5597,unknown
Structure of household,Person(s) and no child(ren),46.536758343755835,21.402243031620756,32.060998624623025,22688,unknown
Total household income,"Less than £10,400",51.0409199720185,21.74879405490258,27.210285973079095,1797,unknown
Total household income,"£10,400 to less than £20,800",47.14758783663568,21.876038310358613,30.976373853005747,4951,unknown
Total household income,"£20,800 to less than £31,200",47.654384681298325,21.027862406375558,31.317752912326213,4641,unknown
Total household income,"£31,200 to less than £41,600",45.90612199246685,21.627267298191956,32.46661070934103,3126,unknown
Total household income,"£41,600 to less than £52,000",47.45895730503234,20.467112952247593,32.07392974271998,2862,unknown
Total household income,"£52,000 or more",45.911223280501346,23.903059298086152,30.18571742141295,6017,unknown
Total household income,No income stated or not enough information provided,54.47983189792916,13.356573191128017,32.16359491094289,325,unknown
Tenure,Owner occupiers,45.94278432847955,22.433004745920922,31.62421092559925,18582,unknown
Tenure,Social renters,45.251894453341464,25.114239008045626,29.633866538613088,5119,unknown
Tenure,Private renters,51.20385927058685,17.049717161768307,31.746423567644904,5579,unknown
Accommodation type ,House or bungalow,46.96139280018905,21.88425182096597,31.154355378844212,24517,unknown
Accommodation type ,Detached,48.085419735743976,19.95044021712817,31.96414004712805,6650,unknown
Accommodation type ,Semi-detached,46.229825958574374,22.28745838204441,31.48271565938166,9242,unknown
Accommodation type ,Terraced,46.827385918824056,23.07660204583752,30.09601203533908,8625,unknown
Accommodation type ,Flats/maisonettes,47.68149038243631,19.42692990127924,32.89157971628447,4945,unknown
Accommodation type ,Other accommodation,40.53951366949129,20.875781216387832,38.58470511412088,58,unknown
Output Area Classification,Rural residents,45.63461355210485,17.659389250833687,36.70599719706131,3442,unknown
Output Area Classification,Cosmopolitans,48.75564093118449,20.17950296328839,31.064856105527053,1326,unknown
Output Area Classification,Ethnicity central,44.195063229511554,18.90848911143448,36.89644765905378,1828,unknown
Output Area Classification,Multicultural metropolitans,49.013814357643064,18.30454574670023,32.68163989565669,4083,unknown
Output Area Classification,Urbanites,48.47703498002154,21.099540529895645,30.423424490082695,5160,unknown
Output Area Classification,Suburbanites,48.10526504528344,21.016278675121804,30.87845627959497,5384,unknown
Output Area Classification,Constrained city dwellers,45.01581052221376,25.71452734125762,29.269662136528364,2501,unknown
Output Area Classification,Hard-pressed living,44.9790421673939,27.535929023018504,27.485028809587465,5885,unknown
Area type,Urban,47.21710484835946,22.135100827960883,30.64779432367904,23851,unknown
Area type,Rural,46.39759257089827,18.959305840584527,34.64310158851725,5758,unknown
Level of physical disorder,High,46.2996522438044,25.067896784247463,28.632450971948042,2002,unknown
Level of physical disorder,Not high,47.1077946495778,21.273569364546507,31.618635985874576,27549,unknown
English Indices of Deprivation (Employment),20% most deprived output areas,44.69755712117657,26.613432293948875,28.689010584874367,6859,unknown
English Indices of Deprivation (Employment),Other output areas,46.11910271086332,21.475233457383403,32.40566383175255,16047,unknown
English Indices of Deprivation (Employment),20% least deprived output areas,50.49368347895042,17.6073252039276,31.898991317121876,4722,unknown
Welsh Indices of Deprivation (Employment),20% most deprived Output Areas,50.966587041337284,23.555931035634778,25.477481923027895,428,unknown
Welsh Indices of Deprivation (Employment),Other Output Areas,53.45660174715264,18.691374985770217,27.852023267076877,1216,unknown
Welsh Indices of Deprivation (Employment),20% least deprived Output Areas,52.8325588600778,16.53916756089181,30.628273579030452,337,unknown
Region,North East,39.75722709222798,28.062775353872425,32.179997553899334,1630,unknown
Region,North West,46.798463469113834,22.508214158793454,30.693322372092968,3980,unknown
Region,Yorkshire and The Humber,42.921556215905966,28.69115133605463,28.38729244803984,2796,unknown
Region,East Midlands,43.061597890628555,20.198482549211292,36.73991956015998,2907,unknown
Region,West Midlands,53.77973060569391,20.27816086913091,25.94210852517499,3119,unknown
Region,East of England,51.39558659316999,19.5598614439158,29.044551962913857,3241,unknown
Region,London,47.31411577103179,17.742307422844046,34.94357680612428,3669,unknown
Region,South East,45.68301149223111,22.222362013210887,32.094626494558206,3509,unknown
Region,South West,45.15525009443352,21.476052410211842,33.36869749535474,2777,unknown
Region,Wales,52.926287814389646,19.034026817512498,28.03968536809757,1981,unknown
