table of contents,unnamed: 1,unnamed: 2,age_band
This worksheet contains tables presented vertically with one blank row between each table.,,,unknown
Table number,Table title,Useful links,unknown
Table S1,"Trends in ratings of the local police, people aged 16 and over, year ending March 2004 to year ending March 2024",Link to Table S1,unknown
Table S2,"Ratings of the local police, people aged 16 and over, by personal characteristics, year ending March 2024",Link to Table S2,unknown
Table S3,"Ratings of the local police, people aged 16 and over, by household and area characteristics, year ending March 2024",Link to Table S3,unknown
Table S4,"Trends in ratings and perceptions of the local police, people aged 16 years and over, year ending March 2006 to year ending March 2024",Link to Table S4,unknown
Table S5,"Perceptions of the local police, by personal characteristics of people 16 years and over saying they 'strongly agree' or 'tend to agree', year ending March 2024",Link to Table S5,unknown
Table S6,"Perceptions of the local police, by household and area characteristics of people 16 years and over saying they 'strongly agree' or 'tend to agree', year ending March 2024",Link to Table S6,unknown
Table S7,"Trends in public confidence in the police and local council, people 16 years and over, year ending March 2008 to year ending March 2024 ",Link to Table S7,unknown
Table S8,"Public confidence in the police and local council, by personal characteristics, people aged 16 and over, year ending March 2024",Link to Table S8,unknown
Table S9,"Public confidence in the police and local council, by household and area characteristics, year ending March 2024",Link to Table S9,unknown
Table S10,"Trends in visibility of police foot patrols, people aged 16 and over, year ending March 2007 to year ending March 2024 ",Link to Table S10,unknown
Table S11,"Visibility of police foot patrols, people aged 16 and over, by personal characteristics, year ending March 2024",Link to Table S11,unknown
Table S12,"Visibility of police foot patrols, people aged 16 and over, by household and area characteristics, year ending March 2024",Link to Table S12,unknown
Table S13,"Trends in victim satisfaction with the police, people aged 16 and over, year ending December 1992 to year ending March 2024",Link to Table S13,unknown
Table S14,"Incidents in which victims were satisfied with the police by crime type, people aged 16 and over, year ending March 2024",Link to Table S14,unknown
Table S15,"Incidents in which victims were satisfied with the police by personal characteristics, people aged 16 and over, year ending March 2024",Link to Table S15,unknown
Table S16,"Incidents in which victims were satisfied with the police by household and area characteristics, people aged 16 and over, year ending March 2024",Link to Table S16,unknown
Table S17," Victim satisfaction with the police by Criminal Justice System factors, people aged 16 and over, year ending March 2024",Link to Table S17,unknown
Worksheet S18,"Attitudes to local police, people aged 16 and over, by police force area, year ending March 2024",Link to Worksheet S18,unknown
Table S19,"Attitudes to local police working in partnership with local council, people aged 16 and over, by police force area, year ending March 2024",Link to Table S19,unknown
Table S20,"Use of the 101 non-emergency police number by percentages, people aged 16 and over, year ending March 2023 to year ending March 2024",Link to Table S20,unknown
