"table s1: trends in ratings of the local police, year ending march 2004 to year ending march 2019 csew1,2,3",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,age_band
England and Wales,,,,,,,,,,,,,,,,,,Adults aged 16 and over,unknown
,Apr '03 to Mar '04,Apr '04 to Mar '05,Apr '05 to Mar '06,Apr '06 to Mar '07,Apr '07 to Mar '08,Apr '08 to Mar '09,Apr '09 to Mar '10,Apr '10 to Mar '11,Apr '11 to Mar '121,Apr '12 to Mar '131,Apr '13 to Mar '141,Apr '14 to Mar '151,,,,,April 2018 to March 2019  compared with:,,unknown
Rating,,,,,,,,,,,,,Apr '15 to Mar '161,Apr '16 to Mar '171,Apr '17 to Mar '181,Apr '18 to Mar '191,Apr '11 to Mar '124,Apr '17 to Mar '18,unknown
,Percentages,,,,,,,,,,,,,,,,Statistically significant difference,,unknown
Excellent,6.001620864675771,6.465095060416781,6.971133603386241,6.688247645176238,7.3434546938703456,7.427708582915167,8.272962491884044,8.69128693179448,10.374777772216524,9.642791005290018,10.009605226472868,10.246325910459964,10.982554592904687,10.762733903291084,11.033115881193917,10.418924633957714,,*,unknown
Good,41.36007992491837,42.074793058134496,43.40328028878892,44.458523435850495,45.20825953613372,45.84650259465178,48.07944725981733,50.072404976958985,52.0728616071637,51.885895815993564,52.7781817197289,51.756618285812465,51.88899456588217,51.464174682637584,50.63879990110269,47.09352636507482,*,*,unknown
Fair,34.42931535646292,35.04636105464409,34.8406882464493,34.25220816811732,34.257167003210476,35.15261690342106,33.568762791842246,32.24604904755877,29.6356168219097,30.152294052607925,29.14231733991136,29.877933992695915,29.625489755580492,29.093469649595715,28.667745485884282,30.78978581042286,*,*,unknown
Poor,13.677735161698862,12.378902181319534,11.230189847556991,11.10390653581211,9.857376064563386,8.849888037968737,7.638549004135612,6.9298229325187455,6.0859693047197325,6.168278573021616,6.131235352485783,6.300983642563077,5.7535495778944785,6.543783882065135,7.367649065620287,8.907032916893773,*,*,unknown
Very poor,4.531248692244176,4.034848645484806,3.554708013819191,3.497114215045064,3.333742702221556,2.723283881043049,2.4402784523192897,2.0604361111685465,1.8307744939890462,2.1507405530866732,1.938660361400844,1.8181381684681408,1.7494115077388068,2.1358378824090014,2.292689666198826,2.7907302736517656,*,*,unknown
Unweighted base - number of adults,34862,43970,46672,45985,45782,45323,43686,45675,44647,33658,33981,31890,33317,33450,32985,32154,,,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,,,,,,,,,,,,,unknown
"1. Data from year ending March 2012 CSEW onwards are not directly comparable with those previous; the methodological note published alongside Focus On: Public Perceptions of Policing, 2011/12 provides more information.",,,,,,,,,,,,,,,,,,,unknown
2. A small change to the weighting procedure has been incorporated into all historic datasets. The effect of this change will only have a negligible impact on the estimates in this table from year ending March 2012.  ,,,,,,,,,,,,,,,,,,,unknown
"3. Following changes to data affecting a small number of police force areas, estimates have been revised between year ending March 2012 and year ending March 2018. Consequently, there may be a small change on the unweighted bases and estimates in this table.",,,,,,,,,,,,,,,,,,,unknown
4. This is the earliest period for which statistical significance testing can be performed upon directly comparable data.,,,,,,,,,,,,,,,,,,,unknown
