"table s11: visibility of police foot patrols, by personal characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
,"Visibility of police2,3",Unweighted base - number of adults3,,,"Visibility of police2,3",Unweighted base - number of adults3,unknown
,Percentage of adults reporting high visibility4,,,,Percentage of adults reporting high visibility4,,unknown
ALL ADULTS,15.984879137294284,8726,,Respondent's employment status,,,unknown
,,,,In employment,17.88921132721996,5037,unknown
16-24,23.306842639192784,554,,Unemployed,24.21789441871912,166,unknown
25-34,22.59526708866358,1324,,Economically inactive,12.1113747364501,3521,unknown
35-44,18.45211704866334,1393,,Student,16.554237951608133,170,unknown
45-54,14.790471738931183,1493,,Looking after family/home,21.66089357626828,388,unknown
55-64,11.733898539202423,1389,,Long-term/temporarily sick/ill,12.194911602154663,385,unknown
65-74,9.459537891280132,1416,,Retired,8.641267015815648,2482,unknown
75+,7.929358521159692,1157,,Other inactive,22.788853450154512,96,unknown
Men,17.825392892443148,3941,,Respondent's occupation ,,,unknown
,,,,Managerial and professional occupations,14.60128569110721,3201,unknown
16-24,26.822699206539685,268,,Intermediate occupations,11.646282996596348,1952,unknown
25-34,25.751592570886135,556,,Routine and manual occupations,18.648866952683928,2976,unknown
35-44,18.795691678644413,587,,Never worked and long-term unemployed,25.59408704014509,266,unknown
45-54,16.75847484758766,686,,Full-time students,21.41729732497914,244,unknown
55-64,11.769559027022979,670,,Not classified,7.382743568087406,87,unknown
65-74,10.64148173656056,671,,,,,unknown
75+,9.189424659190157,503,,Highest qualification,,,unknown
,,,,Degree or diploma,16.91415590929031,3582,unknown
Women,14.261637531392854,4785,,Apprenticeship or A/AS level,14.056462241094572,1464,unknown
,,,,O level/GCSE,16.270880566846227,1573,unknown
16-24,19.441822482197036,286,,Other,18.33192315788614,439,unknown
25-34,19.62129149585695,768,,,14.867027919022583,1643,unknown
35-44,18.143413884275716,806,,,,,unknown
45-54,12.955077599132686,807,,Disability5,,,unknown
55-64,11.69900883918176,719,,Disabled,11.025630561622098,1742,unknown
65-74,8.323423089800263,745,,Not disabled,17.02878626321957,6959,unknown
75+,7.011653704949182,654,,,,,unknown
,,,,Religion,,,unknown
Ethnic group,,,,No religion,16.511320499661934,3184,unknown
White ,14.49105785509148,7775,,Christian,14.412659039713539,4907,unknown
   English/Welsh/Scottish/Northern Irish/British,13.143601001415059,7178,,Buddhist,-,33,unknown
   Irish,25.262219050011637,73,,Hindu,18.9973560620705,128,unknown
   Gypsy or Irish Traveller,-,1,,Muslim,27.96218644477653,314,unknown
   Any other white background,28.588495842006118,523,,Sikh,12.542376226549266,53,unknown
Mixed/Multiple,26.801039580837493,88,,Other,22.689884867738037,88,unknown
   White and Black Caribbean,-,27,,,,,unknown
   White and Black African,-,15,,Sexual orientation6,,,unknown
   White and Asian,-,23,,Heterosexual/straight,16.496935790135318,6791,unknown
   Any other Mixed/Multiple ethnic background,-,23,,Gay/Lesbian,20.12026101432766,99,unknown
Asian/Asian British,22.727496401512383,546,,Bisexual,23.41589487904391,94,unknown
   Indian,21.036090132444567,223,,Other,-,40,unknown
   Pakistani,26.65512416901892,131,,,,,unknown
   Bangladeshi,19.85117836282212,56,,Overall level of perceived ASB,,,unknown
   Chinese,-,45,,High,26.363303755245244,565,unknown
   Any other Asian background,21.48211564625938,91,,Not high,15.337135919876818,7738,unknown
Black/African/Caribbean/Black British,30.034542672018304,239,,,,,unknown
   African,34.46490541438234,156,,Experience of crime in last 12 months (including fraud and computer misuse),,,unknown
   Caribbean,16.13672419665581,68,,Victim,18.533016972556236,1673,unknown
   Any other Black/African/Caribbean background,-,15,,Not a victim,15.356142840639302,7053,unknown
Other ethnic group,29.22109983092382,68,,,,,unknown
   Arab,-,18,,Hours out of home on an average weekday,,,unknown
   Any other ethnic group,25.591564643270274,50,,Less than 3 hours,12.38473277952969,2647,unknown
,,,,3 hours or more but less than 7 hours,15.80498470442653,2317,unknown
Marital status,,,,7 hours or longer,18.121770632002768,3715,unknown
Married/civil partnered,13.749060708079385,3952,,,,,unknown
Cohabiting,17.615041120237663,936,,Number of evening visits to pub/bar in the last month,,,unknown
Single,21.525606418623184,1957,,,15.198740963966017,4696,unknown
Separated,17.180481860444015,234,,Less than once a week ,16.556959385378534,2601,unknown
Divorced/legally dissolved partnership,14.462277461454267,759,,Once a week or more often,17.41904516242275,1420,unknown
Widowed,9.277892037553139,866,,,,,unknown
