"table s12: visibility of police foot patrols, by household and area characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,"Visibility of police2,3","Unweighted base - 
number of adults",unknown
,Percentage of adults reporting high visibility4,,unknown
ALL ADULTS,15.984879137294284,8726,unknown
Structure of household,,,unknown
Single adult and child(ren),17.732662788271476,418,unknown
Adults and child(ren),18.74455184076969,1876,unknown
Adult(s) and no child(ren),14.910797052648617,6432,unknown
Tenure,,,unknown
Owner occupiers,11.276318233961122,5582,unknown
Social renters,20.804864943567658,1492,unknown
Private renters,25.90979158401331,1608,unknown
Accommodation type ,,,unknown
Houses,14.027521885069655,7440,unknown
Detached,8.79109093530424,2213,unknown
Semi-detached,12.390920481565521,2691,unknown
Terraced,20.144705993081708,2536,unknown
Flats/maisonettes,28.865239959386237,1242,unknown
Other,-,19,unknown
Output Area Classification,,,unknown
Rural residents,4.707389540360088,1218,unknown
Cosmopolitans,39.644407102228044,322,unknown
Ethnicity central,36.206729990283804,430,unknown
Multicultural metropolitans,23.132460078422586,1014,unknown
Urbanites,14.946575625093637,1592,unknown
Suburbanites,8.847449846241746,1842,unknown
Constrained city dwellers,19.391350449166453,584,unknown
Hard-pressed living,14.047190802238724,1724,unknown
Area type,,,unknown
Urban,18.556063228334157,6789,unknown
Rural,5.508457414750177,1937,unknown
Level of physical disorder,,,unknown
High,23.10262589102146,410,unknown
Not high,15.620763119668007,8286,unknown
English Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,20.138202116579635,1540,unknown
Other output areas,15.641113075429965,4936,unknown
20% least deprived output areas,11.774691140185148,1603,unknown
Welsh Indices of Deprivation (Employment),,,unknown
20% most deprived output areas,27.61466997552479,129,unknown
Other output areas,19.768474556402683,385,unknown
20% least deprived output areas,15.963068411942027,133,unknown
Region,,,unknown
North East,10.739758410726829,502,unknown
North West,13.266922017045212,1105,unknown
Yorkshire and The Humber,19.69737286525726,805,unknown
East Midlands,13.95471599239493,785,unknown
West Midlands,14.887890360138863,771,unknown
East of England,10.13762068150107,1010,unknown
London,29.70730599075279,1036,unknown
South East,11.665327762441834,1161,unknown
South West,11.528467929219694,904,unknown
Wales,20.771047877414972,647,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
1. See Sections 7.1 and 7.2 of the User Guide for definitions of household and area characteristics.,,,unknown
2. The question on visibility of police on foot patrols is only asked of a quarter of the CSEW sample.,,,unknown
3. Those that responded 'Don't know' or 'Don't wish to answer' have been excluded from this table.,,,unknown
"4. The visibility of police on foot patrols is classified as high if the respondent said they see police officers or Police Community Support Officers (PCSOs) on foot patrol in their local area more than once a day, once a day or about once a week. ",,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,unknown
