"table s14:  percentage of incidents in which victims were satisfied with the police by crime type, year ending march 2019 csew1",unnamed: 1,unnamed: 2,age_band
England and Wales,,Adults aged 16 and over,unknown
,Satisfaction with the police,"Unweighted base
 - number of incidents",unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
Violence,74.43579621629674,269,unknown
With injury,71.02231194959798,163,unknown
Without injury ,79.31644504368364,106,unknown
Theft offences,64.83050643878549,1415,unknown
Theft from the person,64.1601125391649,77,unknown
Other theft of personal property,61.31911959297016,109,unknown
Domestic burglary,66.55364948206694,494,unknown
Other household theft,67.8964959782598,132,unknown
Vehicle-related theft,62.45659344515404,449,unknown
Bicycle theft,68.85086751246712,154,unknown
Criminal damage,56.462831979492734,373,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,unknown
"1. Following a methodological change to the handling of repeat victimisation in the CSEW, these data are not comparable with data published in previous releases. For more information see Improving victimisation estimates derived from the Crime Survey for England and Wales.",,,unknown
