"table s15: percentage of incidents in which victims were satisfied with the police by personal characteristics, year ending march 2019 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
Personal characteristic1,Satisfaction with the police,Unweighted base - number of incidents,,Personal characteristic1,Satisfaction with the police,Unweighted base - number of incidents,unknown
,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,,,Percentage of incidents in which the victim was 'very' or 'fairly' satisfied with the police,,unknown
ALL INCIDENTS,65.66628372084634,2110,,Respondent's employment status,,,unknown
,,,,In employment,65.93026718966829,1445,unknown
16-24,62.04631283350805,170,,Unemployed,63.1540602351329,60,unknown
25-34,64.81369242179369,429,,Economically inactive,65.56090665422256,599,unknown
35-44,67.91009000192638,447,,Student,-,38,unknown
45-54,65.84823121530405,438,,Looking after family/home,71.7868850829921,117,unknown
55-64,66.84267148107097,326,,Long-term/temporarily sick/ill,62.75259439900678,145,unknown
65-74,59.24670938386315,198,,Retired,65.78147572767945,279,unknown
75+,76.3874847223273,102,,Other inactive,-,20,unknown
Men,64.78884172437756,968,,Respondent's occupation ,,,unknown
,,,,Managerial and professional occupations,68.85815536033671,803,unknown
16-24,62.71633166982268,82,,Intermediate occupations,65.53894076210611,531,unknown
25-34,63.39628649464366,192,,Routine and manual occupations,64.02758629638161,648,unknown
35-44,67.9534339062512,185,,Never worked and long-term unemployed,-,49,unknown
45-54,62.76788985510679,200,,Full-time students,64.5474090386238,61,unknown
55-64,70.63292557033769,171,,Not classified,-,18,unknown
65-74,54.54332023547887,105,,,,,unknown
75+,-,33,,Highest qualification,,,unknown
,,,,Degree or diploma,66.67142097972146,961,unknown
Women,66.50458187045399,1142,,Apprenticeship or A/AS level,68.38168747376034,394,unknown
,,,,O level/GCSE,63.207762333006656,391,unknown
16-24,61.445511193885,88,,Other,70.37959971528981,68,unknown
25-34,66.27913634180753,237,,,61.64106599435733,285,unknown
35-44,67.87389217027562,262,,,,,unknown
45-54,68.45202513209647,238,,Disability2,,,unknown
55-64,61.31144755536757,155,,Disabled,63.478191067665335,457,unknown
65-74,64.4329543049628,93,,Not disabled,66.26957086133646,1646,unknown
75+,79.27360845841174,69,,,,,unknown
,,,,Religion,,,unknown
Ethnic group,,,,No religion,65.42260879319414,896,unknown
White ,67.3533573459435,1832,,Christian,68.59478232910519,1012,unknown
   English/Welsh/Scottish/Northern Irish/British,66.78270146631277,1662,,Buddhist,-,19,unknown
   Irish,-,18,,Hindu,-,31,unknown
   Gypsy or Irish Traveller,-,1,,Muslim,45.234119888296966,107,unknown
   Any other white background,71.6348994876099,151,,Other,-,38,unknown
Mixed/Multiple,-,36,,,,,unknown
   White and Black Caribbean,-,13,,Sexual orientation3,,,unknown
   White and Black African,-,4,,Heterosexual/straight,65.57986919882829,1705,unknown
   White and Asian,-,8,,Gay/Lesbian,-,44,unknown
   Any other Mixed/Multiple ethnic background,-,11,,Bisexual,-,34,unknown
Asian/Asian British,52.09875163734821,157,,Other,-,14,unknown
   Indian,47.47350577034191,60,,,,,unknown
   Pakistani,-,43,,Hours out of home on an average weekday,,,unknown
   Bangladeshi,-,12,,Less than 3 hours,67.82153746914948,471,unknown
   Chinese,-,13,,3 hours or more but less than 7,64.7578999614925,524,unknown
   Any other Asian background,-,29,,7 hours or longer,65.96612237911583,1107,unknown
Black/African/Caribbean/Black British,53.721255475810956,63,,,,,unknown
   African,-,45,,Number of evening visits to pub/bar in the last month,,,unknown
   Caribbean,-,16,,,65.14440199239162,1067,unknown
   Any other Black/African/Caribbean background,-,2,,Less than once a week,69.63560370641163,624,unknown
Other ethnic group,-,18,,Once a week or more often,61.83027011403155,417,unknown
   Arab,-,8,,,,,unknown
   Any other ethnic group,-,10,,Number of visits to a nightclub/disco in the last month,,,unknown
,,,,,65.65650650546924,1940,unknown
Marital status,,,,1-3 times a month,63.96175199290305,158,unknown
Married/civil partnered,66.30195752150925,894,,4+ times a month,-,12,unknown
Cohabiting,67.38146272322828,275,,,,,unknown
Single,65.79867212539064,573,,,,,unknown
Separated,61.91152540482216,88,,,,,unknown
Divorced/legally dissolved partnership,54.33077747957926,173,,,,,unknown
Widowed,77.8847908098035,106,,,,,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,unknown
1. See Section 7.3 of the User Guide for definitions of personal characteristics.,,,,,,,unknown
"2. The definition of disability used is consistent with the core definition of disability under the Equality Act 2010. A person is considered to have a disability if they have a long-standing illness, disability or impairment which causes difficulty with day-to-day activities.",,,,,,,unknown
"3. The terminology used to label this data has been changed to 'sexual orientation' from 'sexual identity' to align with terminology used in legislation (Equality Act 2010). Sexual Orientation is an umbrella concept which encompasses sexual identity, attraction and behaviour. This question described within this principle is based on a substantial body of research and is designed to capture self-perceived Sexual Identity. An individual could respond differently to questions on either sexual identity, attraction or behaviour. The measurement of Sexual Identity was identified within the research as the component of Sexual Orientation most closely related to experiences of disadvantage and discrimination. The question was not designed for specific or detailed studies of sexual behaviour or attraction where a series of more detailed questions and answer categories might be more appropriate.",,,,,,,unknown
"""-"" indicates that data are not reported because the unweighted base is fewer than 50.",,,,,,,unknown
