"table s18: attitudes to local police, by police force area, english regions and wales, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9,unnamed: 10,age_band
England and Wales,,,,,,,,,,Adults aged 16 and over,unknown
Area Code,Area Name,,Rating of local police,,,,Police deal with local concerns,,,,unknown
,,,"% saying
police do
excellent/good job",Statistically significantly different from England and Wales2,Statistically significantly different from     Apr '17 to Mar '182,,% agree,Statistically significantly different from England and Wales2,Statistically significantly different from     Apr '17 to Mar '182,Unweighted base - number of adults3,unknown
K04000001,ENGLAND AND WALES,,57.51245099903208,:,*↓,,55.470697819871184,:,*↓,32154,unknown
E92000001,ENGLAND,,57.37679879161134,,*↓,,55.2699842791745,,*↓,29778,unknown
E12000001,North East,,64.58469171792025,*,*↓,,61.93831751592878,*,,1903,unknown
E23000013,Cleveland,,54.84028802172237,,,,51.10914813073808,,*↓,617,unknown
E23000008,Durham,,66.02992021070189,*,,,61.436801418519785,*,,597,unknown
E23000007,Northumbria,,67.82663723049014,*,,,66.3412161767148,*,,689,unknown
E12000002,North West,,56.080450948430126,,*↓,,55.385281482835495,,*↓,4146,unknown
E23000006,Cheshire,,64.25175687862033,*,,,57.935340623929754,,*↓,628,unknown
E23000002,Cumbria,,61.277616963878515,,,,60.401338753132336,*,,611,unknown
E23000005,Greater Manchester,,49.88828478266184,*,*↓,,52.10866734861607,*,*↓,1331,unknown
E23000003,Lancashire,,55.79951837717667,,*↓,,54.7313782185801,,*↓,742,unknown
E23000004,Merseyside,,60.41907896722612,,,,59.20587841187107,,,834,unknown
E12000003,Yorkshire and the Humber,,56.55609871004797,,,,52.166896682918605,*,,2979,unknown
E23000012,Humberside,,52.37779604438217,*,,,45.381575363771525,*,,628,unknown
E23000009,North Yorkshire,,66.66869105584918,*,,,62.69304021403367,*,,594,unknown
E23000011,South Yorkshire,,54.67069301782058,,,,47.503886058642586,*,,658,unknown
E23000010,West Yorkshire,,55.779570087196596,,,,54.15312955290148,,,1099,unknown
E12000004,East Midlands,,53.5581402609108,*,*↓,,51.01011463920791,*,*↓,2811,unknown
E23000018,Derbyshire,,51.64773990609528,*,,,44.52841962968581,*,*↓,574,unknown
E23000021,Leicestershire,,51.75939609414799,*,*↓,,53.465252526682846,,,537,unknown
E23000020,Lincolnshire,,60.938418742416076,,,,60.49598698133871,,,528,unknown
E23000022,Northamptonshire,,53.19709006691807,,,,50.754404519623165,,,607,unknown
E23000019,Nottinghamshire,,52.23959732137331,*,,,49.549672073399705,*,,565,unknown
E12000005,West Midlands,,52.774169499539184,*,*↓,,54.06789340190926,,*↓,2855,unknown
E23000015,Staffordshire,,57.15859574971622,,,,58.38344213768887,,,551,unknown
E23000017,Warwickshire,,58.14997544339367,,,,57.89994174826273,,,568,unknown
