"table s19: attitudes to local police working in partnership, by police force area, english regions and wales, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
Area Code,Area Name,,Police and local council are dealing with issues,,,,unknown
,,,"% saying
strongly agree/
tend to agree",Statistically significantly different from England and Wales2,Statistically significantly different from       Apr '17 to Mar '182,Unweighted base - number of adults,unknown
K04000001,ENGLAND AND WALES,,55.038703316019514,:,*↓,32566,unknown
E92000001,ENGLAND,,54.591650859740604,,*↓,30168,unknown
E12000001,North East,,52.17892439579043,,,1901,unknown
E23000013,Cleveland,,44.861765961961524,*,,607,unknown
E23000008,Durham,,51.9212953611492,,,598,unknown
E23000007,Northumbria,,55.11965517081441,,,696,unknown
E12000002,North West,,55.89523348337424,,*↓,4254,unknown
E23000006,Cheshire,,54.91518024261806,,*↓,631,unknown
E23000002,Cumbria,,59.19307690884431,,,616,unknown
E23000005,Greater Manchester,,56.70729048624645,,,1402,unknown
E23000003,Lancashire,,54.37655821649153,,*↓,744,unknown
E23000004,Merseyside,,55.363237927251355,,,861,unknown
E12000003,Yorkshire and the Humber,,50.27264326213518,*,*↓,3051,unknown
E23000012,Humberside,,51.43172576337499,,,665,unknown
E23000009,North Yorkshire,,63.0700427863563,*,,600,unknown
E23000011,South Yorkshire,,46.07802465414598,*,,675,unknown
E23000010,West Yorkshire,,47.62866419639079,*,*↓,1111,unknown
E12000004,East Midlands,,49.462241328407984,*,*↓,2857,unknown
E23000018,Derbyshire,,38.095399945111005,*,*↓,580,unknown
E23000021,Leicestershire,,52.909025173422485,,,550,unknown
E23000020,Lincolnshire,,57.4072324285848,,,537,unknown
E23000022,Northamptonshire,,53.31942774678485,,,619,unknown
E23000019,Nottinghamshire,,49.97517700322502,,,571,unknown
E12000005,West Midlands,,50.695058377259656,*,*↓,2748,unknown
E23000015,Staffordshire,,51.880256893188616,,,502,unknown
E23000017,Warwickshire,,53.539393529891356,,,565,unknown
E23000016,West Mercia,,54.458138922385984,,,500,unknown
E23000014,West Midlands,,47.844414803437914,*,*↓,1181,unknown
E12000006,East,,54.23968198616333,,,3821,unknown
E23000026,Bedfordshire,,48.383200644888646,*,,574,unknown
E23000023,Cambridgeshire,,51.9929987801834,,,616,unknown
E23000028,Essex,,46.74626184359908,*,,890,unknown
E23000027,Hertfordshire,,67.6214441622889,*,*↑,571,unknown
E23000024,Norfolk,,62.048989052958795,*,,589,unknown
E23000025,Suffolk,,49.24162155544883,*,,581,unknown
E12000007,London,,59.15270986912698,*,,3994,unknown
E12000007,City of London / Metropolitan Police,,59.15270986912698,*,,3994,unknown
E12000008,South East,,57.28224053410496,*,*↓,4195,unknown
E23000030,Hampshire,,56.24071197094366,,*↓,937,unknown
E23000032,Kent,,52.048145870333926,,,833,unknown
E23000031,Surrey,,64.2098376676372,*,*↓,640,unknown
E23000033,Sussex,,53.9256835851918,,,752,unknown
E23000029,Thames Valley,,60.86500048170385,*,,1033,unknown
E12000009,South West,,55.25802110294452,,*↓,3347,unknown
E23000036,Avon and Somerset,,49.88179328220171,,,805,unknown
E23000035,Devon and Cornwall,,56.91581048735654,,*↓,894,unknown
E23000039,Dorset,,60.038107989581924,,,597,unknown
E23000037,Gloucestershire,,54.12029305927265,,,492,unknown
E23000038,Wiltshire,,60.224137714399966,*,,559,unknown
W92000004,WALES,,62.86192410070152,*,,2398,unknown
W15000004,Dyfed-Powys,,60.751542889580364,*,,538,unknown
W15000002,Gwent,,59.738912891035326,,,648,unknown
W15000001,North Wales,,62.45191512959998,*,,553,unknown
W15000003,South Wales,,65.64094768628536,*,,659,unknown
Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,unknown
"1. Being based on small sample sizes, police force area estimates from the CSEW are less robust than national level estimates and should be treated with extreme caution.",,,,,,,unknown
2. '*' denotes statistically significantly different in comparison with England and Wales while '*↑/↓' denotes statistically significant different in comparison with the year ending March 2018 estimate.,,,,,,,unknown
