"table s2: ratings of the local police, by personal characteristics, year ending march 2019 csew1",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
,Local police,Unweighted base - number of adults,,,Local police,Unweighted base - number of adults,unknown
,"Percentage saying police 
doing a good/excellent job",,,,"Percentage saying police 
doing a good/excellent job",,unknown
ALL ADULTS,57.51245099903255,32154,,Respondent's occupation (NS-SEC),,,unknown
,,,,Managerial and professional occupations,59.10305137103025,11790,unknown
16-24,60.9342789218983,2102,,Intermediate occupations,55.718708702031094,7346,unknown
25-34,62.56561364235269,4858,,Routine and manual occupations,55.68462165989029,10793,unknown
35-44,59.46725379351891,5298,,Never worked and long-term unemployed,59.07842130460745,1006,unknown
45-54,54.3461469548547,5525,,Full-time students,64.5083385347903,912,unknown
55-64,52.36986762648996,5229,,Not classified,52.42864650546305,307,unknown
65-74,53.43965056109632,5032,,,,,unknown
75+,59.345309187237014,4110,,Highest qualification,,,unknown
,,,,Degree or diploma,60.40204391619001,13334,unknown
Men,55.042505862904775,14876,,Apprenticeship or A/AS level,55.18556239216873,5646,unknown
,,,,O level/GCSE,54.235737122310226,5695,unknown
16-24,60.05111563763115,993,,Other,60.679873556111076,1527,unknown
25-34,59.70805232646569,2127,,,55.8184412750242,5839,unknown
35-44,58.059795264505496,2319,,,,,unknown
45-54,51.554550893408944,2600,,Disability2,,,unknown
55-64,50.310155397234425,2531,,Disabled,50.88359382013643,6309,unknown
65-74,49.28938860710986,2401,,Not disabled,58.88057464083036,25755,unknown
75+,55.03998322987418,1905,,,,,unknown
,,,,Religion,,,unknown
Women,59.92636966916173,17278,,No religion,55.93205367405736,11701,unknown
,,,,Christian,58.37509648534699,18097,unknown
16-24,61.881064678830434,1109,,Buddhist,62.84042298971087,145,unknown
25-34,65.49178479530485,2731,,Hindu,64.86100310793708,418,unknown
35-44,60.852682935683866,2979,,Jewish,56.60431645237839,153,unknown
45-54,57.06274003982226,2925,,Muslim,59.14027049732766,1204,unknown
55-64,54.38479352518314,2698,,Sikh,54.9416328282727,185,unknown
65-74,57.36692787940576,2631,,Other,52.21055701020537,174,unknown
75+,62.85979676829948,2205,,,,,unknown
,,,,Sexual Orientation3,,,unknown
Ethnic group,,,,Heterosexual/straight,57.52977722262299,25114,unknown
White ,57.25695197607804,28673,,Gay/Lesbian,62.66129402799433,409,unknown
English/ Welsh/ Scottish/ Northern Irish/ British ,55.97512363724897,26443,,Bisexual,56.39119521223487,353,unknown
Irish ,65.88641425955777,279,,Other,67.50336607553058,169,unknown
"Gypsy, Traveller or Irish Traveller ",-,10,,,,,unknown
Any other White background,70.40083158700907,1941,,Overall level of perceived ASB4,,,unknown
Mixed/ Multiple ethnic groups,51.299271891608846,346,,High,35.00152158005294,564,unknown
White and Black Caribbean ,42.67866630337113,111,,Not high,64.6647012741033,7484,unknown
White and Black African ,-,48,,,,,unknown
White and Asian ,59.3085045280025,84,,Experience of crime in last 12 months (including fraud and computer misuse),,,unknown
Any other Mixed/ Multiple ethnic background,53.13681973784302,103,,Victim,47.836820680974604,6522,unknown
Asian/ Asian British,61.46304000447671,1949,,Not a victim,60.13734077182576,25632,unknown
