"table s21: awareness and use of the 101 non-emergency police number, by personal characteristics, year ending march 2019 csew",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,age_band
England and Wales,,,,,,,,Adults aged 16 and over,unknown
Personal characteristic1,Were aware of the 101 non-emergency police number2,Had used the 101 non-emergency police number2,Unweighted base - number of adults,,Personal characteristic1,Were aware of the 101 non-emergency police number2,Had used the 101 non-emergency police number2,Unweighted base - number of adults,unknown
,Percentage,,,,,Percentage,,,unknown
ALL ADULTS,75.12378211677978,13.091062008022758,8763,,Respondent's employment status,,,,unknown
,,,,,In employment,77.49214915869094,15.209820133622262,5062,unknown
16-24,75.04357941520745,10.317324713008906,557,,Unemployed,70.57837107186006,13.009794034354542,165,unknown
25-34,77.97819647469632,16.435891628333028,1332,,Economically inactive,71.29359222110494,9.369007443087304,3534,unknown
35-44,76.7945700680831,15.836018966772073,1401,,Student,67.5069151125882,4.708027163238646,171,unknown
45-54,77.06894839467611,17.210249423333792,1502,,Looking after family/home,69.42413751763132,14.607401736450745,389,unknown
55-64,73.19638133740843,12.80955560959246,1387,,Long-term/temporarily sick/ill,71.89485947624198,16.445969615758344,390,unknown
65-74,73.75378820725481,8.986493714230953,1421,,Retired,72.78177361399605,7.306430556971525,2488,unknown
75+,68.74857725003992,4.964187450674496,1163,,Other inactive,62.68711665732501,20.307708255576223,96,unknown
Men,75.77544889109996,12.2046788630664,3957,,Respondent's occupation,,,,unknown
,,,,,Managerial and professional occupations,79.5304303146452,16.028285699856802,3213,unknown
16-24,76.48593757003141,9.671597329861847,270,,Intermediate occupations,76.20631172359967,13.541623219543805,1958,unknown
25-34,77.8286594890335,14.655196058502124,560,,Routine and manual occupations,73.09093392831129,11.718002759160711,2987,unknown
35-44,77.10423970482594,12.339511900609343,592,,Never worked and long-term unemployed,53.44022366494114,7.362835121070178,270,unknown
45-54,75.87316772339665,16.194522310117428,687,,Full-time students,69.36575305577793,5.132748288284495,245,unknown
55-64,72.02937674710418,13.44789553888818,667,,Not classified,65.11329992631312,7.741530418911416,90,unknown
65-74,76.15621766885305,9.457004351949989,674,,,,,,unknown
75+,73.77273988642753,5.082248488384273,507,,Highest qualification,,,,unknown
,,,,,Degree or diploma,77.01096656580174,14.98028785165974,3594,unknown
Women,74.51379108511678,13.920758703246378,4806,,Apprenticeship or A/AS level,81.36924745763643,14.174877715292986,1472,unknown
,,,,,O level/GCSE,78.28751325298958,13.34378634838584,1579,unknown
16-24,73.45678447025445,11.027714808540132,287,,Other,59.03820257661516,10.1927251787109,441,unknown
25-34,78.11962093579116,18.11998275950915,772,,,65.23526531683865,7.925420357693327,1648,unknown
