"table s23:  awareness of police and crime commissioners, year ending march 2015 to year ending march 2019 csew1,2",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,age_band
England and Wales,,,,,,Adults aged 16 and over,unknown
,"Apr '14 to
Mar '15","Apr '15 to
Mar '16","Apr '16 to
Mar '17","Apr '17 to
Mar '18","Apr '18 to
Mar '19",Apr '18 to Mar '19 compared with:,unknown
,,,,,,Apr '17 to Mar '18,unknown
,Percentage,,,,,Statistically significant difference,unknown
Were aware of Police and Crime Commissioners,55.894985343636286,59.08897989687768,62,58.53629625,57.26855694,*,unknown
Unweighted base - number of adults3,29359,31169,30928,30538,28529,,unknown
 Source: Office for National Statistics - Crime Survey for England and Wales,,,,,,,unknown
1. The wording of this question changed in April 2015 from 'Before this interview were you aware that the Government had introduced elected Police and Crime Commissioners to oversee police forces in this way?' to 'Before this interview were you aware of Police and Crime Commissioners?'.,,,,,,,unknown
"2. A small change to the weighting procedure has been incorporated into all historic datasets. The effect of this change will only have a negligible impact on the estimates in this table and therefore historic data have not been re-calculated using the new weights, except where direct comparisons have been made between years.",,,,,,,unknown
3. This question includes responses from non-London residents only.,,,,,,,unknown
